symbol,timeframe,signal_bartime,direction,status,skip_reason,entry_time,exit_time,entry_price,sl_price,r_result,gross_r,cost_r,bar_mae_r,bar_mfe_r,holding_bars,ambiguous_bars,tp_hits,sl_leg_hits,leg_count
US30,H4,2017-05-04 01:00:00,BUY,closed,,2017-05-04 05:00:00,2017-05-04 13:00:00,20976.0,20953.0,-1.0,-1.0,0.0,5.956521739130435,1.5217391304347827,3,0,[],1,1
US30,H4,2017-05-04 13:00:00,SELL,closed,,2017-05-04 17:00:00,2017-05-05 17:00:00,20917.0,21002.0,-1.0,-1.0,0.0,1.3764705882352941,0.49411764705882355,7,0,[],1,1
US30,H4,2017-05-05 17:00:00,BUY,closed,,2017-05-07 22:00:00,2017-05-10 05:00:00,21056.0,20916.0,-1.0,-1.0,0.0,1.1714285714285715,0.014285714285714285,13,0,[],1,1
US30,H4,2017-05-09 17:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-05-15 10:00:00,BUY,closed,,2017-05-15 14:00:00,2017-05-17 05:00:00,20965.0,20896.0,-1.0,-1.0,0.0,1.9275362318840579,0.9565217391304348,7,0,[],1,1
US30,H4,2017-05-17 09:00:00,SELL,closed,,2017-05-17 13:00:00,2017-05-17 17:00:00,20810.0,20892.0,1.9168785203432557,1.9168785203432557,0.0,0.14634146341463414,2.5365853658536586,2,0,[1],0,1
US30,H4,2017-05-19 13:00:00,BUY,closed,,2017-05-19 17:00:00,2017-05-25 05:00:00,20833.0,20672.0,1.442297672190807,1.442297672190807,0.0,0.33540372670807456,1.6335403726708075,14,0,[1],0,1
US30,H4,2017-05-30 17:00:00,SELL,closed,,2017-05-31 05:00:00,2017-05-31 09:00:00,21043.0,21061.0,-1.0,-1.0,0.0,1.3888888888888888,1.8333333333333333,2,0,[],1,1
US30,H4,2017-06-01 13:00:00,BUY,closed,,2017-06-01 17:00:00,2017-06-02 09:00:00,21083.0,20985.0,1.4008387981507346,1.4008387981507346,0.0,0.02040816326530612,1.5204081632653061,3,0,[1],0,1
US30,H4,2017-06-07 13:00:00,SELL,closed,,2017-06-07 17:00:00,2017-06-08 05:00:00,21141.0,21204.0,-1.0,-1.0,0.0,1.0634920634920635,0.12698412698412698,2,0,[],1,1
US30,H4,2017-06-08 13:00:00,BUY,closed,,2017-06-08 17:00:00,2017-06-08 17:00:00,21247.0,21151.0,-1.0,-1.0,0.0,1.0520833333333333,0.052083333333333336,1,0,[],1,1
US30,H4,2017-06-21 13:00:00,SELL,closed,,2017-06-21 17:00:00,2017-06-26 10:00:00,21418.0,21516.0,-1.0,-1.0,0.0,1.0408163265306123,0.7551020408163265,11,0,[],1,1
US30,H4,2017-06-26 06:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-27 13:00:00,SELL,closed,,2017-06-27 17:00:00,2017-06-28 13:00:00,21414.0,21466.0,-1.0,-1.0,0.0,1.4807692307692308,1.8076923076923077,4,0,[],1,1
US30,H4,2017-06-28 13:00:00,BUY,closed,,2017-06-28 17:00:00,2017-06-29 13:00:00,21477.0,21379.0,-1.0,-1.0,0.0,2.0408163265306123,0.40816326530612246,4,0,[],1,1
US30,H4,2017-06-29 13:00:00,SELL,closed,,2017-06-29 17:00:00,2017-07-03 10:00:00,21286.0,21501.0,-1.0,-1.0,0.0,1.0,0.3767441860465116,7,0,[],1,1
US30,H4,2017-07-03 06:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-07-06 09:00:00,SELL,closed,,2017-07-06 13:00:00,2017-07-06 17:00:00,21418.0,21479.0,2.9298351716641293,2.9298351716641293,0.0,0.45901639344262296,6.491803278688525,2,0,[1],0,1
US30,H4,2017-07-10 14:00:00,BUY,closed,,2017-07-10 18:00:00,2017-07-11 13:00:00,21451.0,21388.0,-1.0,-1.0,0.0,2.6031746031746033,0.0,5,0,[],1,1
US30,H4,2017-07-18 09:00:00,SELL,closed,,2017-07-18 13:00:00,2017-07-18 13:00:00,21592.0,21671.0,1.2540927486832378,1.2540927486832378,0.0,0.13924050632911392,1.4430379746835442,1,0,[1],0,1
US30,H4,2017-07-19 17:00:00,BUY,closed,,2017-07-19 21:00:00,2017-07-20 13:00:00,21647.0,21599.0,-1.0,-1.0,0.0,1.2708333333333333,0.8125,4,0,[],1,1
US30,H4,2017-07-21 09:00:00,SELL,closed,,2017-07-21 13:00:00,2017-07-25 09:00:00,21595.0,21662.0,-1.0,-1.0,0.0,1.2835820895522387,1.2835820895522387,8,0,[],1,1
US30,H4,2017-07-25 09:00:00,BUY,closed,,2017-07-25 13:00:00,2017-07-27 13:00:00,21663.0,21556.0,1.129255836001172,1.129255836001172,0.0,0.6822429906542056,1.2616822429906542,9,0,[1],0,1
US30,H4,2017-08-09 05:00:00,SELL,closed,,2017-08-09 09:00:00,2017-08-10 13:00:00,22062.0,22089.0,4.801342787686061,4.801342787686061,0.0,0.6296296296296297,6.222222222222222,6,0,[1],0,1
US30,H4,2017-08-14 14:00:00,BUY,closed,,2017-08-14 18:00:00,2017-08-14 18:00:00,22024.0,21996.0,-1.0,-1.0,0.0,1.0357142857142858,0.25,1,0,[],1,1
US30,H4,2017-08-17 13:00:00,SELL,closed,,2017-08-17 17:00:00,2017-08-18 13:00:00,21884.0,22011.0,1.2152960751363004,1.2152960751363004,0.0,0.023622047244094488,1.7480314960629921,4,0,[1],0,1
US30,H4,2017-08-22 13:00:00,BUY,closed,,2017-08-22 17:00:00,2017-08-29 05:00:00,21881.0,21768.0,-1.0,-1.0,0.0,1.9026548672566372,0.4424778761061947,18,0,[],1,1
US30,H4,2017-08-28 10:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-08-29 13:00:00,BUY,closed,,2017-08-29 17:00:00,2017-09-11 14:00:00,21842.0,21669.0,1.2432566876506794,1.2432566876506794,0.0,0.6878612716763006,1.393063583815029,35,0,[1],0,1
US30,H4,2017-09-05 13:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-09-11 06:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-09-21 17:00:00,SELL,closed,,2017-09-21 21:00:00,2017-09-22 01:00:00,22385.0,22410.0,2.657313865670294,2.657313865670294,0.0,0.2,2.8,2,0,[1],0,1
US30,H4,2017-09-27 09:00:00,BUY,closed,,2017-09-27 13:00:00,2017-09-27 13:00:00,22352.0,22308.0,-1.0,-1.0,0.0,1.9318181818181819,0.7272727272727273,1,0,[],1,1
US30,H4,2017-09-28 09:00:00,SELL,closed,,2017-09-28 13:00:00,2017-09-28 13:00:00,22316.0,22361.0,-1.0,-1.0,0.0,1.9555555555555555,0.4444444444444444,1,0,[],1,1
US30,H4,2017-09-28 13:00:00,BUY,closed,,2017-09-28 17:00:00,2017-10-02 14:00:00,22391.0,22286.0,1.1940523587254575,1.1940523587254575,0.0,0.47619047619047616,1.4285714285714286,12,0,[1],0,1
US30,H4,2017-10-25 13:00:00,SELL,closed,,2017-10-25 17:00:00,2017-11-01 05:00:00,23292.0,23476.0,-1.0,-1.0,0.0,1.0869565217391304,0.09239130434782608,28,0,[],1,1
US30,H4,2017-10-27 05:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-10-30 06:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-10-31 21:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-11-01 21:00:00,SELL,closed,,2017-11-02 01:00:00,2017-11-02 09:00:00,23398.0,23461.0,-1.0,-1.0,0.0,1.0793650793650793,0.2222222222222222,3,0,[],1,1
US30,H4,2017-11-02 13:00:00,BUY,closed,,2017-11-02 17:00:00,2017-11-09 14:00:00,23484.0,23346.0,-1.0,-1.0,0.0,1.2391304347826086,1.0579710144927537,30,0,[],1,1
US30,H4,2017-11-07 14:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-11-14 06:00:00,BUY,closed,,2017-11-14 10:00:00,2017-11-14 10:00:00,23449.0,23418.0,-1.0,-1.0,0.0,1.7096774193548387,0.3548387096774194,1,0,[],1,1
US30,H4,2017-11-14 10:00:00,SELL,closed,,2017-11-14 14:00:00,2017-11-14 14:00:00,23398.0,23470.0,1.4414847977617582,1.4414847977617582,0.0,0.25,1.6666666666666667,1,0,[1],0,1
US30,H4,2017-11-16 14:00:00,BUY,closed,,2017-11-16 18:00:00,2017-11-17 14:00:00,23469.0,23367.0,-1.0,-1.0,0.0,1.0588235294117647,0.29411764705882354,6,0,[],1,1
US30,H4,2017-11-17 14:00:00,SELL,closed,,2017-11-17 18:00:00,2017-11-20 15:00:00,23379.0,23433.0,-1.0,-1.0,0.0,1.5740740740740742,1.8703703703703705,6,0,[],1,1
US30,H4,2017-11-20 11:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-11-24 06:00:00,SELL,closed,,2017-11-24 10:00:00,2017-11-24 10:00:00,23526.0,23566.0,-1.0,-1.0,0.0,1.675,0.125,1,0,[],1,1
US30,H4,2017-11-24 14:00:00,BUY,closed,,2017-11-24 18:00:00,2017-11-26 23:00:00,23563.0,23544.0,-1.0,-1.0,0.0,3.0,0.5263157894736842,2,0,[],1,1
US30,H4,2017-11-24 18:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-11-27 07:00:00,BUY,closed,,2017-11-27 11:00:00,2017-11-28 14:00:00,23573.0,23518.0,1.791138602796987,1.791138602796987,0.0,0.7272727272727273,3.5090909090909093,8,0,[1],0,1
US30,H4,2017-12-05 14:00:00,SELL,closed,,2017-12-05 18:00:00,2017-12-11 11:00:00,24266.0,24404.0,-1.0,-1.0,0.0,1.0072463768115942,1.2463768115942029,23,0,[],1,1
US30,H4,2017-12-07 14:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-12-14 18:00:00,SELL,closed,,2017-12-14 22:00:00,2017-12-15 10:00:00,24545.0,24625.0,-1.0,-1.0,0.0,1.4,0.0125,4,0,[],1,1
US30,H4,2017-12-15 14:00:00,BUY,closed,,2017-12-15 18:00:00,2017-12-18 07:00:00,24682.0,24617.0,2.0019506777172724,2.0019506777172724,0.0,0.6615384615384615,2.1384615384615384,4,0,[1],0,1
US30,H4,2017-12-20 14:00:00,SELL,closed,,2017-12-20 18:00:00,2017-12-29 10:00:00,24784.0,24895.0,-1.0,-1.0,0.0,1.1081081081081081,0.6126126126126126,25,0,[],1,1
US30,H4,2017-12-21 14:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-12-22 10:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-12-27 22:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-12-29 14:00:00,SELL,closed,,2017-12-29 18:00:00,2018-01-03 18:00:00,24819.0,24910.0,-1.0,-1.0,0.0,1.2967032967032968,0.8351648351648352,13,0,[],1,1
US30,H4,2018-01-02 10:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-01-02 14:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-01-02 18:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-01-19 02:00:00,SELL,closed,,2018-01-19 06:00:00,2018-01-19 06:00:00,25970.0,26019.0,-1.0,-1.0,0.0,1.7755102040816326,0.5510204081632653,1,0,[],1,1
US30,H4,2018-01-22 15:00:00,BUY,closed,,2018-01-22 19:00:00,2018-01-24 14:00:00,26162.0,26050.0,1.8090769562424416,1.8090769562424416,0.0,0.25,2.3035714285714284,12,0,[1],0,1
US30,H4,2018-01-29 19:00:00,SELL,closed,,2018-01-29 22:00:00,2018-01-30 02:00:00,26488.0,26584.0,2.341706480564691,2.341706480564691,0.0,0.34375,3.3854166666666665,2,0,[1],0,1
US30,H4,2018-02-01 14:00:00,BUY,closed,,2018-02-01 18:00:00,2018-02-02 10:00:00,26289.0,25955.0,-1.0,-1.0,0.0,1.122754491017964,0.10479041916167664,5,0,[],1,1
US30,H4,2018-02-02 02:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-02-07 14:00:00,BUY,closed,,2018-02-07 18:00:00,2018-02-07 22:00:00,25097.0,24734.0,-1.0,-1.0,0.0,1.5509641873278237,0.24242424242424243,2,0,[],1,1
US30,H4,2018-02-08 14:00:00,SELL,closed,,2018-02-08 18:00:00,2018-02-09 18:00:00,24305.0,24966.0,1.3340516401062257,1.3340516401062257,0.0,0.3615733736762481,1.4341906202723147,7,0,[1],0,1
US30,H4,2018-02-12 07:00:00,BUY,closed,,2018-02-12 11:00:00,2018-02-12 11:00:00,24488.0,24299.0,-1.0,-1.0,0.0,1.17989417989418,0.4021164021164021,1,0,[],1,1
US30,H4,2018-02-19 22:00:00,SELL,closed,,2018-02-20 02:00:00,2018-02-21 18:00:00,25127.0,25252.0,-1.0,-1.0,0.0,1.232,2.624,11,1,[],1,1
US30,H4,2018-02-22 14:00:00,BUY,closed,,2018-02-22 18:00:00,2018-02-26 07:00:00,25036.0,24854.0,2.401386583076101,2.401386583076101,0.0,0.7142857142857143,2.802197802197802,10,0,[1],0,1
US30,H4,2018-02-28 02:00:00,SELL,closed,,2018-02-28 06:00:00,2018-02-28 06:00:00,25422.0,25483.0,-1.0,-1.0,0.0,1.7868852459016393,0.36065573770491804,1,0,[],1,1
US30,H4,2018-03-05 15:00:00,BUY,closed,,2018-03-05 19:00:00,2018-03-11 22:00:00,24833.0,24390.0,1.2595809732504206,1.2595809732504206,0.0,0.909706546275395,1.4514672686230248,26,0,[1],0,1
US30,H4,2018-03-07 02:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-03-07 18:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-03-13 17:00:00,SELL,closed,,2018-03-13 21:00:00,2018-03-19 14:00:00,24976.0,25267.0,1.3636432179263624,1.3636432179263624,0.0,0.6597938144329897,1.731958762886598,23,0,[1],0,1
US30,H4,2018-03-16 13:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-03-19 06:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-03-21 01:00:00,BUY,closed,,2018-03-21 05:00:00,2018-03-21 05:00:00,24815.0,24757.0,-1.0,-1.0,0.0,1.3103448275862069,0.017241379310344827,1,0,[],1,1
US30,H4,2018-03-22 05:00:00,SELL,closed,,2018-03-22 09:00:00,2018-03-22 13:00:00,24646.0,24797.0,2.276200445691919,2.276200445691919,0.0,0.006622516556291391,3.0397350993377485,2,0,[1],0,1
US30,H4,2018-03-26 18:00:00,BUY,closed,,2018-03-26 21:00:00,2018-03-27 17:00:00,24233.0,23951.0,-1.0,-1.0,0.0,1.8404255319148937,0.8085106382978723,6,0,[],1,1
US30,H4,2018-03-27 17:00:00,SELL,closed,,2018-03-27 21:00:00,2018-04-05 05:00:00,23855.0,24445.0,-1.0,-1.0,0.0,1.0169491525423728,0.8779661016949153,33,0,[],1,1
US30,H4,2018-03-29 13:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-02 14:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-03 17:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-04 05:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-04 13:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-06 17:00:00,SELL,closed,,2018-04-08 22:00:00,2018-04-09 14:00:00,24029.0,24222.0,-1.0,-1.0,0.0,1.849740932642487,0.21761658031088082,5,0,[],1,1
US30,H4,2018-04-09 14:00:00,BUY,closed,,2018-04-09 18:00:00,2018-04-09 18:00:00,24379.0,24081.0,-1.0,-1.0,0.0,1.4026845637583893,0.010067114093959731,1,0,[],1,1
US30,H4,2018-04-09 18:00:00,SELL,closed,,2018-04-09 21:00:00,2018-04-10 01:00:00,24022.0,24392.0,-1.0,-1.0,0.0,1.0432432432432432,0.10810810810810811,2,0,[],1,1
US30,H4,2018-04-10 01:00:00,BUY,closed,,2018-04-10 05:00:00,2018-04-24 17:00:00,24320.0,24018.0,-1.0,-1.0,0.0,1.596026490066225,1.8344370860927153,64,0,[],1,1
US30,H4,2018-04-11 09:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2018-04-12 09:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
