bartime,side,sl_price
2025-06-29 18:00,BUY,
2025-06-30 15:00,SELL,108779.55
2025-07-02 13:30,BUY,105106.45
2025-07-04 12:45,SELL,110019.3
2025-07-06 03:00,SELL,108233.85
2025-07-06 15:00,BUY,107819.75
2025-07-07 15:00,SELL,109696.1
2025-07-08 12:00,BUY,107440.15
2025-07-13 11:15,BUY,117063.1
2025-07-15 03:00,SELL,120455.7
2025-07-16 09:00,BUY,117035.0
2025-07-17 12:00,SELL,120033.2
2025-07-17 18:00,BUY,117470.55
2025-07-18 15:00,SELL,120869.5
2025-07-20 15:00,BUY,117805.15
2025-07-21 00:00,SELL,118868.1
2025-07-21 06:00,BUY,116540.8
2025-07-21 21:00,SELL,119648.2
2025-07-22 12:00,BUY,116606.5
2025-07-23 15:45,SELL,120254.2
2025-07-24 03:00,BUY,117373.0
2025-07-24 06:00,SELL,118744.7
2025-07-24 12:45,BUY,117167.35
2025-07-25 03:00,SELL,119509.05
2025-07-26 00:00,BUY,114901.4
2025-07-26 09:45,BUY,114901.4
2025-07-28 15:00,SELL,119801.55
2025-07-29 06:00,BUY,117381.9
2025-07-29 18:00,SELL,119236.3
2025-07-30 18:00,SELL,118428.95
2025-07-31 06:00,BUY,115739.5
2025-07-31 18:45,SELL,118892.1
2025-08-03 09:00,BUY,111896.3
2025-08-05 15:00,SELL,115046.7
2025-08-06 15:00,BUY,113344.9
2025-08-09 03:45,SELL,116964.75
2025-08-10 03:00,BUY,116379.4
2025-08-12 09:00,SELL,119255.2
2025-08-12 21:00,BUY,119167.0
2025-08-14 15:00,SELL,124481.0
2025-08-17 06:00,BUY,117251.7
2025-08-18 00:00,SELL,118586.7
2025-08-20 21:00,BUY,112354.2
2025-08-21 06:45,SELL,114767.05
2025-08-21 12:00,SELL,114767.05
2025-08-22 15:00,BUY,112646.55
2025-08-23 15:00,SELL,117141.1
2025-08-24 02:15,SELL,117141.1
2025-08-27 00:00,BUY,109351.0
2025-08-29 03:00,SELL,113453.25
2025-08-31 08:15,BUY,108456.0
2025-08-31 18:45,BUY,108174.25
2025-09-01 00:00,SELL,109471.1
2025-09-01 12:45,BUY,107239.3
2025-09-04 13:30,SELL,111136.45
2025-09-05 03:00,BUY,109328.5
2025-09-05 18:00,SELL,113354.55
2025-09-07 09:00,BUY,109988.05
2025-09-10 00:45,SELL,111704.5
2025-09-10 09:00,BUY,110910.55
2025-09-14 15:00,SELL,116181.05
2025-09-15 06:00,BUY,114865.1
2025-09-15 09:00,SELL,116113.35
2025-09-16 06:00,BUY,114403.0
2025-09-17 18:00,SELL,117295.45
2025-09-18 03:00,BUY,114737.5
2025-09-19 09:00,SELL,117469.85
2025-09-24 12:00,BUY,111082.6
2025-09-25 06:00,SELL,113968.4
2025-09-28 06:00,SELL,109808.75
2025-09-28 12:00,SELL,109589.35
2025-09-28 15:00,BUY,109297.85
2025-10-07 15:00,SELL,126237.15
2025-10-08 16:30,BUY,121082.2
2025-10-09 03:00,SELL,123522.95
2025-10-12 18:00,BUY,111189.35
2025-10-14 06:00,SELL,115962.4
2025-10-15 12:00,SELL,113527.5
2025-10-18 21:45,BUY,106493.1
2025-10-19 09:00,SELL,107355.15
2025-10-19 12:00,BUY,106766.85
2025-10-21 06:00,SELL,111267.55
2025-10-21 18:00,BUY,107477.5
2025-10-22 03:00,SELL,114029.55
2025-10-23 09:00,BUY,106694.3
2025-10-28 03:00,SELL,115763.0
2025-10-28 21:00,SELL,116054.55
2025-10-31 14:15,BUY,109132.2
