bartime,side,sl_price
2025-03-15 03:30,SELL,2990.35
2025-03-17 05:00,BUY,2978.38
2025-03-19 23:00,BUY,3022.77
2025-03-20 17:00,SELL,3057.33
2025-03-21 09:00,SELL,3042.23
2025-03-24 15:30,BUY,3013.56
2025-03-24 21:00,SELL,3033.15
2025-03-25 13:00,BUY,3007.51
2025-03-26 21:30,SELL,3030.33
2025-03-27 07:30,BUY,3012.3
2025-04-01 22:30,SELL,3138.83
2025-04-02 09:00,BUY,3100.78
2025-04-03 14:00,SELL,3167.72
2025-04-08 13:00,BUY,2956.24
2025-04-08 23:30,SELL,3022.61
2025-04-09 10:00,BUY,2969.94
2025-04-14 17:00,SELL,3238.0
2025-04-15 09:00,BUY,3201.37
2025-04-15 21:00,BUY,3217.45
2025-04-17 20:30,SELL,3345.36
2025-04-21 05:00,BUY,3283.79
2025-04-22 21:00,SELL,3468.19
2025-04-24 08:00,BUY,3277.73
2025-04-25 12:00,SELL,3370.48
2025-04-28 06:30,SELL,3370.48
2025-04-28 21:00,BUY,3273.22
2025-04-29 12:00,SELL,3352.97
2025-04-30 00:00,BUY,3299.63
2025-04-30 07:30,SELL,3329.86
2025-05-02 09:00,BUY,3204.98
2025-05-02 23:30,SELL,3269.19
2025-05-05 08:00,BUY,3222.71
2025-05-07 09:30,BUY,3350.25
2025-05-07 10:30,SELL,3435.91
2025-05-08 12:30,SELL,3414.69
2025-05-09 18:00,BUY,3274.74
2025-05-12 05:00,SELL,3347.43
2025-05-13 12:30,BUY,3215.85
2025-05-14 09:00,SELL,3257.03
2025-05-15 20:00,BUY,3120.63
2025-05-16 15:30,SELL,3231.16
2025-05-19 05:00,BUY,3154.24
2025-05-20 06:30,SELL,3235.76
2025-05-20 16:30,BUY,3204.54
2025-05-22 16:30,SELL,3345.28
2025-05-23 11:30,BUY,3287.05
2025-05-26 14:00,SELL,3356.65
2025-05-27 01:00,BUY,3323.62
2025-05-27 05:00,BUY,3323.62
2025-05-27 11:30,SELL,3349.84
2025-05-28 14:30,BUY,3291.61
2025-05-28 22:00,SELL,3325.41
2025-05-29 18:00,BUY,3265.94
2025-05-30 10:30,SELL,3331.09
2025-06-02 05:30,BUY,3271.42
2025-06-03 14:30,SELL,3392.12
2025-06-04 08:30,BUY,3333.11
2025-06-04 12:30,SELL,3372.52
2025-06-04 16:00,BUY,3347.92
2025-06-05 22:30,SELL,3403.33
2025-06-06 13:30,SELL,3403.33
2025-06-09 22:30,BUY,3310.64
2025-06-10 08:00,SELL,3338.12
2025-06-10 15:00,BUY,3301.88
2025-06-11 01:30,SELL,3349.02
2025-06-11 02:00,BUY,3301.88
2025-06-11 20:00,BUY,3315.5
2025-06-16 13:00,SELL,3452.19
2025-06-19 02:00,SELL,3396.72
2025-06-20 21:30,BUY,3340.27
2025-06-23 11:00,SELL,3396.56
2025-06-23 17:30,BUY,3346.93
2025-06-24 05:30,SELL,3393.46
2025-06-25 10:00,BUY,3295.32
2025-06-25 17:30,SELL,3337.0
2025-06-26 00:00,BUY,3311.92
2025-06-26 20:00,SELL,3350.24
2025-06-30 12:30,BUY,3247.06
2025-07-02 06:00,BUY,3274.49
2025-07-02 12:00,BUY,3328.56
2025-07-02 14:00,SELL,3344.84
2025-07-02 16:30,BUY,3327.53
2025-07-03 19:30,SELL,3363.55
2025-07-04 12:30,BUY,3323.52
2025-07-04 19:30,SELL,3345.0
2025-07-07 23:30,BUY,3296.38
2025-07-08 16:30,SELL,3339.39
2025-07-09 22:00,BUY,3282.63
2025-07-14 21:00,SELL,3374.92
2025-07-15 11:30,BUY,3341.17
2025-07-15 20:00,SELL,3366.29
2025-07-16 15:30,BUY,3323.59
2025-07-17 10:30,SELL,3352.15
2025-07-18 01:00,BUY,3309.85
2025-07-22 15:00,BUY,3385.07
2025-07-23 20:30,SELL,3433.77
2025-07-28 14:30,SELL,3340.16
2025-07-29 15:30,BUY,3308.91
2025-07-30 19:30,SELL,3333.92
2025-07-31 15:00,BUY,3268.1
2025-07-31 22:30,SELL,3310.99
2025-08-01 18:00,BUY,3285.21
2025-08-05 21:30,BUY,3349.77
2025-08-06 12:00,SELL,3385.25
2025-08-06 22:30,BUY,3358.16
2025-08-07 08:00,BUY,3358.16
2025-08-08 22:00,BUY,3380.27
2025-08-11 07:30,SELL,3405.11
2025-08-13 06:00,BUY,3345.53
2025-08-14 14:30,SELL,3374.75
2025-08-18 09:00,BUY,3323.47
2025-08-18 21:00,SELL,3351.61
2025-08-19 20:00,SELL,3345.2
2025-08-20 16:00,BUY,3311.45
2025-08-21 13:30,SELL,3351.99
2025-08-21 18:00,SELL,3351.99
2025-08-21 22:00,BUY,3325.36
2025-08-22 03:00,SELL,3348.0
2025-08-22 21:00,BUY,3325.3
2025-08-26 07:30,BUY,3361.91
2025-08-27 12:00,SELL,3394.24
2025-08-27 21:30,BUY,3373.74
2025-08-29 14:30,BUY,3387.62
2025-09-04 10:00,SELL,3578.38
2025-09-04 22:30,BUY,3511.22
2025-09-10 02:00,SELL,3674.47
2025-09-10 13:00,BUY,3620.12
2025-09-11 01:00,BUY,3638.45
2025-09-11 03:00,SELL,3657.48
2025-09-12 00:30,BUY,3613.01
2025-09-15 05:00,SELL,3650.5
2025-09-15 19:30,BUY,3633.73
2025-09-17 09:00,SELL,3703.11
2025-09-18 01:30,SELL,3685.8
2025-09-19 11:30,BUY,3632.13
2025-09-24 12:30,BUY,3750.63
2025-09-24 20:30,SELL,3779.18
2025-09-25 15:30,BUY,3729.44
2025-09-25 20:30,SELL,3761.48
2025-09-26 12:00,BUY,3721.92
2025-09-30 16:30,SELL,3871.54
2025-09-30 22:30,BUY,3793.15
2025-10-02 02:00,SELL,3895.19
2025-10-02 13:00,BUY,3852.74
2025-10-02 22:00,SELL,3869.93
2025-10-03 15:00,BUY,3838.03
2025-10-09 07:00,SELL,4059.21
2025-10-09 12:00,BUY,4001.23
2025-10-09 21:30,SELL,4043.59
2025-10-10 18:00,BUY,3952.52
2025-10-17 20:00,SELL,4378.65
2025-10-20 19:00,BUY,4221.36
2025-10-21 15:00,SELL,4372.21
2025-10-23 10:30,BUY,4065.77
2025-10-24 11:00,SELL,4144.2
2025-10-24 22:30,BUY,4044.01
2025-10-27 05:30,SELL,4138.54
2025-10-29 07:30,BUY,3914.87
2025-10-30 02:00,SELL,4030.16
2025-10-30 16:00,BUY,3915.16
2025-10-31 23:30,SELL,4036.06
2025-11-03 12:30,BUY,3962.23
2025-11-04 01:00,SELL,4030.53
2025-11-05 13:30,BUY,3929.35
2025-11-07 00:00,SELL,4019.49
2025-11-07 08:30,BUY,3971.27
2025-11-11 23:00,SELL,4146.53
2025-11-12 17:30,BUY,4098.84
2025-11-14 01:00,SELL,4244.91
2025-11-14 12:30,SELL,4244.91
2025-11-18 20:30,BUY,3997.95
2025-11-20 03:00,SELL,4132.73
2025-11-20 23:30,SELL,4072.73
2025-11-21 08:30,SELL,4107.12
2025-11-21 21:30,BUY,4030.91
2025-11-24 08:30,SELL,4077.62
2025-11-24 17:00,BUY,4039.89
2025-11-27 11:00,SELL,4168.83
2025-11-28 01:30,BUY,4151.37
2025-12-02 06:30,SELL,4244.59
2025-12-03 08:00,BUY,4163.33
2025-12-03 16:00,SELL,4228.88
2025-12-04 22:30,BUY,4185.51
2025-12-06 02:00,SELL,4259.22
2025-12-08 14:30,SELL,4259.22
2025-12-09 17:00,BUY,4169.95
2025-12-10 15:30,SELL,4214.31
2025-12-11 03:00,BUY,4187.68
2025-12-15 23:00,SELL,4350.2
2025-12-16 21:30,BUY,4271.55
2025-12-18 15:30,SELL,4337.63
2025-12-18 22:30,BUY,4328.53
2025-12-19 07:30,SELL,4338.11
2025-12-19 20:00,BUY,4309.32
2025-12-24 21:00,SELL,4499.75
2025-12-26 07:00,BUY,4448.26
2025-12-29 08:00,SELL,4549.92
2025-12-30 18:30,BUY,4350.26
2025-12-30 23:00,SELL,4404.11
2026-01-02 07:30,BUY,4304.46
2026-01-02 23:00,SELL,4402.22
2026-01-05 07:30,BUY,4309.68
2026-01-07 12:30,SELL,4480.22
2026-01-08 23:30,BUY,4407.65
2026-01-13 14:00,SELL,4630.04
