bartime,side,atr
2020-07-05 22:00,BUY,281.7749683804349
2020-07-09 17:00,SELL,203.24931057991765
2020-07-22 01:00,BUY,207.60440662227938
2020-07-22 13:00,SELL,266.8094561906071
2020-07-29 05:00,BUY,152.30420259304344
2020-07-30 09:00,SELL,226.25600110568848
2020-08-04 05:00,BUY,226.11680304857782
2020-08-06 01:00,SELL,262.59424077975456
2020-08-11 01:00,BUY,228.94711172320257
2020-08-19 13:00,SELL,132.56943228108406
2020-08-25 05:00,BUY,216.972587442183
2020-08-27 05:00,SELL,154.13067190781695
2020-08-28 01:00,BUY,202.93832321344183
2020-08-31 06:00,SELL,304.40383180046456
2020-09-09 17:00,BUY,150.51471377425386
2020-09-10 13:00,SELL,183.26202676193438
2020-09-13 22:00,BUY,188.90652616168836
2020-09-17 01:00,SELL,199.45176835268384
2020-09-28 02:00,BUY,208.4958842853199
2020-10-09 05:00,SELL,154.6978906032145
2020-10-11 22:00,BUY,170.29545599107666
2020-10-15 01:00,SELL,172.4864576409916
2020-10-20 13:00,BUY,136.09431420917772
2020-10-27 01:00,SELL,176.91540120698852
2020-11-02 07:00,BUY,193.44452850507105
2020-11-12 14:00,SELL,184.6781766527145
2020-11-16 07:00,BUY,127.54327190551004
2020-11-19 06:00,SELL,146.5490641230316
2020-11-20 10:00,BUY,114.22274986546803
2020-11-23 03:00,SELL,97.86163834489571
2020-11-24 06:00,BUY,105.86654532228435
2020-11-30 03:00,SELL,155.5023037187827
2020-12-01 14:00,BUY,149.67269241987628
2020-12-02 10:00,SELL,143.72193481518133
2020-12-02 14:00,BUY,145.57754785214507
2020-12-06 23:00,SELL,180.34649660647744
2020-12-10 14:00,BUY,152.79200341872746
2020-12-11 10:00,SELL,149.1676046003108
2020-12-14 11:00,BUY,125.87209654034389
2020-12-15 02:00,SELL,131.6065134286561
2020-12-16 02:00,BUY,105.43602232030204
2020-12-18 02:00,SELL,123.97012634015061
2020-12-23 06:00,BUY,139.7712195146931
2021-01-07 10:00,SELL,176.15799126004015
2021-01-08 06:00,BUY,204.80391322011246
2021-01-22 02:00,SELL,191.39761138504255
2021-01-24 23:00,BUY,214.9266092986508
2021-01-26 02:00,SELL,232.19800906798554
2021-02-01 15:00,BUY,243.28795759327306
2021-02-18 10:00,SELL,196.6769675634097
2021-02-19 10:00,BUY,221.22246873117814
2021-02-21 23:00,SELL,194.44590399036326
2021-02-23 02:00,BUY,276.85778705564985
2021-02-23 14:00,SELL,279.5951869724928
2021-02-23 18:00,BUY,250.77614957799423
2021-02-24 02:00,SELL,363.0209196623954
2021-03-03 02:00,BUY,253.8958211722819
2021-03-04 02:00,SELL,273.14666268173335
2021-03-05 02:00,BUY,353.8600584275504
2021-03-05 06:00,SELL,363.78804674204036
2021-03-09 14:00,BUY,278.11761963101173
2021-03-12 06:00,SELL,317.29504297559765
2021-03-15 18:00,BUY,191.42497007730893
2021-03-17 09:00,SELL,170.42536662780552
2021-03-17 17:00,BUY,188.17223464179554
2021-03-19 01:00,SELL,208.10860627793892
2021-03-26 05:00,BUY,200.69300194522575
2021-03-31 05:00,SELL,213.7549237127992
2021-03-31 17:00,BUY,159.65452094095323
2021-04-07 05:00,SELL,199.94087899003623
2021-04-08 01:00,BUY,277.5589840343189
2021-04-09 05:00,SELL,219.14887031069253
2021-04-13 01:00,BUY,181.19713739109426
2021-04-15 01:00,SELL,192.78308593018926
2021-04-15 09:00,BUY,184.80117499532116
2021-04-19 14:00,SELL,178.51778118226048
2021-04-23 01:00,BUY,204.59578537490475
2021-04-26 06:00,SELL,195.10526524905524
