bartime,side,atr
2025-01-01 18:00,BUY,448.909234749903
2025-01-03 14:00,BUY,413.6276602017153
2025-01-04 19:00,BUY,308.3175093308021
2025-01-05 13:00,SELL,260.3716441088746
2025-01-05 22:00,BUY,357.3479115127201
2025-01-07 16:00,SELL,923.7467073466565
2025-01-10 10:00,BUY,515.618230781637
2025-01-10 17:00,BUY,1335.7414923920178
2025-01-11 10:00,BUY,351.13833888772945
2025-01-11 20:00,BUY,309.86741427072053
2025-01-12 17:00,BUY,331.306308167962
2025-01-13 07:00,SELL,623.2463286878913
2025-01-14 01:00,BUY,756.9301167414876
2025-01-16 17:00,BUY,988.3745376072596
2025-01-18 13:00,BUY,774.7056050057957
2025-01-18 15:00,BUY,815.4255872037107
2025-01-18 18:00,BUY,858.9643006483007
2025-01-19 23:00,SELL,1886.06370396002
2025-01-20 11:00,BUY,1557.044300718683
2025-01-20 23:00,SELL,1882.5515053716563
2025-01-21 19:00,BUY,1286.8359961497808
2025-01-22 16:00,SELL,867.7620624537481
2025-01-24 04:00,BUY,1136.3982537448685
2025-01-25 08:00,SELL,481.87567819225137
2025-01-25 19:00,BUY,300.01015315649715
2025-01-26 03:00,BUY,308.3969822649962
2025-01-26 17:00,BUY,168.7242249163319
2025-01-27 01:00,SELL,772.8104896105435
2025-01-28 07:00,BUY,745.8549687655129
2025-01-29 10:00,BUY,441.94970144285196
2025-01-31 19:00,SELL,935.6883129921723
2025-02-03 19:00,BUY,1508.7910290389973
2025-02-05 01:00,SELL,1126.6243601850933
2025-02-05 17:00,SELL,764.2332431345983
2025-02-06 10:00,BUY,452.6438242134112
2025-02-06 19:00,SELL,883.8848939031535
2025-02-07 13:00,BUY,698.6777964043622
2025-02-08 01:00,SELL,629.0537771547852
2025-02-09 07:00,BUY,263.80091416230437
2025-02-09 19:00,SELL,375.0999925348313
2025-02-10 01:00,SELL,921.3074860430479
2025-02-10 07:00,BUY,673.4222696212676
2025-02-11 00:00,BUY,401.8750352613199
2025-02-11 19:00,SELL,597.6649184214463
2025-02-12 13:00,SELL,779.577161202931
2025-02-12 19:00,BUY,960.9269793463852
2025-02-13 10:00,SELL,422.76905225919114
2025-02-14 02:00,BUY,447.20418245580856
