Info | CBot instance [Combo, UK100.cash, h1] started.
02/01/2026 01:00:15.117 | Info | Combo: loaded 4824 valid signal row(s) from CSV.
02/01/2026 01:00:15.117 | Info | Combo: signal scheduling active with chart timeframe h1 (01:00:00); CSV timeframe must match the chart timeframe.
02/01/2026 02:00:01.606 | Trade | Placing Stop Order to Sell 4.14 UK100.cash (Price: 9891.3, SL: 9909.20645707996, TP: 9844.42)
02/01/2026 02:00:01.606 | Trade | → Placing Stop Order to Sell 4.14 UK100.cash (Price: 9891.3, SL: 9909.20645707996, TP: 9844.42) SUCCEEDED, PendingOrder OID1
02/01/2026 02:00:01.606 | Info | Combo: bartime=2026-01-02 01:00, executed=2026-01-02 02:00:01, pending Sell placed at 9891.3; SL=9909.206457079963, TP=9844.420895364654; valid for the next 3 chart bar(s).
02/01/2026 05:00:36.217 | Trade | Cancelling pending order OID1
02/01/2026 05:00:36.217 | Trade | → Cancelling pending order OID1 SUCCEEDED
02/01/2026 05:00:36.217 | Info | Combo: pending order 1 cancelled after 3 chart bars.
02/01/2026 09:00:00.119 | Trade | Placing Stop Order to Buy 2.21 UK100.cash (Price: 10051, SL: 10017.4487258522, TP: 10138.84)
02/01/2026 09:00:00.119 | Trade | → Placing Stop Order to Buy 2.21 UK100.cash (Price: 10051, SL: 10017.4487258522, TP: 10138.84) SUCCEEDED, PendingOrder OID2
02/01/2026 09:00:00.119 | Info | Combo: bartime=2026-01-02 08:00, executed=2026-01-02 09:00:00, pending Buy placed at 10051; SL=10017.448725852184, TP=10138.837235718984; valid for the next 3 chart bar(s).
02/01/2026 15:00:00.123 | Trade | Placing Stop Order to Sell 2.25 UK100.cash (Price: 9951.8, SL: 9984.3760972102, TP: 9866.52)
02/01/2026 15:00:00.123 | Trade | → Placing Stop Order to Sell 2.25 UK100.cash (Price: 9951.8, SL: 9984.3760972102, TP: 9866.52) SUCCEEDED, PendingOrder OID5
02/01/2026 15:00:00.123 | Info | Combo: bartime=2026-01-02 14:00, executed=2026-01-02 15:00:00, pending Sell placed at 9951.8; SL=9984.376097210205, TP=9866.515777503682; valid for the next 3 chart bar(s).
02/01/2026 20:00:00.818 | Trade | Placing Stop Order to Buy 2.75 UK100.cash (Price: 10000.4, SL: 9974.05893646616, TP: 10069.36)
02/01/2026 20:00:00.818 | Trade | → Placing Stop Order to Buy 2.75 UK100.cash (Price: 10000.4, SL: 9974.05893646616, TP: 10069.36) SUCCEEDED, PendingOrder OID8
02/01/2026 20:00:00.818 | Info | Combo: bartime=2026-01-02 19:00, executed=2026-01-02 20:00:00, pending Buy placed at 10000.4; SL=9974.05893646616, TP=10069.360904331592; valid for the next 3 chart bar(s).
05/01/2026 09:00:00.211 | Trade | Placing Stop Order to Sell 3.28 UK100.cash (Price: 9958.8, SL: 9980.61451959082, TP: 9901.69)
05/01/2026 09:00:00.211 | Trade | → Placing Stop Order to Sell 3.28 UK100.cash (Price: 9958.8, SL: 9980.61451959082, TP: 9901.69) SUCCEEDED, PendingOrder OID11
05/01/2026 09:00:00.211 | Info | Combo: bartime=2026-01-05 08:00, executed=2026-01-05 09:00:00, pending Sell placed at 9958.8; SL=9980.614519590818, TP=9901.689587711238; valid for the next 3 chart bar(s).
05/01/2026 16:00:00.510 | Trade | Placing Stop Order to Buy 2.68 UK100.cash (Price: 10005, SL: 9978.54752014111, TP: 10074.25)
05/01/2026 16:00:00.510 | Trade | → Placing Stop Order to Buy 2.68 UK100.cash (Price: 10005, SL: 9978.54752014111, TP: 10074.25) SUCCEEDED, PendingOrder OID14
05/01/2026 16:00:00.510 | Info | Combo: bartime=2026-01-05 15:00, executed=2026-01-05 16:00:00, pending Buy placed at 10005; SL=9978.547520141108, TP=10074.25259227058; valid for the next 3 chart bar(s).
07/01/2026 06:00:01.613 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 7.92 units, which needs about $7705.50 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4909.36 budget, free margin was $9818.71). Size was cut from 7.92 to 4.94 units. Real risk on this trade is now about $61.17 (0.62% of balance) instead of the requested 1.00%.
07/01/2026 06:00:01.613 | Trade | Placing Stop Order to Sell 4.94 UK100.cash (Price: 10097, SL: 10106.1857923008, TP: 10072.95)
