Info | CBot instance [Combo, US100.cash, h1] started.
01/01/2026 23:05:00.004 | Info | Combo: loaded 4461 valid signal row(s) from CSV.
01/01/2026 23:05:00.004 | Info | Combo: signal scheduling active with chart timeframe h1 (01:00:00); CSV timeframe must match the chart timeframe.
02/01/2026 03:00:00.118 | Trade | Placing Stop Order to Buy 1.73 US100.cash (Price: 25401.4, SL: 25343.8853731501, TP: 25551.97)
02/01/2026 03:00:00.118 | Trade | → Placing Stop Order to Buy 1.73 US100.cash (Price: 25401.4, SL: 25343.8853731501, TP: 25551.97) SUCCEEDED, PendingOrder OID1
02/01/2026 03:00:00.118 | Info | Combo: bartime=2026-01-02 02:00, executed=2026-01-02 03:00:00, pending Buy placed at 25401.4; SL=25343.885373150126, TP=25551.97329309298; valid for the next 3 chart bar(s).
02/01/2026 16:00:00.000 | Trade | Placing Stop Order to Sell 0.78 US100.cash (Price: 25160.5, SL: 25290.933995779, TP: 24819.02)
02/01/2026 16:00:00.000 | Trade | → Placing Stop Order to Sell 0.78 US100.cash (Price: 25160.5, SL: 25290.933995779, TP: 24819.02) SUCCEEDED, PendingOrder OID4
02/01/2026 16:00:00.000 | Info | Combo: bartime=2026-01-02 15:00, executed=2026-01-02 16:00:00, pending Sell placed at 25160.5; SL=25290.933995779014, TP=24819.02379905054; valid for the next 3 chart bar(s).
06/01/2026 09:00:00.109 | Trade | Placing Stop Order to Sell 2.11 US100.cash (Price: 25338.5, SL: 25386.5971376342, TP: 25212.58)
06/01/2026 09:00:00.109 | Trade | → Placing Stop Order to Sell 2.11 US100.cash (Price: 25338.5, SL: 25386.5971376342, TP: 25212.58) SUCCEEDED, PendingOrder OID7
06/01/2026 09:00:00.109 | Info | Combo: bartime=2026-01-06 08:00, executed=2026-01-06 09:00:00, pending Sell placed at 25338.5; SL=25386.59713763418, TP=25212.581693673717; valid for the next 3 chart bar(s).
06/01/2026 12:00:00.008 | Trade | Cancelling pending order OID7
06/01/2026 12:00:00.008 | Trade | → Cancelling pending order OID7 SUCCEEDED
06/01/2026 12:00:00.008 | Info | Combo: pending order 7 cancelled after 3 chart bars.
07/01/2026 15:00:00.011 | Trade | Placing Stop Order to Buy 1.99 US100.cash (Price: 25706.1, SL: 25655.2285292297, TP: 25839.28)
07/01/2026 15:00:00.011 | Trade | → Placing Stop Order to Buy 1.99 US100.cash (Price: 25706.1, SL: 25655.2285292297, TP: 25839.28) SUCCEEDED, PendingOrder OID8
07/01/2026 15:00:00.011 | Info | Combo: bartime=2026-01-07 14:00, executed=2026-01-07 15:00:00, pending Buy placed at 25706.1; SL=25655.228529229735, TP=25839.28151047655; valid for the next 3 chart bar(s).
08/01/2026 00:00:00.108 | Trade | Placing Stop Order to Sell 2.21 US100.cash (Price: 25636.8, SL: 25682.2447729324, TP: 25517.83)
08/01/2026 00:00:00.108 | Trade | → Placing Stop Order to Sell 2.21 US100.cash (Price: 25636.8, SL: 25682.2447729324, TP: 25517.83) SUCCEEDED, PendingOrder OID11
08/01/2026 00:00:00.108 | Info | Combo: bartime=2026-01-07 23:00, executed=2026-01-08 00:00:00, pending Sell placed at 25636.8; SL=25682.2447729324, TP=25517.825584462968; valid for the next 3 chart bar(s).
08/01/2026 03:00:00.007 | Info | Combo: bartime=2026-01-08 02:00, Sell signal skipped: already have same-direction exposure open.
08/01/2026 15:00:00.009 | Trade | Placing Stop Order to Sell 1.25 US100.cash (Price: 25417.3, SL: 25499.1934362121, TP: 25202.9)
08/01/2026 15:00:00.009 | Trade | → Placing Stop Order to Sell 1.25 US100.cash (Price: 25417.3, SL: 25499.1934362121, TP: 25202.9) SUCCEEDED, PendingOrder OID14
08/01/2026 15:00:00.009 | Info | Combo: bartime=2026-01-08 14:00, executed=2026-01-08 15:00:00, pending Sell placed at 25417.3; SL=25499.193436212085, TP=25202.90298399676; valid for the next 3 chart bar(s).
08/01/2026 23:05:00.007 | Trade | Placing Stop Order to Buy 1.51 US100.cash (Price: 25572, SL: 25504.8288490609, TP: 25747.85)
08/01/2026 23:05:00.007 | Trade | → Placing Stop Order to Buy 1.51 US100.cash (Price: 25572, SL: 25504.8288490609, TP: 25747.85) SUCCEEDED, PendingOrder OID17
08/01/2026 23:05:00.007 | Info | Combo: bartime=2026-01-08 22:00, executed=2026-01-08 23:05:00, pending Buy placed at 25572; SL=25504.828849060876, TP=25747.85407315863; valid for the next 3 chart bar(s).
09/01/2026 02:00:00.107 | Trade | Cancelling pending order OID17
09/01/2026 02:00:00.107 | Trade | → Cancelling pending order OID17 SUCCEEDED
09/01/2026 02:00:00.107 | Info | Combo: pending order 17 cancelled after 3 chart bars.
09/01/2026 06:00:00.230 | Trade | Placing Stop Order to Buy 2.51 US100.cash (Price: 25526.1, SL: 25485.5326817666, TP: 25632.31)
09/01/2026 06:00:00.230 | Trade | → Placing Stop Order to Buy 2.51 US100.cash (Price: 25526.1, SL: 25485.5326817666, TP: 25632.31) SUCCEEDED, PendingOrder OID18
09/01/2026 06:00:00.230 | Info | Combo: bartime=2026-01-09 05:00, executed=2026-01-09 06:00:00, pending Buy placed at 25526.1; SL=25485.53268176657, TP=25632.305239135112; valid for the next 3 chart bar(s).
09/01/2026 10:00:00.102 | Trade | Placing Stop Order to Buy 2.34 US100.cash (Price: 25555.4, SL: 25512.2869864516, TP: 25668.27)
09/01/2026 10:00:00.102 | Trade | → Placing Stop Order to Buy 2.34 US100.cash (Price: 25555.4, SL: 25512.2869864516, TP: 25668.27) SUCCEEDED, PendingOrder OID21
09/01/2026 10:00:00.102 | Info | Combo: bartime=2026-01-09 09:00, executed=2026-01-09 10:00:00, pending Buy placed at 25555.4; SL=25512.28698645159, TP=25668.269869469746; valid for the next 3 chart bar(s).
12/01/2026 01:00:00.111 | Trade | Placing Stop Order to Sell 1.28 US100.cash (Price: 25598.4, SL: 25676.1321597971, TP: 25394.9)
12/01/2026 01:00:00.111 | Trade | → Placing Stop Order to Sell 1.28 US100.cash (Price: 25598.4, SL: 25676.1321597971, TP: 25394.9) SUCCEEDED, PendingOrder OID24
12/01/2026 01:00:00.111 | Info | Combo: bartime=2026-01-12 00:00, executed=2026-01-12 01:00:00, pending Sell placed at 25598.4; SL=25676.132159797053, TP=25394.897205651323; valid for the next 3 chart bar(s).
12/01/2026 15:00:00.000 | Trade | Placing Stop Order to Buy 1.27 US100.cash (Price: 25759.8, SL: 25682.4055468804, TP: 25962.42)
12/01/2026 15:00:00.000 | Trade | → Placing Stop Order to Buy 1.27 US100.cash (Price: 25759.8, SL: 25682.4055468804, TP: 25962.42) SUCCEEDED, PendingOrder OID27
12/01/2026 15:00:00.000 | Info | Combo: bartime=2026-01-12 14:00, executed=2026-01-12 15:00:00, pending Buy placed at 25759.8; SL=25682.40554688045, TP=25962.418678266975; valid for the next 3 chart bar(s).
13/01/2026 09:00:00.006 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 3.20 units, which needs about $5319.20 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4893.35 budget, free margin was $9786.71). Size was cut from 3.20 to 2.88 units. Real risk on this trade is now about $87.87 (0.90% of balance) instead of the requested 1.00%.
13/01/2026 09:00:00.006 | Trade | Placing Stop Order to Sell 2.88 US100.cash (Price: 25725.8, SL: 25756.3100608772, TP: 25645.92)
13/01/2026 09:00:00.006 | Trade | → Placing Stop Order to Sell 2.88 US100.cash (Price: 25725.8, SL: 25756.3100608772, TP: 25645.92) SUCCEEDED, PendingOrder OID30
13/01/2026 09:00:00.006 | Info | Combo: bartime=2026-01-13 08:00, executed=2026-01-13 09:00:00, pending Sell placed at 25725.8; SL=25756.31006087721, TP=25645.92466062346; valid for the next 3 chart bar(s).
13/01/2026 14:00:00.102 | Trade | Placing Stop Order to Buy 1.65 US100.cash (Price: 25884.2, SL: 25826.1123512518, TP: 26036.27)
13/01/2026 14:00:00.102 | Trade | → Placing Stop Order to Buy 1.65 US100.cash (Price: 25884.2, SL: 25826.1123512518, TP: 26036.27) SUCCEEDED, PendingOrder OID33
13/01/2026 14:00:00.102 | Info | Combo: bartime=2026-01-13 13:00, executed=2026-01-13 14:00:00, pending Buy placed at 25884.2; SL=25826.112351251755, TP=26036.273464422902; valid for the next 3 chart bar(s).
13/01/2026 16:00:00.008 | Info | Combo: bartime=2026-01-13 15:00, reversal - cancelling existing Buy pending order 33 before opening opposite direction.
13/01/2026 16:00:00.008 | Trade | Cancelling pending order OID33
13/01/2026 16:00:00.008 | Trade | → Cancelling pending order OID33 SUCCEEDED
13/01/2026 16:00:00.008 | Trade | Placing Stop Order to Sell 1.11 US100.cash (Price: 25642.3, SL: 25728.2800951989, TP: 25417.2)
13/01/2026 16:00:00.008 | Trade | → Placing Stop Order to Sell 1.11 US100.cash (Price: 25642.3, SL: 25728.2800951989, TP: 25417.2) SUCCEEDED, PendingOrder OID34
13/01/2026 16:00:00.008 | Info | Combo: bartime=2026-01-13 15:00, executed=2026-01-13 16:00:00, pending Sell placed at 25642.3; SL=25728.280095198876, TP=25417.20411076934; valid for the next 3 chart bar(s).
13/01/2026 17:00:00.205 | Info | Combo: bartime=2026-01-13 16:00, reversal - cancelling existing Sell pending order 34 before opening opposite direction.
13/01/2026 17:00:00.205 | Trade | Cancelling pending order OID34
13/01/2026 17:00:00.205 | Trade | → Cancelling pending order OID34 SUCCEEDED
13/01/2026 17:00:00.205 | Trade | Placing Stop Order to Buy 0.92 US100.cash (Price: 25864.3, SL: 25760.3559238409, TP: 26136.43)
13/01/2026 17:00:00.205 | Trade | → Placing Stop Order to Buy 0.92 US100.cash (Price: 25864.3, SL: 25760.3559238409, TP: 26136.43) SUCCEEDED, PendingOrder OID35
13/01/2026 17:00:00.205 | Info | Combo: bartime=2026-01-13 16:00, executed=2026-01-13 17:00:00, pending Buy placed at 25864.3; SL=25760.3559238409, TP=26136.425591384526; valid for the next 3 chart bar(s).
13/01/2026 18:00:00.002 | Info | Combo: bartime=2026-01-13 17:00, reversal - cancelling existing Buy pending order 35 before opening opposite direction.
13/01/2026 18:00:00.002 | Trade | Cancelling pending order OID35
13/01/2026 18:00:00.002 | Trade | → Cancelling pending order OID35 SUCCEEDED
13/01/2026 18:00:00.002 | Trade | Placing Stop Order to Sell 0.83 US100.cash (Price: 25687.3, SL: 25802.1152609273, TP: 25386.71)
13/01/2026 18:00:00.002 | Trade | → Placing Stop Order to Sell 0.83 US100.cash (Price: 25687.3, SL: 25802.1152609273, TP: 25386.71) SUCCEEDED, PendingOrder OID36
13/01/2026 18:00:00.002 | Info | Combo: bartime=2026-01-13 17:00, executed=2026-01-13 18:00:00, pending Sell placed at 25687.3; SL=25802.11526092728, TP=25386.713646892378; valid for the next 3 chart bar(s).
14/01/2026 01:00:00.004 | Info | Combo: bartime=2026-01-14 00:00, reversal - closing existing Sell position 11 before opening opposite direction.
14/01/2026 01:00:00.004 | Trade | Closing position PID11 (Volume: 0.83)
14/01/2026 01:00:00.004 | Trade | → Closing position PID11 (Volume: 0.83) SUCCEEDED
14/01/2026 01:00:00.004 | Trade | Placing Stop Order to Buy 1.65 US100.cash (Price: 25764.6, SL: 25706.8044949116, TP: 25915.91)
14/01/2026 01:00:00.004 | Trade | → Placing Stop Order to Buy 1.65 US100.cash (Price: 25764.6, SL: 25706.8044949116, TP: 25915.91) SUCCEEDED, PendingOrder OID40
14/01/2026 01:00:00.004 | Info | Combo: bartime=2026-01-14 00:00, executed=2026-01-14 01:00:00, pending Buy placed at 25764.6; SL=25706.804494911583, TP=25915.908632321472; valid for the next 3 chart bar(s).
14/01/2026 02:00:00.012 | Info | Combo: bartime=2026-01-14 01:00, reversal - cancelling existing Buy pending order 40 before opening opposite direction.
14/01/2026 02:00:00.012 | Trade | Cancelling pending order OID40
14/01/2026 02:00:00.012 | Trade | → Cancelling pending order OID40 SUCCEEDED
14/01/2026 02:00:00.012 | Trade | Placing Stop Order to Sell 1.72 US100.cash (Price: 25709, SL: 25764.3964040707, TP: 25563.97)
14/01/2026 02:00:00.012 | Trade | → Placing Stop Order to Sell 1.72 US100.cash (Price: 25709, SL: 25764.3964040707, TP: 25563.97) SUCCEEDED, PendingOrder OID41
14/01/2026 02:00:00.012 | Info | Combo: bartime=2026-01-14 01:00, executed=2026-01-14 02:00:00, pending Sell placed at 25709; SL=25764.396404070732, TP=25563.97221414282; valid for the next 3 chart bar(s).
14/01/2026 04:00:00.210 | Info | Combo: bartime=2026-01-14 03:00, reversal - cancelling existing Sell pending order 41 before opening opposite direction.
14/01/2026 04:00:00.210 | Trade | Cancelling pending order OID41
14/01/2026 04:00:00.210 | Trade | → Cancelling pending order OID41 SUCCEEDED
14/01/2026 04:00:00.210 | Trade | Placing Stop Order to Buy 2.08 US100.cash (Price: 25766.6, SL: 25720.6423013947, TP: 25886.92)
14/01/2026 04:00:00.210 | Trade | → Placing Stop Order to Buy 2.08 US100.cash (Price: 25766.6, SL: 25720.6423013947, TP: 25886.92) SUCCEEDED, PendingOrder OID42
14/01/2026 04:00:00.210 | Info | Combo: bartime=2026-01-14 03:00, executed=2026-01-14 04:00:00, pending Buy placed at 25766.6; SL=25720.64230139473, TP=25886.917254948592; valid for the next 3 chart bar(s).
14/01/2026 05:00:00.409 | Info | Combo: bartime=2026-01-14 04:00, reversal - cancelling existing Buy pending order 42 before opening opposite direction.
14/01/2026 05:00:00.409 | Trade | Cancelling pending order OID42
14/01/2026 05:00:00.409 | Trade | → Cancelling pending order OID42 SUCCEEDED
14/01/2026 05:00:00.409 | Trade | Placing Stop Order to Sell 2.07 US100.cash (Price: 25703.2, SL: 25749.3861588842, TP: 25582.28)
14/01/2026 05:00:00.409 | Trade | → Placing Stop Order to Sell 2.07 US100.cash (Price: 25703.2, SL: 25749.3861588842, TP: 25582.28) SUCCEEDED, PendingOrder OID43
14/01/2026 05:00:00.409 | Info | Combo: bartime=2026-01-14 04:00, executed=2026-01-14 05:00:00, pending Sell placed at 25703.2; SL=25749.386158884216, TP=25582.284636041128; valid for the next 3 chart bar(s).
15/01/2026 06:00:00.102 | Trade | Placing Stop Order to Buy 1.62 US100.cash (Price: 25492.9, SL: 25432.485544325, TP: 25651.07)
15/01/2026 06:00:00.102 | Trade | → Placing Stop Order to Buy 1.62 US100.cash (Price: 25492.9, SL: 25432.485544325, TP: 25651.07) SUCCEEDED, PendingOrder OID46
15/01/2026 06:00:00.102 | Info | Combo: bartime=2026-01-15 05:00, executed=2026-01-15 06:00:00, pending Buy placed at 25492.9; SL=25432.485544325027, TP=25651.065044957086; valid for the next 3 chart bar(s).
15/01/2026 20:00:00.209 | Trade | Placing Stop Order to Sell 1.15 US100.cash (Price: 25577.1, SL: 25664.3270045697, TP: 25348.74)
15/01/2026 20:00:00.209 | Trade | → Placing Stop Order to Sell 1.15 US100.cash (Price: 25577.1, SL: 25664.3270045697, TP: 25348.74) SUCCEEDED, PendingOrder OID49
15/01/2026 20:00:00.209 | Info | Combo: bartime=2026-01-15 19:00, executed=2026-01-15 20:00:00, pending Sell placed at 25577.1; SL=25664.327004569714, TP=25348.739702036488; valid for the next 3 chart bar(s).
16/01/2026 05:00:00.102 | Info | Combo: bartime=2026-01-16 04:00, reversal - closing existing Sell position 14 before opening opposite direction.
16/01/2026 05:00:00.102 | Trade | Closing position PID14 (Volume: 1.15)
16/01/2026 05:00:00.102 | Trade | → Closing position PID14 (Volume: 1.15) SUCCEEDED
16/01/2026 05:00:00.102 | Trade | Placing Stop Order to Buy 2.47 US100.cash (Price: 25660.2, SL: 25619.8350106184, TP: 25765.88)
16/01/2026 05:00:00.102 | Trade | → Placing Stop Order to Buy 2.47 US100.cash (Price: 25660.2, SL: 25619.8350106184, TP: 25765.88) SUCCEEDED, PendingOrder OID53
16/01/2026 05:00:00.102 | Info | Combo: bartime=2026-01-16 04:00, executed=2026-01-16 05:00:00, pending Buy placed at 25660.2; SL=25619.835010618408, TP=25765.87554220101; valid for the next 3 chart bar(s).
16/01/2026 15:00:00.008 | Trade | Placing Stop Order to Sell 1.52 US100.cash (Price: 25568, SL: 25632.9932696992, TP: 25397.85)
16/01/2026 15:00:00.008 | Trade | → Placing Stop Order to Sell 1.52 US100.cash (Price: 25568, SL: 25632.9932696992, TP: 25397.85) SUCCEEDED, PendingOrder OID56
16/01/2026 15:00:00.008 | Info | Combo: bartime=2026-01-16 14:00, executed=2026-01-16 15:00:00, pending Sell placed at 25568; SL=25632.993269699153, TP=25397.84761992762; valid for the next 3 chart bar(s).
19/01/2026 23:05:00.007 | Trade | Placing Stop Order to Buy 1.6 US100.cash (Price: 25265.4, SL: 25201.0988569983, TP: 25433.74)
19/01/2026 23:05:00.007 | Trade | → Placing Stop Order to Buy 1.6 US100.cash (Price: 25265.4, SL: 25201.0988569983, TP: 25433.74) SUCCEEDED, PendingOrder OID59
19/01/2026 23:05:00.007 | Info | Combo: bartime=2026-01-19 17:00, executed=2026-01-19 23:05:00, pending Buy placed at 25265.4; SL=25201.098856998255, TP=25433.74039237857; valid for the next 3 chart bar(s).
20/01/2026 07:00:00.104 | Trade | Placing Stop Order to Sell 1.62 US100.cash (Price: 25104.5, SL: 25167.6538299268, TP: 24939.16)
20/01/2026 07:00:00.104 | Trade | → Placing Stop Order to Sell 1.62 US100.cash (Price: 25104.5, SL: 25167.6538299268, TP: 24939.16) SUCCEEDED, PendingOrder OID62
20/01/2026 07:00:00.104 | Info | Combo: bartime=2026-01-20 06:00, executed=2026-01-20 07:00:00, pending Sell placed at 25104.5; SL=25167.653829926847, TP=24939.163273251517; valid for the next 3 chart bar(s).
20/01/2026 15:00:00.010 | Trade | Placing Stop Order to Buy 0.98 US100.cash (Price: 25230.4, SL: 25127.5907581489, TP: 25499.55)
20/01/2026 15:00:00.010 | Trade | → Placing Stop Order to Buy 0.98 US100.cash (Price: 25230.4, SL: 25127.5907581489, TP: 25499.55) SUCCEEDED, PendingOrder OID65
20/01/2026 15:00:00.010 | Info | Combo: bartime=2026-01-20 14:00, executed=2026-01-20 15:00:00, pending Buy placed at 25230.4; SL=25127.5907581489, TP=25499.55459516618; valid for the next 3 chart bar(s).
21/01/2026 06:00:00.303 | Trade | Placing Stop Order to Buy 1.94 US100.cash (Price: 25086.5, SL: 25034.9266016124, TP: 25221.52)
21/01/2026 06:00:00.303 | Trade | → Placing Stop Order to Buy 1.94 US100.cash (Price: 25086.5, SL: 25034.9266016124, TP: 25221.52) SUCCEEDED, PendingOrder OID68
21/01/2026 06:00:00.303 | Info | Combo: bartime=2026-01-21 05:00, executed=2026-01-21 06:00:00, pending Buy placed at 25086.5; SL=25034.92660161243, TP=25221.519156978655; valid for the next 3 chart bar(s).
21/01/2026 15:00:00.006 | Trade | Placing Stop Order to Buy 0.89 US100.cash (Price: 25200.2, SL: 25089.1045441296, TP: 25491.05)
21/01/2026 15:00:00.006 | Trade | → Placing Stop Order to Buy 0.89 US100.cash (Price: 25200.2, SL: 25089.1045441296, TP: 25491.05) SUCCEEDED, PendingOrder OID71
21/01/2026 15:00:00.006 | Info | Combo: bartime=2026-01-21 14:00, executed=2026-01-21 15:00:00, pending Buy placed at 25200.2; SL=25089.104544129583, TP=25491.047903468756; valid for the next 3 chart bar(s).
22/01/2026 15:00:00.010 | Trade | Placing Stop Order to Sell 1.18 US100.cash (Price: 25405.7, SL: 25488.5263535757, TP: 25188.86)
22/01/2026 15:00:00.010 | Trade | → Placing Stop Order to Sell 1.18 US100.cash (Price: 25405.7, SL: 25488.5263535757, TP: 25188.86) SUCCEEDED, PendingOrder OID74
22/01/2026 15:00:00.010 | Info | Combo: bartime=2026-01-22 14:00, executed=2026-01-22 15:00:00, pending Sell placed at 25405.7; SL=25488.526353575715, TP=25188.860606338785; valid for the next 3 chart bar(s).
22/01/2026 23:05:00.006 | Trade | Placing Stop Order to Sell 1.26 US100.cash (Price: 25461.4, SL: 25538.3503101054, TP: 25259.94)
22/01/2026 23:05:00.006 | Trade | → Placing Stop Order to Sell 1.26 US100.cash (Price: 25461.4, SL: 25538.3503101054, TP: 25259.94) SUCCEEDED, PendingOrder OID77
22/01/2026 23:05:00.006 | Info | Combo: bartime=2026-01-22 21:00, executed=2026-01-22 23:05:00, pending Sell placed at 25461.4; SL=25538.3503101054, TP=25259.94408814406; valid for the next 3 chart bar(s).
23/01/2026 09:00:00.105 | Trade | Placing Stop Order to Sell 1.83 US100.cash (Price: 25440.8, SL: 25493.1159475379, TP: 25303.84)
23/01/2026 09:00:00.105 | Trade | → Placing Stop Order to Sell 1.83 US100.cash (Price: 25440.8, SL: 25493.1159475379, TP: 25303.84) SUCCEEDED, PendingOrder OID80
23/01/2026 09:00:00.105 | Info | Combo: bartime=2026-01-23 08:00, executed=2026-01-23 09:00:00, pending Sell placed at 25440.8; SL=25493.115947537946, TP=25303.836849345655; valid for the next 3 chart bar(s).
23/01/2026 15:00:00.209 | Trade | Placing Stop Order to Buy 1.32 US100.cash (Price: 25540.7, SL: 25468.8861298486, TP: 25728.71)
23/01/2026 15:00:00.209 | Trade | → Placing Stop Order to Buy 1.32 US100.cash (Price: 25540.7, SL: 25468.8861298486, TP: 25728.71) SUCCEEDED, PendingOrder OID83
23/01/2026 15:00:00.209 | Info | Combo: bartime=2026-01-23 14:00, executed=2026-01-23 15:00:00, pending Buy placed at 25540.7; SL=25468.88612984861, TP=25728.708712056334; valid for the next 3 chart bar(s).
