Info | CBot instance [Combo, XAUUSD, h1] started.
01/01/2026 23:05:00.002 | Info | Combo: loaded 4593 valid signal row(s) from CSV.
01/01/2026 23:05:00.002 | Info | Combo: signal scheduling active with chart timeframe h1 (01:00:00); CSV timeframe must match the chart timeframe.
02/01/2026 00:00:00.395 | Trade | Placing Stop Order to Buy 4 XAUUSD (Price: 4351.83, SL: 4330.94600345045, TP: 4406.5)
02/01/2026 00:00:00.395 | Trade | → Placing Stop Order to Buy 4 XAUUSD (Price: 4351.83, SL: 4330.94600345045, TP: 4406.5) SUCCEEDED, PendingOrder OID1
02/01/2026 00:00:00.395 | Info | Combo: bartime=2026-01-01 23:00, executed=2026-01-02 00:00:00, pending Buy placed at 4351.83; SL=4330.946003450446, TP=4406.504302966732; valid for the next 3 chart bar(s).
02/01/2026 15:00:00.208 | Info | Combo: bartime=2026-01-02 14:00, reversal - closing existing Buy position 1 before opening opposite direction.
02/01/2026 15:00:00.208 | Trade | Closing position PID1 (Volume: 4)
02/01/2026 15:00:00.208 | Trade | → Closing position PID1 (Volume: 4) SUCCEEDED
02/01/2026 15:00:00.208 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4347.52, SL: 4366.84306557248, TP: 4296.93)
02/01/2026 15:00:00.208 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4347.52, SL: 4366.84306557248, TP: 4296.93) SUCCEEDED, PendingOrder OID5
02/01/2026 15:00:00.208 | Info | Combo: bartime=2026-01-02 14:00, executed=2026-01-02 15:00:00, pending Sell placed at 4347.52; SL=4366.843065572484, TP=4296.932214331237; valid for the next 3 chart bar(s).
05/01/2026 00:00:00.204 | Trade | Placing Stop Order to Buy 4 XAUUSD (Price: 4376.36, SL: 4356.04816446628, TP: 4429.54)
05/01/2026 00:00:00.204 | Trade | → Placing Stop Order to Buy 4 XAUUSD (Price: 4376.36, SL: 4356.04816446628, TP: 4429.54) SUCCEEDED, PendingOrder OID8
05/01/2026 00:00:00.204 | Info | Combo: bartime=2026-01-04 23:00, executed=2026-01-05 00:00:00, pending Buy placed at 4376.36; SL=4356.048164466283, TP=4429.536385427271; valid for the next 3 chart bar(s).
06/01/2026 10:00:00.000 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4444.29, SL: 4461.74668815235, TP: 4398.59)
06/01/2026 10:00:00.000 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4444.29, SL: 4461.74668815235, TP: 4398.59) SUCCEEDED, PendingOrder OID11
06/01/2026 10:00:00.000 | Info | Combo: bartime=2026-01-06 09:00, executed=2026-01-06 10:00:00, pending Sell placed at 4444.29; SL=4461.746688152353, TP=4398.58839041714; valid for the next 3 chart bar(s).
07/01/2026 02:00:00.204 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4460.57, SL: 4477.41270886253, TP: 4416.48)
07/01/2026 02:00:00.204 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4460.57, SL: 4477.41270886253, TP: 4416.48) SUCCEEDED, PendingOrder OID14
07/01/2026 02:00:00.204 | Info | Combo: bartime=2026-01-07 01:00, executed=2026-01-07 02:00:00, pending Sell placed at 4460.57; SL=4477.412708862526, TP=4416.475788197906; valid for the next 3 chart bar(s).
08/01/2026 00:00:00.378 | Trade | Placing Stop Order to Buy 7 XAUUSD (Price: 4464.53, SL: 4451.76783157354, TP: 4497.94)
08/01/2026 00:00:00.378 | Trade | → Placing Stop Order to Buy 7 XAUUSD (Price: 4464.53, SL: 4451.76783157354, TP: 4497.94) SUCCEEDED, PendingOrder OID17
08/01/2026 00:00:00.378 | Info | Combo: bartime=2026-01-07 23:00, executed=2026-01-08 00:00:00, pending Buy placed at 4464.53; SL=4451.76783157354, TP=4497.9413569404705; valid for the next 3 chart bar(s).
08/01/2026 16:00:00.202 | Trade | Placing Stop Order to Buy 5 XAUUSD (Price: 4456.85, SL: 4437.85140895564, TP: 4506.59)
08/01/2026 16:00:00.202 | Trade | → Placing Stop Order to Buy 5 XAUUSD (Price: 4456.85, SL: 4437.85140895564, TP: 4506.59) SUCCEEDED, PendingOrder OID20
08/01/2026 16:00:00.202 | Info | Combo: bartime=2026-01-08 15:00, executed=2026-01-08 16:00:00, pending Buy placed at 4456.85; SL=4437.851408955642, TP=4506.58831135413; valid for the next 3 chart bar(s).
09/01/2026 13:00:00.209 | Info | Combo: bartime=2026-01-09 12:00, reversal - closing existing Buy position 7 before opening opposite direction.
09/01/2026 13:00:00.209 | Trade | Closing position PID7 (Volume: 5)
09/01/2026 13:00:00.209 | Trade | → Closing position PID7 (Volume: 5) SUCCEEDED
09/01/2026 13:00:00.209 | Trade | Placing Stop Order to Sell 8 XAUUSD (Price: 4460.42, SL: 4472.04403339702, TP: 4429.99)
09/01/2026 13:00:00.209 | Trade | → Placing Stop Order to Sell 8 XAUUSD (Price: 4460.42, SL: 4472.04403339702, TP: 4429.99) SUCCEEDED, PendingOrder OID24
09/01/2026 13:00:00.209 | Info | Combo: bartime=2026-01-09 12:00, executed=2026-01-09 13:00:00, pending Sell placed at 4460.42; SL=4472.044033397023, TP=4429.988280566595; valid for the next 3 chart bar(s).
09/01/2026 14:00:00.003 | Trade | Placing Stop Order to Buy 6 XAUUSD (Price: 4492.43, SL: 4476.50477328238, TP: 4534.12)
09/01/2026 14:00:00.003 | Trade | → Placing Stop Order to Buy 6 XAUUSD (Price: 4492.43, SL: 4476.50477328238, TP: 4534.12) SUCCEEDED, PendingOrder OID27
09/01/2026 14:00:00.003 | Info | Combo: bartime=2026-01-09 13:00, executed=2026-01-09 14:00:00, pending Buy placed at 4492.43; SL=4476.504773282382, TP=4534.122243546724; valid for the next 3 chart bar(s).
12/01/2026 21:00:00.001 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4591.05, SL: 4608.93755904057, TP: 4544.22)
12/01/2026 21:00:00.001 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4591.05, SL: 4608.93755904057, TP: 4544.22) SUCCEEDED, PendingOrder OID30
12/01/2026 21:00:00.001 | Info | Combo: bartime=2026-01-12 20:00, executed=2026-01-12 21:00:00, pending Sell placed at 4591.05; SL=4608.937559040571, TP=4544.220370431787; valid for the next 3 chart bar(s).
13/01/2026 01:00:00.206 | Info | Combo: bartime=2026-01-13 00:00, Sell signal skipped: already have same-direction exposure open.
13/01/2026 14:00:00.208 | Trade | Placing Stop Order to Buy 5 XAUUSD (Price: 4621.36, SL: 4604.74803597621, TP: 4664.85)
13/01/2026 14:00:00.208 | Trade | → Placing Stop Order to Buy 5 XAUUSD (Price: 4621.36, SL: 4604.74803597621, TP: 4664.85) SUCCEEDED, PendingOrder OID33
13/01/2026 14:00:00.208 | Info | Combo: bartime=2026-01-13 13:00, executed=2026-01-13 14:00:00, pending Buy placed at 4621.36; SL=4604.748035976206, TP=4664.850121814293; valid for the next 3 chart bar(s).
13/01/2026 18:00:00.202 | Trade | Placing Stop Order to Sell 4 XAUUSD (Price: 4586.09, SL: 4609.58914046415, TP: 4524.57)
13/01/2026 18:00:00.202 | Trade | → Placing Stop Order to Sell 4 XAUUSD (Price: 4586.09, SL: 4609.58914046415, TP: 4524.57) SUCCEEDED, PendingOrder OID36
13/01/2026 18:00:00.202 | Info | Combo: bartime=2026-01-13 17:00, executed=2026-01-13 18:00:00, pending Sell placed at 4586.09; SL=4609.589140464146, TP=4524.569250264865; valid for the next 3 chart bar(s).
13/01/2026 21:00:00.000 | Info | Combo: bartime=2026-01-13 20:00, Sell signal skipped: already have same-direction exposure open.
14/01/2026 15:00:00.003 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4606.35, SL: 4623.69460210521, TP: 4560.94)
14/01/2026 15:00:00.003 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4606.35, SL: 4623.69460210521, TP: 4560.94) SUCCEEDED, PendingOrder OID39
14/01/2026 15:00:00.003 | Info | Combo: bartime=2026-01-14 14:00, executed=2026-01-14 15:00:00, pending Sell placed at 4606.35; SL=4623.694602105213, TP=4560.941831688554; valid for the next 3 chart bar(s).
14/01/2026 23:05:00.006 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4617.28, SL: 4634.22175719542, TP: 4572.93)
14/01/2026 23:05:00.006 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4617.28, SL: 4634.22175719542, TP: 4572.93) SUCCEEDED, PendingOrder OID42
14/01/2026 23:05:00.006 | Info | Combo: bartime=2026-01-14 21:00, executed=2026-01-14 23:05:00, pending Sell placed at 4617.28; SL=4634.221757195415, TP=4572.926479662403; valid for the next 3 chart bar(s).
15/01/2026 11:00:00.004 | Info | Combo: bartime=2026-01-15 10:00, reversal - closing existing Sell position 14 before opening opposite direction.
15/01/2026 11:00:00.004 | Trade | Closing position PID14 (Volume: 5)
15/01/2026 11:00:00.004 | Trade | → Closing position PID14 (Volume: 5) SUCCEEDED
15/01/2026 11:00:00.004 | Trade | Placing Stop Order to Buy 6 XAUUSD (Price: 4621, SL: 4606.51529473341, TP: 4658.92)
15/01/2026 11:00:00.004 | Trade | → Placing Stop Order to Buy 6 XAUUSD (Price: 4621, SL: 4606.51529473341, TP: 4658.92) SUCCEEDED, PendingOrder OID46
15/01/2026 11:00:00.004 | Info | Combo: bartime=2026-01-15 10:00, executed=2026-01-15 11:00:00, pending Buy placed at 4621; SL=4606.515294733406, TP=4658.920958387943; valid for the next 3 chart bar(s).
15/01/2026 14:00:00.001 | Trade | Placing Stop Order to Sell 5 XAUUSD (Price: 4581.3, SL: 4597.9548890965, TP: 4537.7)
15/01/2026 14:00:00.001 | Trade | → Placing Stop Order to Sell 5 XAUUSD (Price: 4581.3, SL: 4597.9548890965, TP: 4537.7) SUCCEEDED, PendingOrder OID49
15/01/2026 14:00:00.001 | Info | Combo: bartime=2026-01-15 13:00, executed=2026-01-15 14:00:00, pending Sell placed at 4581.3; SL=4597.954889096496, TP=4537.697500345374; valid for the next 3 chart bar(s).
15/01/2026 17:00:00.003 | Trade | Cancelling pending order OID49
15/01/2026 17:00:00.003 | Trade | → Cancelling pending order OID49 SUCCEEDED
15/01/2026 17:00:00.003 | Info | Combo: pending order 49 cancelled after 3 chart bars.
15/01/2026 18:00:00.003 | Trade | Placing Stop Order to Buy 5 XAUUSD (Price: 4617.35, SL: 4599.37159742608, TP: 4664.42)
15/01/2026 18:00:00.003 | Trade | → Placing Stop Order to Buy 5 XAUUSD (Price: 4617.35, SL: 4599.37159742608, TP: 4664.42) SUCCEEDED, PendingOrder OID50
15/01/2026 18:00:00.003 | Info | Combo: bartime=2026-01-15 17:00, executed=2026-01-15 18:00:00, pending Buy placed at 4617.35; SL=4599.371597426076, TP=4664.417457938536; valid for the next 3 chart bar(s).
15/01/2026 21:00:00.009 | Info | Combo: bartime=2026-01-15 20:00, reversal - closing existing Buy position 16 before opening opposite direction.
15/01/2026 21:00:00.009 | Trade | Closing position PID16 (Volume: 5)
15/01/2026 21:00:00.009 | Trade | → Closing position PID16 (Volume: 5) SUCCEEDED
15/01/2026 21:00:00.009 | Trade | Placing Stop Order to Sell 6 XAUUSD (Price: 4600.17, SL: 4614.90750211785, TP: 4561.59)
15/01/2026 21:00:00.009 | Trade | → Placing Stop Order to Sell 6 XAUUSD (Price: 4600.17, SL: 4614.90750211785, TP: 4561.59) SUCCEEDED, PendingOrder OID54
15/01/2026 21:00:00.009 | Info | Combo: bartime=2026-01-15 20:00, executed=2026-01-15 21:00:00, pending Sell placed at 4600.17; SL=4614.90750211785, TP=4561.5872194554695; valid for the next 3 chart bar(s).
15/01/2026 23:05:00.006 | Info | Combo: bartime=2026-01-15 21:00, reversal - cancelling existing Sell pending order 54 before opening opposite direction.
15/01/2026 23:05:00.006 | Trade | Cancelling pending order OID54
15/01/2026 23:05:00.006 | Trade | → Cancelling pending order OID54 SUCCEEDED
15/01/2026 23:05:00.006 | Trade | Placing Stop Order to Buy 6 XAUUSD (Price: 4616.89, SL: 4602.70199830572, TP: 4654.03)
15/01/2026 23:05:00.006 | Trade | → Placing Stop Order to Buy 6 XAUUSD (Price: 4616.89, SL: 4602.70199830572, TP: 4654.03) SUCCEEDED, PendingOrder OID55
15/01/2026 23:05:00.006 | Info | Combo: bartime=2026-01-15 21:00, executed=2026-01-15 23:05:00, pending Buy placed at 4616.89; SL=4602.701998305721, TP=4654.034188435625; valid for the next 3 chart bar(s).
16/01/2026 01:00:00.004 | Trade | Placing Stop Order to Sell 6 XAUUSD (Price: 4597.9, SL: 4611.85872108434, TP: 4561.36)
16/01/2026 01:00:00.004 | Trade | → Placing Stop Order to Sell 6 XAUUSD (Price: 4597.9, SL: 4611.85872108434, TP: 4561.36) SUCCEEDED, PendingOrder OID58
16/01/2026 01:00:00.004 | Info | Combo: bartime=2026-01-16 00:00, executed=2026-01-16 01:00:00, pending Sell placed at 4597.9; SL=4611.858721084339, TP=4561.356068201199; valid for the next 3 chart bar(s).
16/01/2026 06:00:00.202 | Trade | Placing Stop Order to Buy 7 XAUUSD (Price: 4616.51, SL: 4603.42659827508, TP: 4650.76)
16/01/2026 06:00:00.202 | Trade | → Placing Stop Order to Buy 7 XAUUSD (Price: 4616.51, SL: 4603.42659827508, TP: 4650.76) SUCCEEDED, PendingOrder OID61
16/01/2026 06:00:00.202 | Info | Combo: bartime=2026-01-16 05:00, executed=2026-01-16 06:00:00, pending Buy placed at 4616.51; SL=4603.426598275084, TP=4650.7623457158315; valid for the next 3 chart bar(s).
16/01/2026 08:00:00.208 | Info | Combo: bartime=2026-01-16 07:00, Buy signal skipped: already have same-direction exposure open.
16/01/2026 09:00:00.205 | Trade | Cancelling pending order OID61
16/01/2026 09:00:00.205 | Trade | → Cancelling pending order OID61 SUCCEEDED
16/01/2026 09:00:00.205 | Info | Combo: pending order 61 cancelled after 3 chart bars.
16/01/2026 12:00:00.204 | Trade | Placing Stop Order to Buy 6 XAUUSD (Price: 4616.53, SL: 4603.15303529822, TP: 4651.55)
16/01/2026 12:00:00.204 | Trade | → Placing Stop Order to Buy 6 XAUUSD (Price: 4616.53, SL: 4603.15303529822, TP: 4651.55) SUCCEEDED, PendingOrder OID62
