Info | CBot instance [MA Cross, BTCUSD, m20] started.
01/01/2026 00:00:02.002 | Info | MA Cross: loaded 974 valid signal row(s) from CSV.
01/01/2026 00:00:02.002 | Info | MA Cross: signal scheduling active with chart timeframe m20 (00:20:00); CSV timeframe must match the chart timeframe.
01/01/2026 02:20:00.206 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.69 units, which needs about $46105.77 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5000.00 budget, free margin was $10000.00). Size was cut from 0.69 to 0.07 units. Real risk on this trade is now about $10.10 (0.10% of balance) instead of the requested 1.00%.
01/01/2026 02:20:00.206 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 144.34, TP: 377.89)
01/01/2026 02:20:00.206 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 144.34, TP: 377.89) SUCCEEDED, Position PID1
01/01/2026 02:20:00.206 | Info | MA Cross: bartime=2026-01-01 02:00, executed=2026-01-01 02:20:00, market Buy placed; SL=144.34249183883648 pips, TP=377.8886436340739 pips.
01/01/2026 11:20:00.001 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.26 units, which needs about $84193.14 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4994.83 budget, free margin was $9989.66). Size was cut from 1.26 to 0.07 units. Real risk on this trade is now about $5.52 (0.06% of balance) instead of the requested 1.00%.
01/01/2026 11:20:00.001 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 78.85, TP: 206.44)
01/01/2026 11:20:00.001 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 78.85, TP: 206.44) SUCCEEDED, Position PID2
01/01/2026 11:20:00.001 | Info | MA Cross: bartime=2026-01-01 11:00, executed=2026-01-01 11:20:00, market Buy placed; SL=78.85328234251567 pips, TP=206.43789317270603 pips.
03/01/2026 09:00:00.801 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.43 units, which needs about $28732.58 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4991.71 budget, free margin was $9983.42). Size was cut from 0.43 to 0.07 units. Real risk on this trade is now about $16.07 (0.16% of balance) instead of the requested 1.00%.
