Info | CBot instance [MA Cross, GER40.cash, m30] started.
02/01/2026 00:16:00.417 | Info | MA Cross: loaded 2532 valid signal row(s) from CSV.
02/01/2026 00:16:00.417 | Info | MA Cross: signal scheduling active with chart timeframe m30 (00:30:00); CSV timeframe must match the chart timeframe.
02/01/2026 09:00:00.118 | Trade | Executing Market Order to Buy 1.46 GER40.cash (SL: 57.97, TP: 151.75)
02/01/2026 09:00:00.118 | Trade | → Executing Market Order to Buy 1.46 GER40.cash (SL: 57.97, TP: 151.75) SUCCEEDED, Position PID1
02/01/2026 09:00:00.118 | Info | MA Cross: bartime=2026-01-02 08:30, executed=2026-01-02 09:00:00, market Buy placed; SL=57.96513066539047 pips, TP=151.75271208199223 pips.
02/01/2026 19:00:00.618 | Trade | Executing Market Order to Sell 1.81 GER40.cash (SL: 46.23, TP: 121.03)
02/01/2026 19:00:00.618 | Trade | → Executing Market Order to Sell 1.81 GER40.cash (SL: 46.23, TP: 121.03) SUCCEEDED, Position PID2
02/01/2026 19:00:00.618 | Info | MA Cross: bartime=2026-01-02 18:30, executed=2026-01-02 19:00:00, market Sell placed; SL=46.23139200705223 pips, TP=121.03378427446273 pips.
05/01/2026 01:30:00.418 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.55 units, which needs about $5063.79 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4900.45 budget, free margin was $9800.91). Size was cut from 2.55 to 2.41 units. Real risk on this trade is now about $92.51 (0.94% of balance) instead of the requested 1.00%.
05/01/2026 01:30:00.418 | Trade | Executing Market Order to Buy 2.41 GER40.cash (SL: 32.55, TP: 85.22)
05/01/2026 01:30:00.418 | Trade | → Executing Market Order to Buy 2.41 GER40.cash (SL: 32.55, TP: 85.22) SUCCEEDED, Position PID3
05/01/2026 01:30:00.418 | Info | MA Cross: bartime=2026-01-05 01:00, executed=2026-01-05 01:30:00, market Buy placed; SL=32.55064182416916 pips, TP=85.21758029567486 pips.
08/01/2026 05:30:07.411 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.91 units, which needs about $7764.48 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5022.11 budget, free margin was $10044.23). Size was cut from 3.91 to 2.47 units. Real risk on this trade is now about $63.41 (0.63% of balance) instead of the requested 1.00%.
08/01/2026 05:30:07.411 | Trade | Executing Market Order to Sell 2.47 GER40.cash (SL: 21.77, TP: 56.99)
08/01/2026 05:30:07.411 | Trade | → Executing Market Order to Sell 2.47 GER40.cash (SL: 21.77, TP: 56.99) SUCCEEDED, Position PID4
08/01/2026 05:30:07.411 | Info | MA Cross: bartime=2026-01-08 05:00, executed=2026-01-08 05:30:07, market Sell placed; SL=21.768221890883805 pips, TP=56.9892049103338 pips.
08/01/2026 15:00:00.309 | Trade | Executing Market Order to Sell 1.94 GER40.cash (SL: 44.6, TP: 116.77)
08/01/2026 15:00:00.309 | Trade | → Executing Market Order to Sell 1.94 GER40.cash (SL: 44.6, TP: 116.77) SUCCEEDED, Position PID5
08/01/2026 15:00:00.309 | Info | MA Cross: bartime=2026-01-08 14:30, executed=2026-01-08 15:00:00, market Sell placed; SL=44.60324724511664 pips, TP=116.77130128771536 pips.
08/01/2026 18:30:00.808 | Trade | Executing Market Order to Buy 2.42 GER40.cash (SL: 35.33, TP: 92.49)
08/01/2026 18:30:00.808 | Trade | → Executing Market Order to Buy 2.42 GER40.cash (SL: 35.33, TP: 92.49) SUCCEEDED, Position PID6
08/01/2026 18:30:00.808 | Info | MA Cross: bartime=2026-01-08 18:00, executed=2026-01-08 18:30:00, market Buy placed; SL=35.32772355665857 pips, TP=92.48798027133213 pips.
09/01/2026 07:30:00.212 | Info | MA Cross: bartime=2026-01-09 07:00, reversal - closing existing Buy position 6 before opening opposite direction.
09/01/2026 07:30:00.212 | Trade | Closing position PID6 (Volume: 2.42)
09/01/2026 07:30:00.212 | Trade | → Closing position PID6 (Volume: 2.42) SUCCEEDED
09/01/2026 07:30:00.212 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.66 units, which needs about $7268.03 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5039.69 budget, free margin was $10079.39). Size was cut from 3.66 to 2.48 units. Real risk on this trade is now about $68.26 (0.68% of balance) instead of the requested 1.00%.
09/01/2026 07:30:00.212 | Trade | Executing Market Order to Sell 2.48 GER40.cash (SL: 23.34, TP: 61.1)
09/01/2026 07:30:00.212 | Trade | → Executing Market Order to Sell 2.48 GER40.cash (SL: 23.34, TP: 61.1) SUCCEEDED, Position PID7
09/01/2026 07:30:00.212 | Info | MA Cross: bartime=2026-01-09 07:00, executed=2026-01-09 07:30:00, market Sell placed; SL=23.33930588866508 pips, TP=61.10230281652518 pips.
09/01/2026 13:30:01.112 | Trade | Executing Market Order to Buy 2.4 GER40.cash (SL: 35.36, TP: 92.56)
09/01/2026 13:30:01.112 | Trade | → Executing Market Order to Buy 2.4 GER40.cash (SL: 35.36, TP: 92.56) SUCCEEDED, Position PID8
09/01/2026 13:30:01.112 | Info | MA Cross: bartime=2026-01-09 13:00, executed=2026-01-09 13:30:01, market Buy placed; SL=35.35524954597027 pips, TP=92.56004331135016 pips.
12/01/2026 05:00:00.301 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 4.43 units, which needs about $8797.10 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4954.27 budget, free margin was $9908.54). Size was cut from 4.43 to 2.44 units. Real risk on this trade is now about $54.45 (0.55% of balance) instead of the requested 1.00%.
12/01/2026 05:00:00.301 | Trade | Executing Market Order to Sell 2.44 GER40.cash (SL: 18.92, TP: 49.54)
12/01/2026 05:00:00.301 | Trade | → Executing Market Order to Sell 2.44 GER40.cash (SL: 18.92, TP: 49.54) SUCCEEDED, Position PID9
12/01/2026 05:00:00.301 | Info | MA Cross: bartime=2026-01-12 04:30, executed=2026-01-12 05:00:00, market Sell placed; SL=18.92353457378266 pips, TP=49.541813514163 pips.
12/01/2026 11:30:00.912 | Trade | Executing Market Order to Buy 2.2 GER40.cash (SL: 37.8, TP: 98.96)
12/01/2026 11:30:00.912 | Trade | → Executing Market Order to Buy 2.2 GER40.cash (SL: 37.8, TP: 98.96) SUCCEEDED, Position PID10
12/01/2026 11:30:00.912 | Info | MA Cross: bartime=2026-01-12 11:00, executed=2026-01-12 11:30:00, market Buy placed; SL=37.80165142782842 pips, TP=98.96472343805479 pips.
13/01/2026 10:00:03.403 | Trade | Executing Market Order to Sell 2.51 GER40.cash (SL: 34.08, TP: 89.22)
13/01/2026 10:00:03.403 | Trade | → Executing Market Order to Sell 2.51 GER40.cash (SL: 34.08, TP: 89.22) SUCCEEDED, Position PID11
13/01/2026 10:00:03.403 | Info | MA Cross: bartime=2026-01-13 09:30, executed=2026-01-13 10:00:03, market Sell placed; SL=34.078919583369 pips, TP=89.21861146926004 pips.
13/01/2026 17:30:01.701 | Trade | Executing Market Order to Buy 2.12 GER40.cash (SL: 39.86, TP: 104.36)
13/01/2026 17:30:01.701 | Trade | → Executing Market Order to Buy 2.12 GER40.cash (SL: 39.86, TP: 104.36) SUCCEEDED, Position PID12
13/01/2026 17:30:01.701 | Info | MA Cross: bartime=2026-01-13 17:00, executed=2026-01-13 17:30:01, market Buy placed; SL=39.862323241805626 pips, TP=104.35956224704712 pips.
13/01/2026 21:00:00.105 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.70 units, which needs about $5361.66 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4947.56 budget, free margin was $9895.12). Size was cut from 2.70 to 2.44 units. Real risk on this trade is now about $89.17 (0.90% of balance) instead of the requested 1.00%.
13/01/2026 21:00:00.105 | Trade | Executing Market Order to Sell 2.44 GER40.cash (SL: 30.99, TP: 81.13)
13/01/2026 21:00:00.105 | Trade | → Executing Market Order to Sell 2.44 GER40.cash (SL: 30.99, TP: 81.13) SUCCEEDED, Position PID13
13/01/2026 21:00:00.105 | Info | MA Cross: bartime=2026-01-13 20:30, executed=2026-01-13 21:00:00, market Sell placed; SL=30.989103411120134 pips, TP=81.1294727303125 pips.
14/01/2026 11:30:00.207 | Trade | Executing Market Order to Sell 2.07 GER40.cash (SL: 39.98, TP: 104.67)
14/01/2026 11:30:00.207 | Trade | → Executing Market Order to Sell 2.07 GER40.cash (SL: 39.98, TP: 104.67) SUCCEEDED, Position PID14
14/01/2026 11:30:00.207 | Info | MA Cross: bartime=2026-01-14 11:00, executed=2026-01-14 11:30:00, market Sell placed; SL=39.97963169411584 pips, TP=104.66667577519526 pips.
15/01/2026 02:30:01.904 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.11 units, which needs about $6175.84 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5031.14 budget, free margin was $10062.29). Size was cut from 3.11 to 2.48 units. Real risk on this trade is now about $80.18 (0.80% of balance) instead of the requested 1.00%.
15/01/2026 02:30:01.904 | Trade | Executing Market Order to Buy 2.48 GER40.cash (SL: 27.41, TP: 71.77)
15/01/2026 02:30:01.904 | Trade | → Executing Market Order to Buy 2.48 GER40.cash (SL: 27.41, TP: 71.77) SUCCEEDED, Position PID15
15/01/2026 02:30:01.904 | Info | MA Cross: bartime=2026-01-15 02:00, executed=2026-01-15 02:30:01, market Buy placed; SL=27.41455283554594 pips, TP=71.77129932345927 pips.
