Info | CBot instance [MA Cross, XAUUSD, m20] started.
01/01/2026 23:05:00.002 | Info | MA Cross: loaded 4494 valid signal row(s) from CSV.
01/01/2026 23:05:00.002 | Info | MA Cross: signal scheduling active with chart timeframe m20 (00:20:00); CSV timeframe must match the chart timeframe.
02/01/2026 01:00:00.200 | Trade | Executing Market Order to Buy 9 XAUUSD (SL: 11.07, TP: 28.99)
02/01/2026 01:00:00.200 | Trade | → Executing Market Order to Buy 9 XAUUSD (SL: 11.07, TP: 28.99) SUCCEEDED, Position PID1
02/01/2026 01:00:00.200 | Info | MA Cross: bartime=2026-01-02 00:40, executed=2026-01-02 01:00:00, market Buy placed; SL=11.072986878321618 pips, TP=28.989079647445994 pips.
02/01/2026 15:20:00.005 | Trade | Executing Market Order to Sell 6 XAUUSD (SL: 16.41, TP: 42.95)
02/01/2026 15:20:00.005 | Trade | → Executing Market Order to Sell 6 XAUUSD (SL: 16.41, TP: 42.95) SUCCEEDED, Position PID2
02/01/2026 15:20:00.005 | Info | MA Cross: bartime=2026-01-02 15:00, executed=2026-01-02 15:20:00, market Sell placed; SL=16.40639373225697 pips, TP=42.95193879104875 pips.
05/01/2026 00:40:00.206 | Trade | Executing Market Order to Buy 7 XAUUSD (SL: 13.97, TP: 36.56)
05/01/2026 00:40:00.206 | Trade | → Executing Market Order to Buy 7 XAUUSD (SL: 13.97, TP: 36.56) SUCCEEDED, Position PID3
05/01/2026 00:40:00.206 | Info | MA Cross: bartime=2026-01-05 00:20, executed=2026-01-05 00:40:00, market Buy placed; SL=13.965931155099891 pips, TP=36.56280776405151 pips.
06/01/2026 15:00:00.199 | Trade | Executing Market Order to Buy 9 XAUUSD (SL: 11.53, TP: 30.19)
06/01/2026 15:00:00.199 | Trade | → Executing Market Order to Buy 9 XAUUSD (SL: 11.53, TP: 30.19) SUCCEEDED, Position PID4
06/01/2026 15:00:00.199 | Info | MA Cross: bartime=2026-01-06 14:40, executed=2026-01-06 15:00:00, market Buy placed; SL=11.532648744881836 pips, TP=30.192474414100644 pips.
07/01/2026 03:00:00.202 | Trade | Executing Market Order to Sell 10 XAUUSD (SL: 10.3, TP: 26.96)
07/01/2026 03:00:00.202 | Trade | → Executing Market Order to Sell 10 XAUUSD (SL: 10.3, TP: 26.96) SUCCEEDED, Position PID5
07/01/2026 03:00:00.202 | Info | MA Cross: bartime=2026-01-07 02:40, executed=2026-01-07 03:00:00, market Sell placed; SL=10.298145469909413 pips, TP=26.96054484022284 pips.
08/01/2026 03:20:00.400 | Trade | Executing Market Order to Sell 11 XAUUSD (SL: 9.17, TP: 24.01)
08/01/2026 03:20:00.400 | Trade | → Executing Market Order to Sell 11 XAUUSD (SL: 9.17, TP: 24.01) SUCCEEDED, Position PID6
08/01/2026 03:20:00.400 | Info | MA Cross: bartime=2026-01-08 03:00, executed=2026-01-08 03:20:00, market Sell placed; SL=9.170577599786812 pips, TP=24.008572156241872 pips.
08/01/2026 16:00:00.202 | Trade | Executing Market Order to Buy 8 XAUUSD (SL: 12.74, TP: 33.35)
08/01/2026 16:00:00.202 | Trade | → Executing Market Order to Buy 8 XAUUSD (SL: 12.74, TP: 33.35) SUCCEEDED, Position PID7
08/01/2026 16:00:00.202 | Info | MA Cross: bartime=2026-01-08 15:40, executed=2026-01-08 16:00:00, market Buy placed; SL=12.739497300345672 pips, TP=33.35200393230497 pips.
09/01/2026 05:00:00.205 | Info | MA Cross: bartime=2026-01-09 04:40, reversal - closing existing Buy position 7 before opening opposite direction.
09/01/2026 05:00:00.205 | Trade | Closing position PID7 (Volume: 8)
09/01/2026 05:00:00.205 | Trade | → Closing position PID7 (Volume: 8) SUCCEEDED
09/01/2026 05:00:00.205 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 19.00 units, which needs about $6563.66 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5458.53 budget, free margin was $10917.05). Size was cut from 19.00 to 15.00 units. Real risk on this trade is now about $85.40 (0.78% of balance) instead of the requested 1.00%.
