Info | CBot instance [MA Cross, SPN35.cash, m45] started.
02/01/2026 08:05:00.009 | Info | MA Cross: loaded 1012 valid signal row(s) from CSV.
02/01/2026 08:05:00.009 | Info | MA Cross: signal scheduling active with chart timeframe m45 (00:45:00); CSV timeframe must match the chart timeframe.
07/01/2026 14:30:00.009 | Trade | Executing Market Order to Sell 2.03 SPN35.cash (SL: 41.61, TP: 108.94)
07/01/2026 14:30:00.009 | Trade | → Executing Market Order to Sell 2.03 SPN35.cash (SL: 41.61, TP: 108.94) SUCCEEDED, Position PID1
07/01/2026 14:30:00.009 | Info | MA Cross: bartime=2026-01-07 13:45, executed=2026-01-07 14:30:00, market Sell placed; SL=41.61310486445417 pips, TP=108.94310853514102 pips.
08/01/2026 17:30:14.408 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.36 units, which needs about $5709.74 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4949.59 budget, free margin was $9899.17). Size was cut from 2.36 to 2.00 units. Real risk on this trade is now about $83.68 (0.85% of balance) instead of the requested 1.00%.
08/01/2026 17:30:14.408 | Trade | Executing Market Order to Buy 2 SPN35.cash (SL: 35.48, TP: 92.88)
08/01/2026 17:30:14.408 | Trade | → Executing Market Order to Buy 2 SPN35.cash (SL: 35.48, TP: 92.88) SUCCEEDED, Position PID2
08/01/2026 17:30:14.408 | Info | MA Cross: bartime=2026-01-08 16:45, executed=2026-01-08 17:30:14, market Buy placed; SL=35.477725738369266 pips, TP=92.88068598305074 pips.
13/01/2026 08:05:00.005 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.95 units, which needs about $7137.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4903.12 budget, free margin was $9806.24). Size was cut from 2.95 to 1.98 units. Real risk on this trade is now about $65.76 (0.67% of balance) instead of the requested 1.00%.
13/01/2026 08:05:00.005 | Trade | Executing Market Order to Buy 1.98 SPN35.cash (SL: 28.16, TP: 73.73)
13/01/2026 08:05:00.005 | Trade | → Executing Market Order to Buy 1.98 SPN35.cash (SL: 28.16, TP: 73.73) SUCCEEDED, Position PID3
13/01/2026 08:05:00.005 | Info | MA Cross: bartime=2026-01-12 18:15, executed=2026-01-13 08:05:00, market Buy placed; SL=28.16124403272726 pips, TP=73.72613687767996 pips.
15/01/2026 08:30:15.407 | Trade | Executing Market Order to Sell 1.49 SPN35.cash (SL: 55.4, TP: 145.03)
15/01/2026 08:30:15.407 | Trade | → Executing Market Order to Sell 1.49 SPN35.cash (SL: 55.4, TP: 145.03) SUCCEEDED, Position PID4
15/01/2026 08:30:15.407 | Info | MA Cross: bartime=2026-01-15 07:45, executed=2026-01-15 08:30:15, market Sell placed; SL=55.3954476208171 pips, TP=145.02528187129917 pips.
20/01/2026 09:15:00.823 | Trade | Executing Market Order to Sell 1.11 SPN35.cash (SL: 73.17, TP: 191.56)
20/01/2026 09:15:00.823 | Trade | → Executing Market Order to Sell 1.11 SPN35.cash (SL: 73.17, TP: 191.56) SUCCEEDED, Position PID5
20/01/2026 09:15:00.823 | Info | MA Cross: bartime=2026-01-20 08:30, executed=2026-01-20 09:15:00, market Sell placed; SL=73.17107169915934 pips, TP=191.56186570839915 pips.
22/01/2026 09:15:00.410 | Trade | Executing Market Order to Buy 0.77 SPN35.cash (SL: 104.71, TP: 274.13)
22/01/2026 09:15:00.410 | Trade | → Executing Market Order to Buy 0.77 SPN35.cash (SL: 104.71, TP: 274.13) SUCCEEDED, Position PID6
22/01/2026 09:15:00.410 | Info | MA Cross: bartime=2026-01-22 08:30, executed=2026-01-22 09:15:00, market Buy placed; SL=104.71000854681844 pips, TP=274.1308023755707 pips.
23/01/2026 18:15:28.607 | Trade | Executing Market Order to Sell 1.9 SPN35.cash (SL: 42.11, TP: 110.23)
23/01/2026 18:15:28.607 | Trade | → Executing Market Order to Sell 1.9 SPN35.cash (SL: 42.11, TP: 110.23) SUCCEEDED, Position PID7
23/01/2026 18:15:28.607 | Info | MA Cross: bartime=2026-01-23 17:30, executed=2026-01-23 18:15:28, market Sell placed; SL=42.106027102583454 pips, TP=110.23357895456348 pips.
26/01/2026 13:45:00.342 | Trade | Executing Market Order to Buy 1.92 SPN35.cash (SL: 41.18, TP: 107.81)
26/01/2026 13:45:00.342 | Trade | → Executing Market Order to Buy 1.92 SPN35.cash (SL: 41.18, TP: 107.81) SUCCEEDED, Position PID8
26/01/2026 13:45:00.342 | Info | MA Cross: bartime=2026-01-26 13:00, executed=2026-01-26 13:45:00, market Buy placed; SL=41.179646051852416 pips, TP=107.80831336374962 pips.
28/01/2026 13:00:00.244 | Trade | Executing Market Order to Sell 1.44 SPN35.cash (SL: 56.25, TP: 147.25)
28/01/2026 13:00:00.244 | Trade | → Executing Market Order to Sell 1.44 SPN35.cash (SL: 56.25, TP: 147.25) SUCCEEDED, Position PID9
28/01/2026 13:00:00.244 | Info | MA Cross: bartime=2026-01-28 12:15, executed=2026-01-28 13:00:00, market Sell placed; SL=56.24677248165172 pips, TP=147.2540503569642 pips.
29/01/2026 14:30:01.248 | Trade | Executing Market Order to Buy 1.71 SPN35.cash (SL: 46.89, TP: 122.75)
29/01/2026 14:30:01.248 | Trade | → Executing Market Order to Buy 1.71 SPN35.cash (SL: 46.89, TP: 122.75) SUCCEEDED, Position PID10
29/01/2026 14:30:01.248 | Info | MA Cross: bartime=2026-01-29 13:45, executed=2026-01-29 14:30:01, market Buy placed; SL=46.88505930689111 pips, TP=122.74508526544092 pips.
04/02/2026 16:00:00.793 | Trade | Executing Market Order to Buy 1.08 SPN35.cash (SL: 73.73, TP: 193.02)
