"Run","RunId","ParameterHash","Status","KslLevel","KtpLevel","NetProfit","ROI","ProfitFactor","TotalTrades","WinningTrades","LosingTrades","MaxBalanceDrawdownPct","MaxEquityDrawdownPct","ArtifactDir"
"1","run_0001","C3BCF2553E0DC7D140247AFF142C28929482E84B1ADD09972CA707E3150DDF08","success","Fib0236","Fib0236","-1510.92","-15.11","0.68","73","33","40","19.592128602994425","23.446646345780437","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0001"
"2","run_0002","620279EF1D4461AC116E5D16912ABC74C7D59163609573E92C54F325D6BA68C2","success","Fib0236","Fib0382","-2108.66","-21.09","0.61","73","23","50","27.126465782038974","30.6266717615591","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0002"
"3","run_0003","BA6BDAC38DBF8F496C97477CFCFC75BFE34520A05947C5E42C8E4261F9F694C1","success","Fib0236","Fib0500","-1774.07","-17.74","0.69","73","21","52","22.612095388473545","26.32551045719153","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0003"
"4","run_0004","CFC6CE56695A2D77A626340DAC3B1A658D9AEB29BB5F8C5A1E6B2C974E08077A","success","Fib0236","Fib0618","-2454.71","-24.55","0.59","73","16","57","28.009591912595976","31.496970338905676","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0004"
"5","run_0005","86CA892B1750618949E705C08047D7FF1D6331E532B43D0731D5244A60780987","success","Fib0236","Fib0786","-2669.49","-26.69","0.56","73","13","60","29.572741198972523","32.22268102661573","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0005"
"6","run_0006","92BF856350350D80C4AD780E50022BF917D5C64DABEC80BB8810AECC8E1A64A9","success","Fib0236","Fib1000","-2655.38","-26.55","0.59","73","11","62","30.98959165009368","33.83997083921383","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0006"
"7","run_0007","21AC050D59981C79F23A6D948F921166A74CB1EEBE622CC6F4FCFE02ECEE1437","success","Fib0236","Fib1272","-3255.45","-32.55","0.51","73","8","65","35.443407513759276","37.6654356039601","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0007"
"8","run_0008","3AE8ED1489B76201A6B7DB25947580013C4D3A6CA47EF49AF4679EF2886DC1AB","success","Fib0236","Fib1618","-3341.89","-33.42","0.49","73","7","66","38.10906000660974","40.308302168216905","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0008"
"9","run_0009","ECCC25689516FA840DA8C13B9125BCC0490D8BE4570681571B970B5DB3954F80","success","Fib0236","Fib2000","-3267.76","-32.68","0.52","73","6","67","38.30766597902092","40.863401876679454","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0009"
"10","run_0010","49725E143FBEBA79CB691BCD0C29C8EBDA294261D907D913BBCA43BD110F42B7","success","Fib0236","Fib2618","-2133.42","-21.33","0.67","73","6","67","25.35070000000003","30.832008400414857","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0010"
"11","run_0011","8F0DBD5F1D28F9EEAB26BFE64C2DED21104BAC8AFA73171D03C6F1433664D733","success","Fib0382","Fib0236","-1102.25","-11.02","0.73","86","49","37","14.152344915278576","17.497547463789015","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0011"
"12","run_0012","79123DE3BC2A6E9D98AE91A859DB2DEAAF5CAE67BB9E295BE65D0E13EAD433DD","success","Fib0382","Fib0382","-1873.09","-18.73","0.63","86","36","50","21.99291360577887","24.32722180895285","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0012"
"13","run_0013","DE475098200970DD734E1FC873DB847CEDF90E1E2000E8245138828B0FC0390A","success","Fib0382","Fib0500","-1373.76","-13.74","0.74","86","34","52","17.342548730294283","20.581714919929603","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0013"
"14","run_0014","3864A17FE360135F1B3CB03E3245CA587A97C0BB9168190B33E6B58F5AC61CCA","success","Fib0382","Fib0618","-1669.78","-16.7","0.71","86","29","57","22.010270261962752","24.367831092260726","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0014"
"15","run_0015","1BFEAF5603E1391B7CFBB16A01840D7819FBE52B6E52761F67206C68A2ED7D4A","success","Fib0382","Fib0786","-1062.6","-10.63","0.82","86","27","59","21.00059428427969","23.56819871189039","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0015"
"16","run_0016","C3D7CCF58BB31F1596185488B8011BFB7AC30317C0161BB535F0E1F13DCF68B2","success","Fib0382","Fib1000","-1155.72","-11.56","0.82","86","23","63","24.982324033204613","27.23716910795646","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0016"
"17","run_0017","A3B33FCC6F732104D559BDAF16F622496DB9BC81120508CD2AEB807CAE4DAA94","success","Fib0382","Fib1272","-1741.83","-17.42","0.75","86","18","68","21.278104382792954","23.646244041971226","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0017"
"18","run_0018","EFCD67DC6702F5909540FACB3E8F33D8DBB861B0BEC4957D28761BC676426EE5","success","Fib0382","Fib1618","-1503.75","-15.04","0.8","86","16","70","22.289686597690068","24.641457737435044","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0018"
"19","run_0019","17DB9988EBB4C0CA375E6148233442C213F5906D43FEFDD1B36191156C88DCAD","success","Fib0382","Fib2000","-767.04","-7.67","0.9","86","15","71","17.503386999639392","20.69675707752993","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0019"
"20","run_0020","94DED2D47EDC8457D3A59F9BE45E59760E75E4C188E20676BB2B61B390A72855","success","Fib0382","Fib2618","-1237.5","-12.38","0.83","86","12","74","17.300800000000034","21.476664292115753","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0020"
"21","run_0021","103D68E417FD42AE0D0EBC9D3E6E4831B31E6718573A7D7B61C2830D6CF4CB1C","success","Fib0500","Fib0236","-523.63","-5.24","0.84","87","58","29","6.449682995855972","9.251163035039971","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0021"
"22","run_0022","865848128AD8EAD189B386E7929CE9C60AC64B36C883814D0A6DED8E4B2E7531","success","Fib0500","Fib0382","-1488.64","-14.89","0.67","87","43","44","16.627317986031827","19.151532220960775","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0022"
"23","run_0023","105DEEB545C9DB329B2628DAC19DEDF6EFF5E6CA8CCF89D33E945BD7E58EFB0A","success","Fib0500","Fib0500","-1163.84","-11.64","0.76","87","40","47","14.395112894297245","18.694385603364744","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0023"
"24","run_0024","1E2EC0C3E753A2B02DE47EC1B255A0FA847C4254DD05C8EFFA9C861C3A947D19","success","Fib0500","Fib0618","-1383.44","-13.83","0.73","87","35","52","17.434885709842877","20.09906867843517","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0024"
"25","run_0025","0CA67F5BF64BC356F24A2E34B81F713B925513F24F3CAFAFB7ED5714080026E0","success","Fib0500","Fib0786","-995.29","-9.95","0.82","87","32","55","16.59000270229339","19.049521771351955","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0025"
"26","run_0026","7D8B65971D5247B9AD0F1B546B9041EC6E8EB31B41228CC5B2D448C13832F1F1","success","Fib0500","Fib1000","-1214.19","-12.14","0.8","87","27","60","20.833627748859648","22.666456927948055","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0026"
"27","run_0027","817F12409A653F7A3C5848051C984437DA4948960A0284854E4A3242FA987A9B","success","Fib0500","Fib1272","-1309.74","-13.1","0.8","87","23","64","19.555381329741873","21.415809020177626","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0027"
"28","run_0028","B1B4699458367830C14E07B6ACC6420BDFCFB31A11CCBBF80B3265BFDD0D7123","success","Fib0500","Fib1618","-1583.58","-15.84","0.76","87","19","68","24.196527273528442","26.440829366402102","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0028"
"29","run_0029","3485A1EF638FD96455D582F963A19FC6DA017DE611ADA127B9E6D27133F81E06","success","Fib0500","Fib2000","-844.36","-8.44","0.88","87","18","69","21.313872885852547","23.65753915087896","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0029"
"30","run_0030","46AF4A2EE50AB28ED65C817D454C264D2C561106BC3581CA25660C7A5EE79BAC","success","Fib0500","Fib2618","-1454.1","-14.54","0.79","87","14","73","18.49130000000002","21.549366637035096","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0030"
"31","run_0031","1324D95955096967D4A1D38609A2A9C93D28114739D27D7E3FC9AEA781F7D465","success","Fib0618","Fib0236","-597.1","-5.97","0.8","87","61","26","6.802683057583603","8.760994732328843","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0031"
"32","run_0032","9A01A3DC981FA4EFDE690A3EB8FCDED958534634B6D6EF22F0EE76B6DBAD16C1","success","Fib0618","Fib0382","-1301.5","-13.01","0.68","87","48","39","15.421409116012999","17.395988752857708","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0032"
"33","run_0033","313E7F7A1816303FBB1FEC6E865BA6CC73838657E3449E1367E559002B56AF49","success","Fib0618","Fib0500","-1172.48","-11.72","0.73","87","44","43","14.907086977391948","17.99001237567476","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0033"
"34","run_0034","668FA60259E8ACF6EB3FF3862727DABC098F0879DBC5353CFAF9586CC7AFDE3B","success","Fib0618","Fib0618","-1191.92","-11.92","0.75","87","40","47","15.707935140216136","17.585592443298726","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0034"
"35","run_0035","55A1E37C211AC1118BD52FA7212CB79AC29B4A1C35B74801EF3811FCC5F93012","success","Fib0618","Fib0786","-807.93","-8.08","0.84","87","37","50","16.629509071664188","18.60235787605463","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0035"
"36","run_0036","32744F24E10E9B802F411DD3114E09AD167D47CEA27AACD2B0AF2F9CE42C2BD1","success","Fib0618","Fib1000","-936.18","-9.36","0.83","87","32","55","19.708402394015646","21.217222138089202","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0036"
"37","run_0037","4CE52AEDBB0EEE71D40EC5C7543826655991B909D59EF7B78BA30E4B339B5D86","success","Fib0618","Fib1272","-779.4","-7.79","0.87","86","28","58","17.934317747376358","19.481638560705473","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0037"
"38","run_0038","DD15FFD11DF4490FB096758B4E13BDACE47B19040D126CFE5CA67FD6D1104C41","success","Fib0618","Fib1618","-852.43","-8.52","0.86","86","24","62","21.120475233238402","23.337118252224084","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0038"
"39","run_0039","3DF97C3973CDDA061CF9294C5F929579ADDACA2AEB9F5E7019C2767A3C3C8F10","success","Fib0618","Fib2000","-328.69","-3.29","0.95","86","22","64","17.602340078053683","19.925779596444166","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0039"
"40","run_0040","EE90EA1BE36BC5DB2216EA0C3A5349357D6E2980470451A26B5CC9D3714F6CA6","success","Fib0618","Fib2618","-383.09","-3.83","0.94","86","19","67","17.444999999999965","20.045442551819136","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0040"
