"Run","RunId","ParameterHash","Status","KslLevel","KtpLevel","NetProfit","ROI","ProfitFactor","TotalTrades","WinningTrades","LosingTrades","MaxBalanceDrawdownPct","MaxEquityDrawdownPct","ArtifactDir"
"95","run_0095","F8400417541DE9C9D24C70C07C047FDC298FB8EF82C909815A4F3578FFCEBDBE","success","Fib2618","Fib0786","407.67","4.08","1.34","78","56","22","3.440062241905534","4.15515931536844","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0095"
"84","run_0084","3594F9861B9B8AAF8CA00943E2BE2540388D4F7D47F23E741650173450477445","success","Fib2000","Fib0618","299.78","3","1.2","82","62","20","3.325607104801434","4.2487375931599365","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0084"
"85","run_0085","ED70C8DB3E6BA248B2955D04FBCECF1EAF3D4251A3489E46B046C8D24979DAF1","success","Fib2000","Fib0786","290.93","2.91","1.16","82","57","25","6.3728197225273915","7.27718238155848","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0085"
"81","run_0081","B0E76165E8EA614C852250327D0C3C4E0E72274FFD186BDD56A6AB0C03E98116","success","Fib2000","Fib0236","205.74","2.06","1.29","85","76","9","1.6343000000000028","2.4800034364021073","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0081"
"94","run_0094","897CC66F08C0860BF689201293B7EED5D2BCB213EBED90976A6509D0ED54F7B0","success","Fib2618","Fib0618","195.81","1.96","1.18","78","59","19","3.114365195503094","3.8318946656589326","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0094"
"75","run_0075","3E622EC9399646F544ADA26799514B2C4EC36191D8E32773036CA2F74DA311A2","success","Fib1618","Fib0786","190.48","1.9","1.08","84","57","27","6.741517070454416","7.867077877503226","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0075"
"86","run_0086","735B587D01748F3FCB5F60F576D21DFCF1A0BEC1279459D97B2F26ACA6AF7BE7","success","Fib2000","Fib1000","172.26","1.72","1.08","82","52","30","6.049057050273112","7.1618905239469965","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0086"
"91","run_0091","FAA8E38DA4B1234FFC2EE765A87C478194A3311FBA72531BE1D964F07DC54C44","success","Fib2618","Fib0236","171.9","1.72","1.36","84","75","9","1.259300000000003","1.9290400952632163","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0091"
"80","run_0080","E85357BA639AABB9660529247895E9B09CB0E9FF70AD570997CD77667DCAB770","success","Fib1618","Fib2618","169.96","1.7","1.04","80","32","48","7.361779794790866","7.943172712847021","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0080"
"90","run_0090","6E408B71A39D09848D27CE1BCF836692CA448A796D36D6B5F011EA12633ACD03","success","Fib2000","Fib2618","169.2","1.69","1.05","77","32","45","5.450503638848851","6.314466396951966","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0090"
