"Strategy","Symbol","SymbolCLI","Timeframe","Scope","TestWindow","DataMode","SignalsInWindow","PlacedOK","RejectFail","PendingExpired","Reversed","SameDirSkip","MarginCapped","SizeTooSmall","NotFoundEdge","FidelityStatus","ReconMethod","NetProfit_USD","ROI_pct","ProfitFactor","ClosedTrades","Win","Loss","OutcomeBreakdown","SignalTraceCSV","RawRunFolder"
"Combo","BTCUSD","BTCUSD","h1","dedicated","2026-01..02","Ticks","113","107","0","27","21","6","104","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-116.22","-1.16","0.94","71","21","50","MarginCapped=63 MarginCapped+Expired=20 Placed=2 Placed+Expired=1 Reversal+MarginCapped=15 Reversal+MarginCapped+Expired=6 SkippedSameDirection=6","combo-BTCUSD-jan-feb2026-signal-trace-2026-09-05.csv","Combo_BTCUSD_h1_ticks_2026JanFeb_20260905-185351"
"Combo","DE40","GER40.cash","h1","dedicated","2026-01","Ticks","40","38","0","3","5","2","7","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=5 Placed=25 Placed+Expired=3 Reversal+MarginCapped=2 Reversal+Placed=3 SkippedSameDirection=2","combo-DE40-jan2026-signal-trace-2026-09-05.csv",""
"Combo","FR40","FRA40.cash","h1","dedicated","2026-01","Ticks","38","35","0","7","6","3","0","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","Placed=22 Placed+Expired=7 Reversal+Placed=6 SkippedSameDirection=3","combo-FR40-jan2026-signal-trace-2026-09-05.csv",""
"Combo","GOLD","XAUUSD","h1","dedicated","2026-01..02","Ticks","81","71","2","16","17","8","0","2","0","PASS","3-source (log+events+OnStop) 2026-09-05","-661.16","-6.61","0.77","49","11","38","Placed=40 Placed+Expired=14 Reversal+Placed=15 Reversal+Placed+Expired=2 SkippedSameDirection=8 SkippedSizeTooSmall=2","combo-GOLD-jan-feb2026-signal-trace-2026-09-05.csv","Combo_XAUUSD_h1_ticks_2026JanFeb_20260905-175102"
"Combo","HK50","HK50.cash","h1","dedicated","2026-01..06","Ticks","186","168","0","22","18","17","10","0","1","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=7 NotFound/ChuaXuLy=1 Placed=122 Placed+Expired=21 Reversal+MarginCapped=3 Reversal+Placed=14 Reversal+Placed+Expired=1 SkippedSameDirection=17","combo-HK50-jan-jun2026-signal-trace-2026-09-05.csv",""
"Combo","JP225","JP225.cash","h1","dedicated","2026-01","Ticks","33","30","0","4","5","3","0","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","Placed=22 Placed+Expired=3 Reversal+Placed=4 Reversal+Placed+Expired=1 SkippedSameDirection=3","combo-JP225-jan2026-signal-trace-2026-09-05.csv",""
"Combo","SP35","SPN35.cash","h1","dedicated","2026-01..06","Ticks","93","78","0","7","18","15","0","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","Placed=54 Placed+Expired=6 Reversal+Placed=17 Reversal+Placed+Expired=1 SkippedSameDirection=15","combo-SP35-jan-jun2026-signal-trace-2026-09-05.csv",""
"Combo","UK100","UK100.cash","h1","dedicated","2026-01..02","Ticks","78","72","0","15","9","6","12","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","150.47","1.5","1.04","50","15","35","MarginCapped=9 MarginCapped+Expired=3 Placed=40 Placed+Expired=11 Reversal+Placed=8 Reversal+Placed+Expired=1 SkippedSameDirection=6","combo-UK100-jan-feb2026-signal-trace-2026-09-05.csv","Combo_UK100_h1_ticks_2026JanFeb_20260905-185351"
"Combo","US100","US100.cash","h1","dedicated","2026-01..02","Ticks","83","79","0","9","16","4","1","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-777.56","-7.78","0.83","61","15","46","MarginCapped=1 Placed=54 Placed+Expired=8 Reversal+Placed=15 Reversal+Placed+Expired=1 SkippedSameDirection=4","combo-US100-jan-feb2026-signal-trace-2026-09-05.csv","Combo_US100_h1_ticks_2026JanFeb_20260905-180315"
"Combo","US30","US30.cash","h1","dedicated","2026-01..06","Ticks","201","181","0","43","18","20","26","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=17 MarginCapped+Expired=3 Placed=108 Placed+Expired=35 Reversal+MarginCapped=4 Reversal+MarginCapped+Expired=2 Reversal+Placed=9 Reversal+Placed+Expired=3 SkippedSameDirection=20","combo-US30-jan-jun2026-signal-trace-2026-09-05.csv",""
"Combo","US500","US500.cash","h1","dedicated","2026-01..02","Ticks","86","83","0","11","15","3","7","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-1333.58","-13.34","0.71","62","15","47","MarginCapped=5 MarginCapped+Expired=1 Placed=52 Placed+Expired=10 Reversal+MarginCapped=1 Reversal+Placed=14 SkippedSameDirection=3","combo-US500-jan-feb2026-signal-trace-2026-09-05.csv","Combo_US500_h1_ticks_2026JanFeb_20260905-180315"
"MA Cross","BTCUSD","BTCUSD","m20","dedicated","2026-01..02","Ticks","122","120","0","n/a","8","2","120","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","331.11","3.31","1.19","120","43","77","MarginCapped=112 Reversal+MarginCapped=8 SkippedSameDirection=2","macross-BTCUSD-m20-jan-feb2026-signal-trace-2026-09-05.csv","MACross_BTCUSD_m20_ticks_2026JanFeb_20260905-185351"
"MA Cross","DE40","GER40.cash","m30","dedicated","2026-01..02","Ticks","56","56","0","n/a","3","0","21","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-1363.41","-13.63","0.63","56","11","45","MarginCapped=20 Placed=33 Reversal+MarginCapped=1 Reversal+Placed=2","macross-DE40-m30-jan-feb2026-signal-trace-2026-09-05.csv","MACross_DE40_m30_ticks_2026JanFeb_20260905-185351"
"MA Cross","FR40","FRA40.cash","m10","dedicated","2026-01..02","Ticks","137","133","0","n/a","22","4","99","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-3226.26","-32.26","0.59","133","25","108","MarginCapped=78 Placed=33 Reversal+MarginCapped=21 Reversal+Placed=1 SkippedSameDirection=4","macross-FR40-m10-jan-feb2026-signal-trace-2026-09-05.csv","MACross_FR40_m10_ticks_2026JanFeb_20260905-185351"
"MA Cross","GOLD","XAUUSD","m20","dedicated","2026-01..02","Ticks","77","76","0","n/a","3","1","5","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-208.5","-2.08","0.96","76","20","56","MarginCapped=2 Placed=71 Reversal+MarginCapped=3 SkippedSameDirection=1","macross-GOLD-m20-jan-feb2026-signal-trace-2026-09-05.csv","MACross_GOLD_m20_ticks_2026JanFeb_20260905-185351"
"MA Cross","HK50","HK50.cash","m45","dedicated","2026-01","Ticks","20","20","0","n/a","1","0","7","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=7 Placed=12 Reversal+Placed=1","macross-HK50-jan2026-signal-trace-2026-09-05.csv",""
"MA Cross","JP225","JP225.cash","m45","dedicated","2026-01..02","Ticks","36","36","0","n/a","0","0","1","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-71.89","-0.72","0.97","36","10","26","MarginCapped=1 Placed=35","macross-JP225-m45-jan-feb2026-signal-trace-2026-09-05.csv","MACross_JP225_m45_ticks_2026JanFeb_20260905-185351"
"MA Cross","SP35","SPN35.cash","m45","dedicated","2026-01..02","Ticks","20","20","0","n/a","1","0","2","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","36.11","0.36","1.03","20","6","14","MarginCapped=2 Placed=17 Reversal+Placed=1","macross-SP35-m45-jan-feb2026-signal-trace-2026-09-05.csv","MACross_SP35_m45_ticks_2026JanFeb_20260905-185351"
"MA Cross","UK100","UK100.cash","m20","dedicated","2026-01","Ticks","46","46","0","n/a","0","0","37","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=37 Placed=9","macross-UK100-jan2026-signal-trace-2026-09-05.csv",""
"MA Cross","US100","US100.cash","m10","dedicated","2026-01..02","Ticks","130","130","0","n/a","2","0","84","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","4491.54","44.92","1.54","130","50","80","MarginCapped=83 Placed=45 Reversal+MarginCapped=1 Reversal+Placed=1","macross-US100-m10-jan-feb2026-signal-trace-2026-09-05.csv","MACross_US100_m10_ticks_2026JanFeb_20260905-185351"
"MA Cross","US30","US30.cash","m30","dedicated","2026-01","Ticks","24","24","0","n/a","2","0","14","0","0","PASS","outcome-parse (verified prior session 2026-09-05)","","","","","","","MarginCapped=12 Placed=10 Reversal+MarginCapped=2","macross-US30-jan2026-signal-trace-2026-09-05.csv",""
"MA Cross","US500","US500.cash","m20","dedicated","2026-01..02","Ticks","86","82","0","n/a","6","4","55","0","0","PASS","3-source (log+events+OnStop) 2026-09-05","-1616.86","-16.17","0.62","82","15","67","MarginCapped=50 Placed=26 Reversal+MarginCapped=5 Reversal+Placed=1 SkippedSameDirection=4","macross-US500-m20-jan-feb2026-signal-trace-2026-09-05.csv","MACross_US500_m20_ticks_2026JanFeb_20260905-185351"
"Combo","BTCUSD","BTCUSD","h1","1wk-smoke","2025-01-01..07","Ticks","11","11","0","2","0","0","11","0","0","PASS","outcome-parse (smoke batch 09-04)","63.24","0.63","1.89","7","3","4","MarginCapped=9 MarginCapped+Expired=2","combo-11symbol-1week-signal-trace-2026-09-04.csv","BTCUSD"
"Combo","DE40","GER40.cash","h1","1wk-smoke","2025-01-01..07","Ticks","11","9","0","3","1","1","0","0","1","PASS","outcome-parse (smoke batch 09-04)","-173.02","-1.73","0.61","6","1","5","NotFound/Unprocessed=1 Placed=6 Placed+Expired=2 Reversal+Placed+Expired=1 SkippedSameDirection=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","DE40"
"Combo","GOLD","XAUUSD","h1","1wk-smoke","2025-01-01..07","Ticks","8","7","0","2","0","1","0","0","0","PASS","outcome-parse (smoke batch 09-04)","-43.08","-0.43","0.86","4","1","3","Placed=5 Placed+Expired=2 SkippedSameDirection=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","GOLD"
"Combo","HK50","HK50.cash","h1","1wk-smoke","2025-01-01..07","Ticks","7","6","0","1","1","1","0","0","0","PASS","outcome-parse (smoke batch 09-04)","7.9","0.08","1.02","5","2","3","Placed=4 Placed+Expired=1 Reversal+Placed=1 SkippedSameDirection=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","HK50"
"Combo","JP225","JP225.cash","h1","1wk-smoke","2025-01-01..07","Ticks","16","13","0","2","1","3","0","0","0","PASS","outcome-parse (smoke batch 09-04)","-369.43","-3.69","0.58","11","2","9","Placed=10 Placed+Expired=2 Reversal+Placed=1 SkippedSameDirection=3","combo-11symbol-1week-signal-trace-2026-09-04.csv","J225"
"Combo","UK100","UK100.cash","h1","1wk-smoke","2025-01-01..07","Ticks","9","9","0","1","1","0","1","0","0","PASS","outcome-parse (smoke batch 09-04)","-700.18","-7","0","8","0","8","MarginCapped+Expired=1 Placed=7 Reversal+Placed=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","UK100"
"Combo","US30","US30.cash","h1","1wk-smoke","2025-01-01..07","Ticks","10","9","0","2","3","1","1","0","0","PASS","outcome-parse (smoke batch 09-04)","-325.59","-3.26","0","6","0","6","Placed=5 Placed+Expired=1 Reversal+MarginCapped=1 Reversal+Placed=1 Reversal+Placed+Expired=1 SkippedSameDirection=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","US30"
"Combo","US500","US500.cash","h1","1wk-smoke","2025-01-01..07","Ticks","9","8","0","1","0","1","0","0","0","PASS","outcome-parse (smoke batch 09-04)","-560.63","-5.61","0","6","0","6","Placed=7 Placed+Expired=1 SkippedSameDirection=1","combo-11symbol-1week-signal-trace-2026-09-04.csv","US500"
