"BarTime","Signal","Entry","ATR","Outcome","ComputedSL","ComputedTP","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-01 09:00","1","87834.7","182.30503208982978","MarginCapped","87652.394967910164","88311.974574011168","0.54","0.07","0.13","Volume yeu cau 0.54 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-03 14:00","1","90204.7","270.6655475113404","MarginCapped","89934.03445248866","90913.302403384689","0.37","0.07","0.19","Volume yeu cau 0.37 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-03 15:00","-1","89849.95","245.6824380090723","Reversal+MarginCapped","90095.632438009066","89206.753377292247","0.40","0.07","0.17","Da huy lenh cho Buy pending so 4 truoc khi dao chieu; Volume yeu cau 0.40 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-03 16:00","1","90184.35","254.45595040725846","Reversal+MarginCapped+Expired","89929.894049592753","90850.515678166208","0.39","0.07","0.18","Da huy lenh cho Sell pending so 5 truoc khi dao chieu; Volume yeu cau 0.39 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-04 18:00","-1","90885.15","258.9254479880483","MarginCapped","91144.075447988042","90207.283177167279","0.38","0.07","0.18","Volume yeu cau 0.38 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-04 23:00","1","91571.7","281.8846587967216","MarginCapped","91289.81534120327","92309.674036729819","0.35","0.07","0.20","Volume yeu cau 0.35 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-06 05:00","-1","93483.1","367.29731784518833","MarginCapped","93850.3973178452","92521.5156218813","0.27","0.07","0.26","Volume yeu cau 0.27 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-06 12:00","1","93979.4","317.07064135136653","MarginCapped","93662.329358648625","94809.490939057869","0.31","0.07","0.22","Volume yeu cau 0.31 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-06 14:00","1","94450.9","423.00321046487386","MarginCapped","94027.896789535123","95558.32240499703","0.23","0.07","0.30","Volume yeu cau 0.23 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-06 15:00","-1","93238.55","533.1225683718974","Reversal+MarginCapped","93771.6725683719","91842.835116002374","0.18","0.07","0.37","Da huy lenh cho Buy pending so 19 truoc khi dao chieu; Volume yeu cau 0.18 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-08 15:00","1","90764.55","656.9512922257848","MarginCapped","90107.598707774217","92484.4484830471","0.15","0.07","0.45","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-09 07:00","-1","90557.8","343.4944408800834","Reversal+MarginCapped","90901.294440880083","89658.531553775945","0.29","0.07","0.24","Da dong vi the Buy so 7 truoc khi dao chieu; Volume yeu cau 0.29 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-09 15:00","1","91966.2","826.6221723584451","MarginCapped+Expired","91139.577827641551","94130.296847234407","0.12","0.07","0.57","Volume yeu cau 0.12 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-10 01:00","1","90624.7","379.9624877161403","MarginCapped","90244.737512283857","91619.441792840851","0.26","0.07","0.26","Volume yeu cau 0.26 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-10 09:00","1","90661.2","218.5293023798592","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-10 17:00","-1","90347.35","141.6521510675601","Reversal+MarginCapped+Expired","90489.002151067572","89976.504668505135","0.71","0.07","0.10","Da dong vi the Buy so 9 truoc khi dao chieu; Volume yeu cau 0.71 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-11 00:00","1","90548.55","134.72309111156287","MarginCapped","90413.826908888441","90901.255052530076","0.75","0.07","0.09","Volume yeu cau 0.75 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-11 19:00","-1","90467.9","247.28074364022297","MarginCapped","90715.180743640216","89820.5190131499","0.41","0.07","0.17","Volume yeu cau 0.41 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-11 23:00","1","90935.8","370.36803259503483","MarginCapped","90565.431967404962","91905.4235093338","0.27","0.07","0.26","Volume yeu cau 0.27 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-12 08:00","-1","90194.2","651.360170463534","MarginCapped+Expired","90845.560170463534","88488.939073726462","0.15","0.07","0.45","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-12 15:00","1","91604.45","631.2006999407937","MarginCapped","90973.249300059208","93256.933432444988","0.16","0.07","0.43","Volume yeu cau 0.16 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-12 21:00","-1","90786.7","649.5045322852792","MarginCapped+Expired","91436.204532285279","89086.297134477136","0.15","0.07","0.45","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-13 01:00","-1","90865.8","484.2070564240506","MarginCapped+Expired","91350.00705642406","89598.145926281839","0.21","0.07","0.33","Volume yeu cau 0.21 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-14 11:00","-1","94622.25","424.6500136109617","MarginCapped+Expired","95046.900013610968","93510.5162643665","0.23","0.07","0.29","Volume yeu cau 0.23 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-14 14:00","1","96828.0","703.2148069688125","MarginCapped","96124.785193031188","98669.016364644354","0.14","0.07","0.48","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-15 03:00","-1","95677.65","621.7395135047337","MarginCapped+Expired","96299.389513504735","94049.9359536446","0.16","0.07","0.43","Volume yeu cau 0.16 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-15 09:00","1","97198.55","506.88157422818585","MarginCapped","96691.668425771815","98525.5659613294","0.19","0.07","0.35","Volume yeu cau 0.19 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-15 11:00","-1","96494.45","444.08220750604005","Reversal+MarginCapped","96938.532207506039","95331.842780749183","0.22","0.07","0.31","Da huy lenh cho Buy pending so 56 truoc khi dao chieu; Volume yeu cau 0.22 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-15 12:00","1","97009.15","450.9057660048315","MarginCapped","96558.244233995167","98189.621295400648","0.22","0.07","0.31","Volume yeu cau 0.22 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-15 14:00","-1","95485.4","666.8496902430928","MarginCapped","96152.249690243087","93739.587510943573","0.15","0.07","0.46","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-15 18:00","-1","95652.6","768.71123312357","MarginCapped","96421.311233123575","93640.1139916825","0.13","0.07","0.54","Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-16 20:00","1","95564.1","527.904086237635","Reversal+MarginCapped+Expired","95036.195913762378","96946.152897770138","0.18","0.07","0.37","Da dong vi the Sell so 18 truoc khi dao chieu; Volume yeu cau 0.18 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-17 10:00","-1","94998.0","182.59780478091685","MarginCapped+Expired","95180.597804780919","94519.958947083564","0.54","0.07","0.13","Volume yeu cau 0.54 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-17 13:00","1","95420.75","191.7336760478298","MarginCapped","95229.016323952164","95922.708763893213","0.52","0.07","0.13","Volume yeu cau 0.52 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-17 18:00","1","95460.9","187.27961096735197","MarginCapped","95273.620389032643","95951.198021512522","0.53","0.07","0.13","Volume yeu cau 0.53 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-17 19:00","-1","95172.8","178.33368877388216","Reversal+MarginCapped","95351.133688773887","94705.922402789976","0.55","0.07","0.13","Da huy lenh cho Buy pending so 75 truoc khi dao chieu; Volume yeu cau 0.55 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-17 21:00","-1","95169.75","156.89556081528298","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-18 09:00","1","95271.7","147.9325422462555","Reversal+MarginCapped+Expired","95123.76745775374","95658.987395600692","0.67","0.07","0.10","Da dong vi the Sell so 20 truoc khi dao chieu; Volume yeu cau 0.67 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-18 16:00","1","95177.15","193.58600540367866","MarginCapped","94983.563994596319","95683.958162146824","0.51","0.07","0.14","Volume yeu cau 0.51 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-18 23:00","-1","93496.7","513.0999681604357","MarginCapped","94009.799968160427","92153.40428335598","0.19","0.07","0.36","Volume yeu cau 0.19 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-19 16:00","1","93388.1","341.1058165855935","MarginCapped+Expired","93046.994183414412","94281.115027821084","0.29","0.07","0.24","Volume yeu cau 0.29 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-19 22:00","-1","92422.4","326.20107678301673","MarginCapped","92748.601076783016","91568.405580982057","0.30","0.07","0.23","Volume yeu cau 0.30 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-21 05:00","1","90033.0","559.571742230826","MarginCapped+Expired","89473.428257769177","91497.9588211603","0.17","0.07","0.39","Volume yeu cau 0.17 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-21 14:00","1","89927.8","690.7671363560208","MarginCapped","89237.032863643981","91736.228362980066","0.14","0.07","0.48","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-21 16:00","-1","87434.25","1128.4429672678548","MarginCapped","88562.692967267853","84479.986311692759","0.08","0.07","0.79","Volume yeu cau 0.08 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-21 19:00","1","90393.65","1296.5439992411395","Placed+Expired","89097.106000758853","93788.0021900133","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-22 13:00","-1","89325.15","403.511352083608","MarginCapped","89728.6613520836","88268.7572802451","0.24","0.07","0.29","Volume yeu cau 0.24 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-22 19:00","1","89866.95","603.3219006806041","MarginCapped","89263.6280993194","91446.446735981823","0.16","0.07","0.43","Volume yeu cau 0.16 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-23 01:00","1","89878.9","434.23534753201676","MarginCapped","89444.664652467982","91015.728139838815","0.22","0.07","0.31","Volume yeu cau 0.22 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-23 06:00","-1","89224.75","382.81473467929214","MarginCapped","89607.5647346793","88222.541024609614","0.25","0.07","0.27","Volume yeu cau 0.25 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-23 08:00","-1","88949.25","375.885430194749","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-23 15:00","1","89781.2","635.8905732903769","MarginCapped","89145.309426709617","91445.9615208742","0.15","0.07","0.46","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-23 20:00","-1","89021.35","833.5260790557857","Reversal+MarginCapped+Expired","89854.876079055786","86839.178725031961","0.11","0.07","0.60","Da dong vi the Buy so 30 truoc khi dao chieu; Volume yeu cau 0.11 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-24 00:00","-1","89225.7","501.69292198125","MarginCapped+Expired","89727.392921981242","87912.267930253089","0.19","0.07","0.36","Volume yeu cau 0.19 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-26 04:00","1","87851.8","663.5449987141504","MarginCapped","87188.255001285856","89588.960806633651","0.14","0.07","0.48","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-26 18:00","1","88345.85","727.3890033776734","MarginCapped","87618.460996622336","90250.154410842748","0.13","0.07","0.53","Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-26 20:00","-1","87367.75","679.8489621617122","MarginCapped","88047.598962161719","85587.90541706064","0.14","0.07","0.49","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-26 21:00","1","88168.2","676.5291697293698","Reversal+MarginCapped","87491.670830270625","89939.353366351483","0.14","0.07","0.49","Da huy lenh cho Sell pending so 123 truoc khi dao chieu; Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-27 08:00","-1","87929.8","332.63196268979266","Reversal+MarginCapped","88262.431962689792","87058.969521678126","0.28","0.07","0.24","Da dong vi the Buy so 33 truoc khi dao chieu; Volume yeu cau 0.28 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-27 16:00","1","88730.6","515.453036049504","MarginCapped","88215.146963950509","90080.0560483776","0.18","0.07","0.38","Volume yeu cau 0.18 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-27 17:00","-1","87118.35","690.2324288396014","Reversal+MarginCapped","87808.582428839611","85311.321501297934","0.13","0.07","0.50","Da huy lenh cho Buy pending so 131 truoc khi dao chieu; Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-27 18:00","1","88405.25","760.0459430716818","Reversal+MarginCapped","87645.204056928313","90395.050278961658","0.12","0.07","0.55","Da huy lenh cho Sell pending so 132 truoc khi dao chieu; Volume yeu cau 0.12 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-28 19:00","-1","88813.95","754.9996622835735","MarginCapped+Expired","89568.949662283572","86837.3608841416","0.12","0.07","0.54","Volume yeu cau 0.12 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-30 16:00","1","83386.5","871.816593856436","MarginCapped","82514.683406143566","85668.915842716146","0.11","0.07","0.63","Volume yeu cau 0.11 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-30 18:00","1","84037.8","1140.1106200681202","MarginCapped","82897.689379931879","87022.609603338336","0.08","0.07","0.82","Volume yeu cau 0.08 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-01-31 08:00","-1","82370.1","584.3060972205111","MarginCapped","82954.406097220519","80840.386637476709","0.16","0.07","0.43","Volume yeu cau 0.16 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-01 09:00","1","79088.3","642.1786012084805","MarginCapped","78446.121398791525","80769.5235779638","0.14","0.07","0.47","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-01 11:00","1","78837.75","705.6143047734274","MarginCapped+Expired","78132.135695226578","80685.048249896834","0.13","0.07","0.52","Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-02 09:00","1","77761.0","1119.4524985263915","MarginCapped","76641.547501473615","80691.726641142086","0.08","0.07","0.82","Volume yeu cau 0.08 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-03 02:00","-1","77653.25","720.8518511831766","Reversal+MarginCapped","78374.101851183179","75766.059853602448","0.13","0.07","0.53","Da dong vi the Buy so 40 truoc khi dao chieu; Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-03 05:00","-1","78076.25","726.6069478057871","MarginCapped","78802.856947805791","76173.993010644452","0.13","0.06","0.46","Volume yeu cau 0.13 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-03 09:00","-1","77796.25","705.4915658212524","MarginCapped+Expired","78501.741565821256","75949.273080679966","0.13","0.06","0.45","Volume yeu cau 0.13 units bi cat con 0.06 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-04 03:00","1","76898.65","1033.725137731898","MarginCapped+Expired","75864.92486226809","79604.942410582109","0.09","0.06","0.65","Volume yeu cau 0.09 units bi cat con 0.06 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-04 06:00","1","76712.5","750.5524705187306","MarginCapped+Expired","75961.947529481273","78677.446367818033","0.12","0.06","0.47","Volume yeu cau 0.12 units bi cat con 0.06 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-04 13:00","-1","74665.65","678.4660003453321","MarginCapped","75344.116000345326","72889.426011095915","0.13","0.06","0.43","Volume yeu cau 0.13 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-06 05:00","1","66749.05","1851.6696026050809","Placed","64897.380397394925","71596.7210196201","","","",""
"2026-02-06 09:00","1","66102.15","1456.8785092270393","Placed","64645.271490772953","69916.257937156377","","","",""
"2026-02-07 20:00","1","69706.75","735.5739907794309","MarginCapped+Expired","68971.176009220566","71632.482707860545","0.13","0.07","0.54","Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-08 00:00","-1","68775.3","598.9924666232553","MarginCapped+Expired","69374.292466623257","67207.137722380314","0.15","0.07","0.44","Volume yeu cau 0.15 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-08 23:00","-1","69894.6","908.3359569433428","MarginCapped+Expired","70802.935956943344","67516.57646472234","0.10","0.07","0.66","Volume yeu cau 0.10 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-09 03:00","1","71407.25","833.086807963994","MarginCapped+Expired","70574.163192036009","73588.271263249742","0.11","0.07","0.61","Volume yeu cau 0.11 units bi cat con 0.07 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-09 06:00","-1","70192.65","674.9240456775666","MarginCapped","70867.574045677567","68425.698848416127","0.14","0.07","0.49","Volume yeu cau 0.14 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-09 16:00","1","70396.85","967.0329705032102","MarginCapped","69429.8170294968","72928.542316777413","0.10","0.07","0.70","Volume yeu cau 0.10 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-10 00:00","-1","69636.7","694.92880935654","Reversal+MarginCapped","70331.628809356538","67817.376377104578","0.13","0.07","0.50","Da dong vi the Buy so 47 truoc khi dao chieu; Volume yeu cau 0.13 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-10 03:00","-1","69107.0","711.2099503905508","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-02-10 16:00","1","69797.0","865.6897823026853","Reversal+MarginCapped","68931.310217697319","72063.375850068434","0.11","0.07","0.63","Da dong vi the Sell so 48 truoc khi dao chieu; Volume yeu cau 0.11 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-11 00:00","1","69214.85","573.658824250852","MarginCapped","68641.191175749147","70716.68880188874","0.16","0.07","0.42","Volume yeu cau 0.16 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-11 19:00","1","67837.2","996.2603480031845","MarginCapped","66840.939651996814","70445.409591072341","0.09","0.07","0.73","Volume yeu cau 0.09 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-12 04:00","-1","66881.55","607.9308918614748","MarginCapped","67489.480891861473","65289.986925106663","0.15","0.06","0.38","Volume yeu cau 0.15 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-12 08:00","-1","66770.35","498.2700933064607","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-02-12 09:00","1","67676.45","529.4260746451691","MarginCapped","67147.023925354821","69062.487463421043","0.17","0.06","0.34","Volume yeu cau 0.17 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-12 15:00","-1","66925.15","696.3494753117858","MarginCapped","67621.499475311779","65102.107073633742","0.13","0.06","0.44","Volume yeu cau 0.13 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-13 08:00","1","66708.4","488.48603137678003","MarginCapped","66219.913968623208","67987.2564301444","0.19","0.06","0.31","Volume yeu cau 0.19 units bi cat con 0.06 units do vuot tran MaxMarginPercent"
"2026-02-15 01:00","-1","69250.75","387.3959098631775","MarginCapped","69638.145909863175","68236.5475079782","0.24","0.07","0.28","Volume yeu cau 0.24 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
"2026-02-15 12:00","-1","69208.35","547.1202450190884","MarginCapped","69755.4702450191","67775.989198540032","0.17","0.07","0.40","Volume yeu cau 0.17 units bi cat con 0.07 units do vuot tran MaxMarginPercent"
