"BarTime","Signal","Entry","ATR","Outcome","ComputedSL","ComputedTP","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-02 05:00","1","24542.5","35.86155272887104","Placed","24506.63844727113","24636.385545044184","","","",""
"2026-01-02 07:00","-1","24466.8","48.79139374647776","Placed","24515.591393746476","24339.06413117172","","","",""
"2026-01-02 08:00","1","24636.1","75.13311499718222","Placed","24560.966885002817","24832.798495062623","","","",""
"2026-01-02 11:00","1","24570.1","80.07215487855727","Placed","24490.02784512144","24779.728901472063","","","",""
"2026-01-02 15:00","-1","24459.4","76.7034746382569","Placed","24536.103474638257","24258.590303397046","","","",""
"2026-01-06 15:00","-1","24860.9","56.001503928075266","Placed+Expired","24916.90150392808","24714.2880627163","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-08 04:00","-1","25080.7","32.76889964065043","MarginCapped","25113.46889964065","24994.91102074078","2.48","2.38","0.96","Volume yeu cau 2.48 units bi cat con 2.38 units do vuot tran MaxMarginPercent"
"2026-01-08 08:00","1","25224.9","65.5333412928107","Placed","25159.36665870719","25396.46628750458","","","",""
"2026-01-08 10:00","-1","25061.6","66.66533842739938","Placed","25128.265338427398","24887.070143997065","","","",""
"2026-01-08 15:00","1","25167.8","67.64118609589082","Placed","25100.15881390411","25344.88462519904","","","",""
"2026-01-09 07:00","-1","25131.7","30.480582910929805","Reversal+MarginCapped","25162.18058291093","25051.901833939188","2.61","2.32","0.89","Da dong vi the Buy so 8 truoc khi dao chieu; Volume yeu cau 2.61 units bi cat con 2.32 units do vuot tran MaxMarginPercent"
"2026-01-12 08:00","1","25287.4","43.6522699988083","Placed","25243.747730001192","25401.68164285688","","","",""
"2026-01-13 08:00","-1","25384.0","34.149008726023915","Placed","25418.149008726024","25294.597895155268","","","",""
"2026-01-13 17:00","-1","25409.4","48.31732963505882","Placed","25457.71732963506","25282.90523101542","","","",""
"2026-01-14 01:00","-1","25379.8","31.784933414306753","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
