"BarTime","Signal","Entry","ATR","Outcome","ComputedSL","ComputedTP","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-01 23:00","1","4351.83","20.883996549553807","Placed","4330.9460034504464","4406.5043029667322","","","",""
"2026-01-02 14:00","-1","4347.52","19.323065572483955","Reversal+Placed","4366.8430655724842","4296.9322143312374","","","","Da dong vi the Buy so 1 truoc khi dao chieu"
"2026-01-04 23:00","1","4376.36","20.31183553371689","Placed","4356.0481644662832","4429.5363854272709","","","",""
"2026-01-06 09:00","-1","4444.29","17.456688152353152","Placed","4461.7466881523533","4398.58839041714","","","",""
"2026-01-07 01:00","-1","4460.57","16.8427088625264","Placed","4477.4127088625264","4416.4757881979058","","","",""
"2026-01-07 23:00","1","4464.53","12.762168426459287","Placed","4451.76783157354","4497.9413569404705","","","",""
"2026-01-08 15:00","1","4456.85","18.9985910443582","Placed","4437.851408955642","4506.58831135413","","","",""
"2026-01-09 12:00","-1","4460.42","11.624033397022679","Reversal+Placed","4472.0440333970228","4429.9882805665948","","","","Da dong vi the Buy so 7 truoc khi dao chieu"
"2026-01-09 13:00","1","4492.43","15.925226717618166","Placed","4476.5047732823823","4534.1222435467243","","","",""
"2026-01-12 20:00","-1","4591.05","17.88755904057015","Placed","4608.9375590405707","4544.2203704317872","","","",""
"2026-01-13 00:00","-1","4583.94","18.01507022877216","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-13 13:00","1","4621.36","16.611964023794123","Placed","4604.7480359762058","4664.8501218142928","","","",""
"2026-01-13 17:00","-1","4586.09","23.49914046414628","Placed","4609.5891404641461","4524.5692502648653","","","",""
"2026-01-13 20:00","-1","4568.83","22.740279917642887","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-14 14:00","-1","4606.35","17.344602105212573","Placed","4623.6946021052127","4560.941831688554","","","",""
"2026-01-14 21:00","-1","4617.28","16.941757195415164","Placed","4634.2217571954152","4572.9264796624029","","","",""
"2026-01-15 10:00","1","4621.0","14.484705266593906","Reversal+Placed","4606.5152947334063","4658.9209583879428","","","","Da dong vi the Sell so 14 truoc khi dao chieu"
"2026-01-15 13:00","-1","4581.3","16.654889096496007","Placed+Expired","4597.9548890964961","4537.6975003453736","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
