"BarTime","Signal","Entry","ATR","Outcome","ComputedSL","ComputedTP","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-02 15:00","-1","50718.5","199.62957775620706","Placed","50918.129577756205","50195.86976543425","","","",""
"2026-01-06 08:00","-1","52140.8","222.76544796428317","Placed","52363.56544796428","51557.60005722951","","","",""
"2026-01-06 23:00","1","52237.6","115.43506172331192","Reversal+Placed","52122.164938276685","52539.80899159163","","","","Da dong vi the Sell so 2 truoc khi dao chieu"
"2026-01-07 04:00","-1","51829.7","170.67510502549595","Placed","52000.375105025494","51382.87257504325","","","",""
"2026-01-07 16:00","1","52081.3","119.09508937496778","Placed+Expired","51962.204910625034","52393.09094398367","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-07 18:00","1","52043.2","101.15685719997829","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-07 20:00","-1","51829.5","118.44038860798669","Placed","51947.94038860799","51519.42306262429","","","",""
"2026-01-08 17:00","1","51490.6","155.07418796362012","Placed","51335.52581203638","51896.58422408876","","","",""
"2026-01-08 19:00","1","51488.4","133.36348029671694","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-09 00:00","-1","51310.1","163.11561722362848","Placed","51473.21561722363","50883.06331410854","","","",""
"2026-01-09 01:00","1","51515.5","163.4724937789031","Placed","51352.0275062211","51943.47098871317","","","",""
"2026-01-12 23:00","-1","53853.9","133.56105697620563","Placed","53987.46105697621","53504.23715283629","","","",""
"2026-01-13 11:00","1","53915.7","145.78119049862445","Placed","53769.918809501374","54297.355156725396","","","",""
"2026-01-13 13:00","1","54024.5","156.29996191911965","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-14 11:00","-1","53991.8","221.89380812030913","Placed","54213.69380812031","53410.88201034103","","","",""
"2026-01-15 06:00","1","54202.0","213.25895317015434","Placed","53988.74104682985","54760.311939399464","","","",""
"2026-01-15 19:00","-1","53978.7","134.5660154316232","Reversal+Placed","54113.26601543162","53626.40617160001","","","","Da dong vi the Buy so 11 truoc khi dao chieu"
"2026-01-19 08:00","1","53705.9","187.13409480577192","Placed","53518.76590519423","54195.81706020151","","","",""
"2026-01-19 12:00","1","53572.1","160.65540523244317","Placed","53411.444594767556","53992.69585089853","","","",""
"2026-01-19 20:00","-1","53445.0","80.81038268752157","Reversal+Placed","53525.81038268752","53233.43841812407","","","","Da dong vi the Buy so 14 truoc khi dao chieu"
"2026-01-21 00:00","1","52663.6","306.2485819679737","Placed","52357.35141803203","53465.35878759215","","","",""
"2026-01-21 11:00","-1","52408.4","202.69635589616945","Reversal+Placed","52611.096355896174","51877.74094026383","","","","Da dong vi the Buy so 16 truoc khi dao chieu"
"2026-01-23 00:00","-1","53611.7","166.6822771495568","Placed+Expired","53778.382277149554","53175.325798422455","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-23 04:00","-1","53699.9","197.0081007204599","Placed","53896.90810072046","53184.13279231384","","","",""
"2026-01-26 23:00","1","52907.3","172.28067667240683","Placed","52735.01932332759","53358.330811528365","","","",""
"2026-01-27 12:00","-1","52816.7","181.16089734818817","Placed","52997.86089734818","52342.42077074244","","","",""
"2026-01-27 17:00","-1","52881.0","179.3753788430543","Placed","53060.375378843055","52411.39525818888","","","",""
"2026-01-29 00:00","-1","53219.9","322.845594769151","Placed","53542.745594769156","52374.69023289436","","","",""
"2026-01-29 06:00","-1","53267.8","268.95435879516265","Placed+Expired","53536.754358795166","52563.677488674264","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-29 14:00","-1","53042.2","210.8629897164812","Placed","53253.062989716476","52490.16069292225","","","",""
"2026-01-29 20:00","1","53321.0","279.232345976237","Placed","53041.767654023766","54052.03028176579","","","",""
"2026-01-30 03:00","1","53274.1","277.30631880287535","Placed","52996.79368119712","54000.08794262593","","","",""
"2026-01-30 09:00","-1","53073.2","236.5452532362625","Reversal+Placed+Expired","53309.74525323626","52453.92452702746","","","","Da dong vi the Buy so 25 truoc khi dao chieu; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
