"BarTime","Signal","Entry","ATR","Outcome","ComputedSL","ComputedTP","RequestedVolume","FinalVolume","RealizedRiskPercent","Notes"
"2026-01-02 01:00","-1","9891.3","17.906457079963538","Placed+Expired","9909.206457079963","9844.4208953646539","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-02 08:00","1","10051.0","33.55127414781659","Placed","10017.448725852184","10138.837235718984","","","",""
"2026-01-02 14:00","-1","9951.8","32.57609721020525","Placed","9984.3760972102045","9866.5157775036823","","","",""
"2026-01-02 19:00","1","10000.4","26.341063533839925","Placed","9974.05893646616","10069.360904331592","","","",""
"2026-01-05 08:00","-1","9958.8","21.814519590817838","Placed","9980.6145195908175","9901.6895877112383","","","",""
"2026-01-05 15:00","1","10005.0","26.452479858892442","Placed","9978.5475201411082","10074.252592270581","","","",""
"2026-01-07 05:00","-1","10097.0","9.185792300850414","MarginCapped","10106.18579230085","10072.951595756374","7.92","4.94","0.62","Volume yeu cau 7.92 units bi cat con 4.94 units do vuot tran MaxMarginPercent"
"2026-01-08 11:00","1","10037.0","14.99794075274133","Placed","10022.002059247259","10076.264608890677","","","",""
"2026-01-08 14:00","1","10046.6","17.45974566540368","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-12 09:00","1","10138.7","15.402943744776476","Placed+Expired","10123.297056255224","10179.024906723826","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-12 12:00","1","10143.3","15.616707197325564","Placed","10127.683292802674","10184.184539442598","","","",""
"2026-01-12 17:00","-1","10119.6","15.249986614419676","Placed+Expired","10134.849986614419","10079.675535043451","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-13 06:00","-1","10128.1","9.78233326224051","MarginCapped+Expired","10137.882333262241","10102.489851519455","7.51","4.99","0.66","Volume yeu cau 7.51 units bi cat con 4.99 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-13 11:00","-1","10124.9","14.019618963370768","MarginCapped","10138.919618963371","10088.196637553894","5.24","4.99","0.95","Volume yeu cau 5.24 units bi cat con 4.99 units do vuot tran MaxMarginPercent"
"2026-01-13 13:00","-1","10114.0","15.600556136557467","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-14 05:00","-1","10134.8","8.535618475279401","MarginCapped","10143.335618475279","10112.453750831717","8.52","4.94","0.58","Volume yeu cau 8.52 units bi cat con 4.94 units do vuot tran MaxMarginPercent"
"2026-01-15 08:00","-1","10167.7","17.135220341545164","Placed+Expired","10184.835220341545","10122.839993145835","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-15 20:00","-1","10213.6","15.651893215140888","Placed+Expired","10229.251893215142","10172.623343562762","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-16 01:00","-1","10213.5","9.61028436873726","MarginCapped+Expired","10223.110284368737","10188.340275522645","7.53","4.91","0.65","Volume yeu cau 7.53 units bi cat con 4.91 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-16 05:00","-1","10223.8","8.405332477435223","MarginCapped","10232.205332477435","10201.794839574073","8.60","4.91","0.57","Volume yeu cau 8.60 units bi cat con 4.91 units do vuot tran MaxMarginPercent"
"2026-01-16 07:00","-1","10211.4","10.867412785558791","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-01-16 13:00","-1","10212.1","15.640865457257574","Placed+Expired","10227.740865457257","10171.1522142329","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-16 16:00","1","10248.9","17.922523114115858","Placed","10230.977476885884","10295.821165512754","","","",""
"2026-01-19 08:00","1","10236.8","26.359209992642086","Placed+Expired","10210.440790007357","10305.808411760736","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-19 14:00","1","10211.2","23.395572744311465","Placed+Expired","10187.804427255689","10272.449609444608","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-19 19:00","-1","10176.1","13.897525276856264","MarginCapped","10189.997525276856","10139.71627882519","5.04","4.75","0.94","Volume yeu cau 5.04 units bi cat con 4.75 units do vuot tran MaxMarginPercent"
"2026-01-21 00:00","1","10116.3","16.230069819468465","Placed","10100.069930180531","10158.790322787368","","","",""
"2026-01-21 11:00","-1","10087.4","20.961723411744686","Placed","10108.361723411745","10032.522208108052","","","",""
"2026-01-21 13:00","1","10127.4","20.03950298351654","Reversal+Placed","10107.360497016483","10179.863418810846","","","","Da huy lenh cho Sell pending so 53 truoc khi dao chieu"
"2026-01-22 11:00","-1","10149.4","25.13449817567353","Placed+Expired","10174.534498175673","10083.597883776087","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-23 05:00","1","10166.1","9.0449776962015","MarginCapped","10157.055022303799","10189.779751608656","7.51","4.61","0.61","Volume yeu cau 7.51 units bi cat con 4.61 units do vuot tran MaxMarginPercent"
"2026-01-23 14:00","-1","10132.2","20.83186556579476","Placed","10153.031865565796","10077.66217594875","","","",""
"2026-01-26 07:00","1","10164.7","15.885963271155244","Placed","10148.814036728845","10206.289451843884","","","",""
"2026-01-26 10:00","1","10163.7","21.659213194831583","Placed","10142.04078680517","10220.403820144069","","","",""
"2026-01-27 17:00","-1","10177.0","23.327946739311308","Placed","10200.327946739311","10115.927435436482","","","",""
"2026-01-27 20:00","-1","10174.8","21.106308730527413","Placed+Expired","10195.906308730526","10119.543683743479","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-28 01:00","-1","10179.6","13.539699244819163","MarginCapped+Expired","10193.139699244819","10144.153067377063","4.78","4.40","0.92","Volume yeu cau 4.78 units bi cat con 4.40 units do vuot tran MaxMarginPercent; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-01-28 08:00","-1","10186.3","18.68871081506744","Placed","10204.988710815067","10137.372955086154","","","",""
"2026-01-29 02:00","1","10180.4","17.41910911172265","Placed","10162.980890888277","10226.00322765449","","","",""
"2026-01-29 15:00","-1","10171.0","36.597658075446965","Placed","10207.597658075447","10075.18733115848","","","",""
"2026-01-30 00:00","-1","10195.3","18.624434369807485","Placed","10213.924434369806","10146.541230819843","","","",""
"2026-01-30 09:00","-1","10168.7","27.830626828000554","Placed","10196.530626828002","10095.839418964295","","","",""
"2026-01-30 11:00","1","10222.6","27.167601169920637","Reversal+Placed","10195.43239883008","10293.724779862852","","","","Da huy lenh cho Sell pending so 87 truoc khi dao chieu"
"2026-02-02 01:00","-1","10180.0","32.15496448452088","Placed","10212.154964484522","10095.818302979524","","","",""
"2026-02-02 08:00","1","10207.0","34.10414768786384","Reversal+Placed","10172.895852312136","10296.284658646828","","","","Da dong vi the Sell so 26 truoc khi dao chieu"
"2026-02-03 09:00","-1","10318.2","23.605031054857747","Placed","10341.805031054859","10256.402028698383","","","",""
"2026-02-04 01:00","1","10318.4","18.521671154582233","Placed","10299.878328845418","10366.889735082696","","","",""
"2026-02-05 02:00","-1","10386.9","22.78810734300694","Placed","10409.688107343007","10327.240734976007","","","",""
"2026-02-06 08:00","1","10294.2","33.10023999128914","Placed","10261.099760008712","10380.856428297197","","","",""
"2026-02-09 09:00","-1","10379.7","19.605593452624476","Placed","10399.305593452626","10328.37255634103","","","",""
"2026-02-09 19:00","1","10399.2","22.28402016872238","Placed","10376.915979831278","10457.539564801717","","","",""
"2026-02-10 08:00","-1","10325.2","26.549144549192174","Placed+Expired","10351.749144549192","10255.694339570216","","","","Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-10 17:00","1","10390.5","25.688037554536347","Placed","10364.811962445463","10457.751282317777","","","",""
"2026-02-10 21:00","1","10388.3","22.05062018233794","Placed","10366.249379817662","10446.02852363736","","","",""
"2026-02-11 08:00","-1","10360.7","21.28863931869664","Placed","10381.988639318697","10304.966342263653","","","",""
"2026-02-11 10:00","1","10415.0","25.744729163965705","Reversal+Placed","10389.255270836034","10482.399700951262","","","","Da huy lenh cho Sell pending so 123 truoc khi dao chieu"
"2026-02-12 09:00","-1","10490.6","25.39241952649017","Placed","10515.99241952649","10424.122645679648","","","",""
"2026-02-13 15:00","1","10454.5","34.0024250120226","Placed","10420.497574987978","10543.518348681475","","","",""
"2026-02-16 19:00","-1","10459.5","14.073154862563621","MarginCapped","10473.573154862564","10422.656480569809","5.52","5.27","0.95","Volume yeu cau 5.52 units bi cat con 5.27 units do vuot tran MaxMarginPercent"
"2026-02-17 00:00","-1","10455.1","13.527855289632381","MarginCapped","10468.627855289633","10419.684074851742","5.69","5.22","0.92","Volume yeu cau 5.69 units bi cat con 5.22 units do vuot tran MaxMarginPercent"
"2026-02-17 07:00","1","10502.4","19.42953831763647","Placed","10482.970461682364","10553.266531315572","","","",""
"2026-02-19 08:00","-1","10636.4","19.956071348154452","Placed","10656.356071348155","10584.155005210532","","","",""
"2026-02-19 20:00","1","10670.6","24.427983143401175","Placed","10646.172016856599","10734.552459869425","","","",""
"2026-02-23 00:00","-1","10676.0","20.68577856809828","Placed","10696.685778568099","10621.844631708718","","","",""
"2026-02-23 10:00","1","10696.0","20.583889904417575","Reversal+Placed","10675.416110095583","10749.888623769764","","","","Da dong vi the Sell so 44 truoc khi dao chieu"
"2026-02-23 11:00","1","10712.6","20.86711192353406","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-02-23 15:00","-1","10670.9","26.46108904387939","Placed","10697.361089043879","10601.624868883124","","","",""
"2026-02-24 01:00","-1","10655.8","16.732129055260383","Placed","10672.53212905526","10611.995286133328","","","",""
"2026-02-24 07:00","1","10693.6","12.994771239062459","MarginCapped","10680.605228760938","10727.620311103867","5.68","5.01","0.88","Volume yeu cau 5.68 units bi cat con 5.01 units do vuot tran MaxMarginPercent"
"2026-02-24 08:00","-1","10638.8","18.675816991250258","Reversal+Placed+Expired","10657.475816991249","10589.906711116906","","","","Da huy lenh cho Buy pending so 161 truoc khi dao chieu; Lenh cho het han sau 3 nen, gia chua bao gio cham muc entry"
"2026-02-24 11:00","1","10687.5","20.70281829952012","Placed","10666.79718170048","10741.699978308143","","","",""
"2026-02-24 13:00","1","10716.9","23.59380371169275","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-02-25 07:00","-1","10696.3","18.014493399543554","Placed","10714.314493399543","10649.138056279995","","","",""
"2026-02-25 08:00","1","10781.1","28.41159471963484","Reversal+Placed","10752.688405280365","10855.481554976004","","","","Da huy lenh cho Sell pending so 166 truoc khi dao chieu"
"2026-02-26 08:00","1","10840.3","16.21464942020856","SkippedSameDirection","","","","","","Bo qua - da co lenh/vi the cung huong dang mo"
"2026-02-26 14:00","-1","10796.4","16.291078657611067","Reversal+Placed","10812.69107865761","10753.749956074374","","","","Da dong vi the Buy so 49 truoc khi dao chieu"
"2026-02-26 15:00","1","10851.4","22.312862926088783","Reversal+Placed","10829.087137073911","10909.8150751405","","","","Da huy lenh cho Sell pending so 171 truoc khi dao chieu"
"2026-02-27 19:00","-1","10863.8","30.460595327309008","Placed","10894.260595327309","10784.054161433105","","","","Lenh con treo (chua khop/chua het han) khi ket thuc ky test"
