symbol,timeframe,signal_bartime,direction,status,skip_reason,entry_time,exit_time,entry_price,sl_price,r_result,gross_r,cost_r,bar_mae_r,bar_mfe_r,holding_bars,ambiguous_bars,tp_hits,sl_leg_hits,leg_count
US30,H4,2017-05-04 01:00:00,BUY,closed,,2017-05-04 05:00:00,2017-05-04 13:00:00,20976.0,20915.85271670509,-1.0,-1.0,0.0,2.277742110616508,0.5819049187706407,3,0,[],3,3
US30,H4,2017-05-04 13:00:00,SELL,closed,,2017-05-04 17:00:00,2017-05-05 17:00:00,20917.0,21009.823409046996,-1.0,-1.0,0.0,1.2604579082067928,0.45247206961269487,7,0,[],3,3
US30,H4,2017-05-05 17:00:00,BUY,closed,,2017-05-07 22:00:00,2017-05-08 06:00:00,21056.0,20964.28875860703,-1.0,-1.0,0.0,1.0903788726565367,0.021807577453130732,3,0,[],3,3
US30,H4,2017-05-09 17:00:00,SELL,closed,,2017-05-10 05:00:00,2017-05-11 17:00:00,20910.0,20976.43404144836,0.3333333333333333,0.3333333333333333,0.0,0.9784140567532054,1.7159877303056217,8,0,[1],2,3
US30,H4,2017-05-15 10:00:00,BUY,closed,,2017-05-15 14:00:00,2017-05-17 05:00:00,20965.0,20886.277522227345,-1.0,-1.0,0.0,1.68947934266112,0.8383882452303303,7,0,[],3,3
US30,H4,2017-05-17 09:00:00,SELL,closed,,2017-05-17 13:00:00,2017-05-18 09:00:00,20810.0,20913.774673416472,2.0,2.0,0.0,0.11563515070619582,3.02578644347879,4,0,"[1, 2, 3]",0,3
US30,H4,2017-05-19 13:00:00,BUY,closed,,2017-05-19 17:00:00,2017-06-09 13:00:00,20833.0,20679.6923909181,2.0,2.0,0.0,0.35223300606789615,3.183142721502469,59,0,"[1, 2, 3]",0,3
US30,H4,2017-05-30 17:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-01 13:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-07 13:00:00,SELL,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-08 13:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-21 13:00:00,SELL,closed,,2017-06-21 17:00:00,2017-06-26 10:00:00,21418.0,21497.867698428745,-1.0,-1.0,0.0,1.2771120491346164,0.9265322709408002,11,0,[],3,3
US30,H4,2017-06-26 06:00:00,BUY,skipped,cluster_open,,,,,0.0,0.0,0.0,,,0,0,[],0,0
US30,H4,2017-06-27 13:00:00,SELL,closed,,2017-06-27 17:00:00,2017-06-28 09:00:00,21414.0,21505.851591475777,0.3333333333333333,0.3333333333333333,0.0,0.15241978690910357,1.0233899978182668,3,0,[1],2,3
US30,H4,2017-06-28 13:00:00,BUY,closed,,2017-06-28 17:00:00,2017-06-29 13:00:00,21477.0,21370.175988131523,-1.0,-1.0,0.0,1.8722382402773097,0.37444764805546193,4,0,[],3,3
US30,H4,2017-06-29 13:00:00,SELL,closed,,2017-06-29 17:00:00,2017-06-30 17:00:00,21286.0,21417.09111526133,-1.0,-1.0,0.0,1.136614023787721,0.6178908451463448,5,0,[],3,3
US30,H4,2017-07-03 06:00:00,BUY,closed,,2017-07-03 10:00:00,2017-07-05 05:00:00,21427.0,21317.352050680933,0.3333333333333333,0.3333333333333333,0.0,4.204364995997552,1.349774445569713,6,0,[1],2,3
US30,H4,2017-07-06 09:00:00,SELL,closed,,2017-07-06 13:00:00,2017-07-06 17:00:00,21418.0,21535.992921746158,2.0,2.0,0.0,0.23730237022384604,3.356133521737251,2,0,"[1, 2, 3]",0,3
US30,H4,2017-07-10 14:00:00,BUY,closed,,2017-07-10 18:00:00,2017-07-11 13:00:00,21451.0,21306.92126132092,-1.0,-1.0,0.0,1.138266488890444,0.0,5,0,[],3,3
US30,H4,2017-07-18 09:00:00,SELL,closed,,2017-07-18 13:00:00,2017-07-19 09:00:00,21592.0,21657.40932690095,0.3333333333333333,0.3333333333333333,0.0,0.16817173515112632,1.7428707097480365,5,0,[1],2,3
