symbol,timeframe,signal_bartime,direction,status,skip_reason,entry_time,exit_time,entry_price,sl_price,r_result,gross_r,cost_r,bar_mae_r,bar_mfe_r,holding_bars,ambiguous_bars,tp_hits,sl_leg_hits,reverse_leg_hits,exit_reasons,leg_count
US30,H4,2017-05-04 01:00:00,BUY,closed,,2017-05-04 05:00:00,2017-05-04 13:00:00,20976.0,20953.0,-1.0,-1.0,0.0,5.956521739130435,1.5217391304347827,3,0,[],1,0,['sl'],1
US30,H4,2017-05-04 13:00:00,SELL,closed,,2017-05-04 17:00:00,2017-05-05 17:00:00,20917.0,21002.0,-1.0,-1.0,0.0,1.3764705882352941,0.49411764705882355,7,0,[],1,0,['sl'],1
US30,H4,2017-05-05 17:00:00,BUY,reversed,,2017-05-07 22:00:00,2017-05-10 05:00:00,21056.0,20916.0,-1.042857142857143,-1.042857142857143,0.0,0.8642857142857143,0.014285714285714285,12,0,[],0,1,['reverse_signal'],1
US30,H4,2017-05-09 17:00:00,SELL,closed,,2017-05-10 05:00:00,2017-05-11 13:00:00,20910.0,21013.0,0.9769459040172893,0.9769459040172893,0.0,0.6310679611650486,1.1067961165048543,7,0,[1],0,0,['tp'],1
US30,H4,2017-05-15 10:00:00,BUY,closed,,2017-05-15 14:00:00,2017-05-17 05:00:00,20965.0,20896.0,-1.0,-1.0,0.0,1.9275362318840579,0.9565217391304348,7,0,[],1,0,['sl'],1
US30,H4,2017-05-17 09:00:00,SELL,closed,,2017-05-17 13:00:00,2017-05-17 17:00:00,20810.0,20892.0,1.9168785203432557,1.9168785203432557,0.0,0.14634146341463414,2.5365853658536586,2,0,[1],0,0,['tp'],1
US30,H4,2017-05-19 13:00:00,BUY,closed,,2017-05-19 17:00:00,2017-05-25 05:00:00,20833.0,20672.0,1.442297672190807,1.442297672190807,0.0,0.33540372670807456,1.6335403726708075,14,0,[1],0,0,['tp'],1
US30,H4,2017-05-30 17:00:00,SELL,closed,,2017-05-31 05:00:00,2017-05-31 09:00:00,21043.0,21061.0,-1.0,-1.0,0.0,1.3888888888888888,1.8333333333333333,2,0,[],1,0,['sl'],1
US30,H4,2017-06-01 13:00:00,BUY,closed,,2017-06-01 17:00:00,2017-06-02 09:00:00,21083.0,20985.0,1.4008387981507346,1.4008387981507346,0.0,0.02040816326530612,1.5204081632653061,3,0,[1],0,0,['tp'],1
US30,H4,2017-06-07 13:00:00,SELL,closed,,2017-06-07 17:00:00,2017-06-08 05:00:00,21141.0,21204.0,-1.0,-1.0,0.0,1.0634920634920635,0.12698412698412698,2,0,[],1,0,['sl'],1
US30,H4,2017-06-08 13:00:00,BUY,closed,,2017-06-08 17:00:00,2017-06-08 17:00:00,21247.0,21151.0,-1.0,-1.0,0.0,1.0520833333333333,0.052083333333333336,1,0,[],1,0,['sl'],1
US30,H4,2017-06-21 13:00:00,SELL,reversed,,2017-06-21 17:00:00,2017-06-26 10:00:00,21418.0,21516.0,-0.47959183673469385,-0.47959183673469385,0.0,0.5816326530612245,0.7551020408163265,10,0,[],0,1,['reverse_signal'],1
US30,H4,2017-06-26 06:00:00,BUY,closed,,2017-06-26 10:00:00,2017-06-26 14:00:00,21465.0,21429.0,-1.0,-1.0,0.0,2.0,1.5277777777777777,2,0,[],1,0,['sl'],1
US30,H4,2017-06-27 13:00:00,SELL,closed,,2017-06-27 17:00:00,2017-06-28 13:00:00,21414.0,21466.0,-1.0,-1.0,0.0,1.4807692307692308,1.8076923076923077,4,0,[],1,0,['sl'],1
US30,H4,2017-06-28 13:00:00,BUY,closed,,2017-06-28 17:00:00,2017-06-29 13:00:00,21477.0,21379.0,-1.0,-1.0,0.0,2.0408163265306123,0.40816326530612246,4,0,[],1,0,['sl'],1
US30,H4,2017-06-29 13:00:00,SELL,reversed,,2017-06-29 17:00:00,2017-07-03 10:00:00,21286.0,21501.0,-0.6558139534883721,-0.6558139534883721,0.0,0.7116279069767442,0.3767441860465116,6,0,[],0,1,['reverse_signal'],1
US30,H4,2017-07-03 06:00:00,BUY,closed,,2017-07-03 10:00:00,2017-07-05 05:00:00,21427.0,21395.0,-1.0,-1.0,0.0,14.40625,4.625,6,0,[],1,0,['sl'],1
US30,H4,2017-07-06 09:00:00,SELL,closed,,2017-07-06 13:00:00,2017-07-06 17:00:00,21418.0,21479.0,2.9298351716641293,2.9298351716641293,0.0,0.45901639344262296,6.491803278688525,2,0,[1],0,0,['tp'],1
US30,H4,2017-07-10 14:00:00,BUY,closed,,2017-07-10 18:00:00,2017-07-11 13:00:00,21451.0,21388.0,-1.0,-1.0,0.0,2.6031746031746033,0.0,5,0,[],1,0,['sl'],1
US30,H4,2017-07-18 09:00:00,SELL,closed,,2017-07-18 13:00:00,2017-07-18 13:00:00,21592.0,21671.0,1.2540927486832378,1.2540927486832378,0.0,0.13924050632911392,1.4430379746835442,1,0,[1],0,0,['tp'],1
US30,H4,2017-07-19 17:00:00,BUY,closed,,2017-07-19 21:00:00,2017-07-20 13:00:00,21647.0,21599.0,-1.0,-1.0,0.0,1.2708333333333333,0.8125,4,0,[],1,0,['sl'],1
US30,H4,2017-07-21 09:00:00,SELL,closed,,2017-07-21 13:00:00,2017-07-25 09:00:00,21595.0,21662.0,-1.0,-1.0,0.0,1.2835820895522387,1.2835820895522387,8,0,[],1,0,['sl'],1
US30,H4,2017-07-25 09:00:00,BUY,closed,,2017-07-25 13:00:00,2017-07-27 13:00:00,21663.0,21556.0,1.129255836001172,1.129255836001172,0.0,0.6822429906542056,1.2616822429906542,9,0,[1],0,0,['tp'],1
US30,H4,2017-08-09 05:00:00,SELL,closed,,2017-08-09 09:00:00,2017-08-10 13:00:00,22062.0,22089.0,4.801342787686061,4.801342787686061,0.0,0.6296296296296297,6.222222222222222,6,0,[1],0,0,['tp'],1
US30,H4,2017-08-14 14:00:00,BUY,closed,,2017-08-14 18:00:00,2017-08-14 18:00:00,22024.0,21996.0,-1.0,-1.0,0.0,1.0357142857142858,0.25,1,0,[],1,0,['sl'],1
US30,H4,2017-08-17 13:00:00,SELL,closed,,2017-08-17 17:00:00,2017-08-18 13:00:00,21884.0,22011.0,1.2152960751363004,1.2152960751363004,0.0,0.023622047244094488,1.7480314960629921,4,0,[1],0,0,['tp'],1
US30,H4,2017-08-22 13:00:00,BUY,reversed,,2017-08-22 17:00:00,2017-08-28 14:00:00,21881.0,21768.0,-0.5663716814159292,-0.5663716814159292,0.0,0.8761061946902655,0.4424778761061947,15,0,[],0,1,['reverse_signal'],1
