bartime,side,sl_price
2025-09-29 01:45,BUY,
2025-09-30 09:00,SELL,46344.1
2025-10-01 03:00,SELL,46424.1
2025-10-01 15:00,BUY,46050.9
2025-10-06 16:00,SELL,46896.5
2025-10-08 09:00,BUY,46446.6
2025-10-09 03:00,SELL,46683.4
2025-10-14 00:00,BUY,45969.6
2025-10-14 12:00,SELL,46253.6
2025-10-14 18:00,BUY,45445.5
2025-10-16 03:00,SELL,46381.5
2025-10-16 12:00,BUY,46248.5
2025-10-16 18:00,SELL,46485.3
2025-10-17 18:00,BUY,45414.4
2025-10-22 18:00,SELL,46961.7
2025-10-23 18:00,BUY,46458.3
2025-10-30 03:45,SELL,48048.7
2025-10-30 15:00,BUY,47448.1
2025-10-31 00:00,SELL,48021.0
2025-11-03 02:00,BUY,47342.9
2025-11-03 17:00,SELL,47684.9
2025-11-05 13:45,SELL,47192.8
2025-11-05 19:00,BUY,47027.6
2025-11-06 16:00,SELL,47326.9
2025-11-10 08:45,BUY,46495.7
2025-11-13 16:00,SELL,48402.2
2025-11-20 01:00,BUY,45902.2
2025-11-20 19:00,SELL,46860.8
2025-11-21 19:00,BUY,45753.1
2025-12-01 19:15,SELL,47683.4
2025-12-02 16:00,BUY,47202.9
2025-12-05 04:00,BUY,47690.7
2025-12-05 16:00,BUY,47690.7
2025-12-08 17:00,SELL,47986.4
2025-12-09 16:00,BUY,47673.2
2025-12-09 19:00,SELL,47951.7
2025-12-10 22:00,BUY,47453.4
2025-12-15 11:00,BUY,48378.2
2025-12-15 17:00,SELL,48608.9
2025-12-18 16:00,BUY,47802.2
2025-12-18 22:00,SELL,48382.7
2025-12-19 16:00,BUY,47786.1
2025-12-29 17:00,SELL,48748.4
2026-01-04 23:00,BUY,47813.2
2026-01-07 22:00,SELL,49620.9
2026-01-08 22:00,BUY,48764.0
2026-01-12 08:00,SELL,49572.2
2026-01-12 20:00,BUY,48996.1
2026-01-13 16:00,SELL,49631.2
2026-01-15 10:00,BUY,48852.0
2026-01-19 02:00,SELL,49526.4
2026-01-21 19:00,BUY,48312.6
2026-01-23 16:00,SELL,49445.5
2026-01-26 17:00,BUY,49000.8
2026-01-27 16:00,SELL,49414.9
2026-01-29 10:00,BUY,48841.4
2026-01-29 16:00,SELL,49140.2
2026-02-02 17:00,BUY,48380.9
2026-02-04 13:00,BUY,48830.6
2026-02-05 13:45,SELL,49567.7
2026-02-06 16:00,BUY,48617.2
2026-02-11 16:00,SELL,50332.7
2026-02-12 07:00,BUY,49901.4
2026-02-12 16:00,SELL,50300.1
2026-02-16 11:00,BUY,49525.1
2026-02-17 01:00,SELL,49733.5
2026-02-17 22:00,BUY,49167.8
2026-02-19 10:00,SELL,49896.3
2026-02-20 19:45,BUY,49148.0
2026-02-23 02:00,SELL,49661.5
2026-02-24 19:00,BUY,48727.0
2026-02-27 01:00,SELL,49560.1
2026-03-02 20:00,BUY,48122.7
2026-03-03 07:00,SELL,49071.1
2026-03-04 16:00,BUY,48209.1
2026-03-05 16:00,SELL,48831.6
2026-03-10 06:45,BUY,46605.4
2026-03-11 12:00,SELL,47932.3
2026-03-16 13:00,BUY,46570.5
2026-03-17 06:00,SELL,47093.1
2026-03-17 15:00,BUY,46676.3
2026-03-18 15:00,SELL,47301.1
2026-03-20 12:00,SELL,46250.2
2026-03-24 06:00,BUY,
2026-03-26 04:30,SELL,46585.3
2026-03-31 03:00,BUY,44810.1
2026-04-02 06:00,SELL,46690.0
2026-04-02 21:00,BUY,45843.8
2026-04-06 10:00,BUY,46259.8
2026-04-07 15:00,SELL,46814.3
2026-04-08 00:00,BUY,46209.0
2026-04-12 22:00,SELL,48287.2
2026-04-13 19:00,BUY,47322.3
2026-04-16 21:00,BUY,48331.6
2026-04-21 21:00,SELL,49848.6
2026-04-22 12:00,BUY,49317.2
2026-04-22 21:00,SELL,49628.1
2026-04-23 15:00,BUY,48950.0
2026-04-23 18:00,SELL,49524.8
2026-04-28 00:00,BUY,49027.9
2026-04-29 03:00,BUY,49078.3
2026-04-29 09:00,SELL,49263.1
2026-04-30 15:00,BUY,48466.5
2026-05-04 04:00,SELL,49676.7
2026-05-05 15:45,BUY,48899.4
2026-05-07 21:00,SELL,50116.2
2026-05-08 12:00,BUY,49470.1
2026-05-08 15:00,SELL,50116.2
