bartime,side,sl_price
2025-10-01 06:00,BUY,1.17296
2025-10-01 18:00,SELL,1.17684
2025-10-02 09:00,BUY,1.17294
2025-10-02 15:00,SELL,1.17417
2025-10-03 12:45,BUY,1.17148
2025-10-06 00:00,SELL,1.1759
2025-10-10 18:00,BUY,1.1559
2025-10-13 12:00,SELL,1.16298
2025-10-14 18:00,BUY,1.15423
2025-10-17 20:15,SELL,1.16792
2025-10-23 03:00,SELL,1.16144
2025-10-23 18:00,BUY,1.15852
2025-10-29 06:00,SELL,1.16686
2025-11-06 01:00,BUY,1.14686
2025-11-11 01:00,SELL,1.15645
2025-11-11 13:00,BUY,1.1547
2025-11-14 19:00,SELL,1.16534
2025-11-17 01:00,SELL,1.16534
2025-11-21 04:00,BUY,1.15205
2025-11-21 13:00,SELL,1.15523
2025-11-24 10:00,BUY,1.15017
2025-11-25 04:00,SELL,1.1529
2025-11-25 10:00,BUY,1.15114
2025-11-28 07:00,SELL,1.16018
2025-11-28 19:00,BUY,1.15547
2025-12-02 15:15,SELL,1.16161
2025-12-02 22:00,BUY,1.1591
2025-12-04 22:00,SELL,1.16818
2025-12-08 07:00,BUY,1.16278
2025-12-08 16:00,SELL,1.16717
2025-12-09 08:30,BUY,1.16318
2025-12-09 13:00,SELL,1.1657
2025-12-10 16:00,BUY,1.16273
2025-12-17 01:00,SELL,1.1804
2025-12-18 04:45,BUY,1.17029
2025-12-18 10:00,SELL,1.1758
2025-12-22 10:00,BUY,1.17058
2025-12-24 21:15,SELL,1.18077
2025-12-30 10:00,BUY,1.17493
2025-12-30 13:00,SELL,1.17796
2026-01-02 04:00,BUY,1.17202
2026-01-02 07:45,SELL,1.17648
2026-01-06 02:30,BUY,1.16589
2026-01-06 13:00,SELL,1.17427
2026-01-12 07:00,BUY,1.16179
2026-01-13 04:00,SELL,1.16983
2026-01-14 16:00,BUY,1.16341
2026-01-14 19:00,SELL,1.16775
2026-01-19 01:45,BUY,1.15753
2026-01-21 22:00,SELL,1.17429
2026-01-22 16:00,BUY,1.16839
2026-01-28 19:00,SELL,1.20824
2026-01-29 14:30,SELL,1.19963
2026-02-04 01:00,BUY,1.18056
2026-02-04 16:00,SELL,1.18379
2026-02-06 16:00,BUY,1.17854
2026-02-11 04:00,BUY,1.18862
2026-02-11 16:00,SELL,1.19269
2026-02-16 13:00,SELL,1.18701
2026-02-18 10:00,SELL,1.18572
2026-02-20 16:00,BUY,1.17432
2026-02-23 22:00,SELL,1.18098
2026-02-25 07:00,BUY,1.17708
2026-02-26 19:00,SELL,1.18166
2026-02-27 07:00,BUY,1.17737
2026-02-27 15:15,BUY,1.17737
2026-03-02 01:00,SELL,1.18267
2026-03-04 16:00,BUY,1.15746
2026-03-05 07:00,SELL,1.16471
2026-03-05 13:00,SELL,1.16471
2026-03-06 10:00,SELL,1.16208
2026-03-09 21:00,BUY,1.15071
2026-03-11 12:00,SELL,1.1645
2026-03-16 15:00,BUY,1.14141
2026-03-18 18:00,SELL,1.15551
2026-03-19 18:00,BUY,1.14428
2026-03-23 09:00,SELL,1.15646
2026-03-23 15:00,BUY,1.14843
2026-03-25 18:00,SELL,1.16163
2026-03-31 15:00,BUY,1.14573
2026-04-02 06:00,SELL,1.16055
2026-04-06 09:00,BUY,1.15048
2026-04-09 18:00,BUY,1.16431
2026-04-13 18:00,BUY,1.16804
2026-04-16 12:00,SELL,1.18237
2026-04-17 09:45,BUY,1.17719
2026-04-19 21:00,SELL,1.18489
2026-04-21 09:00,SELL,1.17908
2026-04-24 12:00,BUY,1.16727
2026-04-28 00:00,SELL,1.17547
2026-04-29 00:00,BUY,1.16771
2026-04-29 06:00,SELL,1.17204
2026-04-30 15:00,BUY,1.16547
2026-05-04 06:45,SELL,1.17493
2026-05-05 22:30,BUY,1.16764
2026-05-07 21:00,SELL,1.17779
2026-05-08 12:00,BUY,1.17242
