bartime,side,atr
2025-01-02 10:00,BUY,199.03183095193714
2025-01-02 14:00,SELL,304.3254647615497
2025-01-03 14:00,BUY,205.42579863445172
2025-01-07 14:00,SELL,197.15190384092227
2025-01-26 23:00,SELL,135.3444485994364
2025-01-30 10:00,SELL,174.48294311802704
2025-01-31 18:00,SELL,210.90055593006855
2025-02-04 18:00,BUY,221.18101029994048
2025-02-05 10:00,BUY,162.79414181885565
2025-02-07 14:00,SELL,215.74195970196934
2025-02-11 18:00,BUY,153.62386971708037
2025-02-12 10:00,SELL,184.95153703611615
2025-02-12 18:00,SELL,212.82898370311437
2025-02-13 06:00,SELL,165.15883965599494
2025-02-13 10:00,BUY,161.52707172479597
2025-02-14 18:00,SELL,157.16118316174416
2025-02-18 02:00,SELL,77.5873351672005
2025-02-18 14:00,SELL,118.43271560560666
2025-02-20 06:00,BUY,106.52181393396376
2025-02-20 10:00,SELL,110.41745114717101
2025-02-26 02:00,BUY,199.01363764250922
2025-02-27 14:00,BUY,259.2718748293932
2025-02-27 18:00,SELL,321.19749986351485
2025-02-28 18:00,BUY,354.4850214042213
2025-03-07 18:00,BUY,347.981507483604
2025-03-14 13:00,BUY,272.71592260975314
2025-03-21 05:00,SELL,216.8377742397895
2025-03-26 17:00,SELL,178.5688022329312
2025-03-27 09:00,SELL,161.45458139460868
2025-04-01 13:00,BUY,320.44785377783563
2025-04-02 09:00,SELL,239.5625927259212
2025-04-02 13:00,BUY,326.450074180737
2025-04-09 17:00,BUY,1379.4173408921333
2025-04-16 09:00,SELL,281.01697838291994
2025-04-22 13:00,BUY,382.2609390001388
2025-04-30 09:00,SELL,247.50709368929571
2025-05-06 05:00,SELL,185.5392891755243
2025-05-07 01:00,SELL,267.27111427703636
2025-05-07 13:00,BUY,226.71881050984322
2025-05-07 21:00,BUY,257.588038726299
2025-05-09 13:00,SELL,270.3913696558556
2025-05-14 17:00,SELL,167.15232177953453
2025-05-15 13:00,BUY,196.2159928007182
2025-05-21 01:00,SELL,152.29413153282724
2025-05-26 06:00,BUY,256.7524241977878
2025-05-29 09:00,SELL,266.6666954263045
2025-06-02 18:00,BUY,239.08717187015822
2025-06-03 09:00,BUY,173.14786559801786
2025-06-05 17:00,SELL,228.53649689179332
2025-06-11 21:00,SELL,222.10719187666805
2025-06-12 21:00,SELL,273.30646770731795
2025-06-16 10:00,BUY,249.38264825378087
2025-06-20 09:00,BUY,204.41856800182205
2025-06-23 06:00,BUY,222.03341236283757
2025-07-04 17:00,SELL,117.68590768445976
2025-07-07 14:00,SELL,216.97269423004406
2025-07-09 17:00,BUY,178.52051260522424
2025-07-10 09:00,BUY,131.11752196309823
2025-07-11 13:00,SELL,178.24786022199606
2025-07-14 14:00,BUY,167.68919267003687
2025-07-15 13:00,SELL,202.47544532329485
2025-07-17 09:00,BUY,140.22480576350677
2025-07-18 13:00,SELL,179.23186326565522
2025-07-22 01:00,SELL,126.54730550472337
2025-07-22 17:00,BUY,140.4000163347353
2025-07-28 10:00,SELL,149.7000241745241
2025-07-29 13:00,SELL,153.10918394976505
2025-08-04 18:00,BUY,229.4629983540619
2025-08-07 13:00,SELL,259.59247636101236
2025-08-08 13:00,BUY,178.45162132318205
2025-08-12 09:00,BUY,169.59630281159318
2025-08-18 06:00,SELL,147.38580634809963
2025-08-19 13:00,SELL,178.69579674836228
2025-08-20 21:00,SELL,163.71598114739345
2025-08-22 05:00,BUY,160.0126989836182
2025-09-01 02:00,SELL,124.17962918202078
2025-09-01 21:00,SELL,94.82273289036593
2025-09-04 13:00,BUY,172.2482054126281
2025-09-08 10:00,SELL,178.39167432407174
2025-09-10 13:00,SELL,185.46297600241473
2025-09-11 01:00,SELL,138.07384371323457
2025-09-11 09:00,BUY,129.09125997647067
2025-09-16 09:00,SELL,98.61628170509506
2025-09-17 13:00,BUY,136.47850700103908
2025-09-24 13:00,SELL,164.44545816057115
2025-09-26 13:00,BUY,188.03852335791666
2025-10-01 01:00,SELL,151.74737798991103
2025-10-06 10:00,SELL,197.2741730214185
2025-10-07 05:00,SELL,140.34276901566068
2025-10-07 13:00,SELL,202.7113721700221
2025-10-08 09:00,BUY,129.97963043267197
2025-10-08 17:00,SELL,171.34296347691043
2025-10-14 13:00,BUY,419.727542929365
2025-10-16 13:00,SELL,264.69009025013895
2025-10-17 17:00,BUY,320.05668913482475
2025-10-22 17:00,SELL,213.49085298990636
2025-10-23 21:00,BUY,146.15445293295042
2025-10-30 01:00,SELL,248.11564993612978
2025-10-30 17:00,SELL,303.97905021383906
2025-11-03 03:00,SELL,205.62898312912438
2025-11-05 14:00,BUY,235.90927905944466
2025-11-06 14:00,SELL,235.9926788497603
2025-11-10 07:00,BUY,204.61621948595888
2025-11-13 14:00,SELL,223.08978566804018
2025-11-20 10:00,BUY,235.66529439237763
2025-11-21 14:00,BUY,401.01098090655887
2025-12-01 19:00,SELL,214.79421203494434
2025-12-02 18:00,BUY,206.48037071968838
2025-12-08 15:00,SELL,171.34451177662214
2025-12-10 14:00,BUY,166.85855313465717
2025-12-15 15:00,SELL,201.1481710047743
2025-12-15 22:00,SELL,189.18282944305514
2025-12-19 14:00,BUY,224.1731708624024
2025-12-29 11:00,SELL,110.3132740754723
2026-01-02 18:00,BUY,211.27381756541115
2026-01-11 23:00,SELL,194.23096594486825
2026-01-12 07:00,SELL,169.41981820471523
2026-01-13 14:00,SELL,202.8785510550124
2026-01-15 14:00,BUY,226.69575774256035
2026-01-18 23:00,SELL,230.02095021930643
2026-01-21 18:00,BUY,359.04041851865765
2026-01-23 14:00,SELL,201.1990327737243
2026-01-26 11:00,BUY,202.72726705929253
2026-01-27 10:00,SELL,192.5421622959908
2026-02-02 11:00,BUY,373.08328576359094
2026-02-05 10:00,SELL,254.05028323664635
2026-02-06 14:00,BUY,371.6763793990307
2026-02-11 18:00,SELL,239.31950392015463
2026-02-12 14:00,SELL,327.4350630445554
2026-02-17 18:00,BUY,280.05456205740285
2026-02-19 06:00,SELL,208.30819415858036
2026-02-20 18:00,BUY,272.1724702461478
2026-02-24 22:00,BUY,201.36287017614757
2026-02-25 06:00,BUY,174.1002369127338
2026-02-27 10:00,SELL,233.0277144601763
2026-03-04 10:00,BUY,309.4269289335228
2026-03-05 10:00,SELL,303.7327424583488
2026-03-10 05:00,BUY,446.2790801589937
2026-03-11 13:00,SELL,399.78613503308884
2026-03-16 10:00,BUY,345.7065478361304
2026-03-16 18:00,BUY,320.98419061512453
2026-03-17 01:00,BUY,242.77788199367956
2026-03-17 09:00,BUY,253.08184447595346
2026-03-18 09:00,SELL,266.61591263830405
2026-03-23 10:00,BUY,623.4173006674987
2026-03-24 13:00,BUY,470.8800749329455
2026-03-26 05:00,SELL,275.84367920669604
2026-03-31 09:00,BUY,337.2621994697802
2026-04-02 09:00,SELL,325.1000614540884
2026-04-07 13:00,SELL,302.1834415564632
2026-04-22 17:00,SELL,217.99799871540847
2026-04-23 17:00,SELL,315.8487553752517
2026-04-27 21:00,BUY,163.64314544426753
2026-04-28 21:00,BUY,150.79514391934086
2026-04-29 05:00,SELL,134.28089210837712
2026-04-30 09:00,BUY,302.616410064688
2026-05-04 14:00,SELL,292.6982148405649
2026-05-05 21:00,BUY,207.31076021194704
2026-05-08 13:00,SELL,201.7380319956003
